ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,3.058857657293304e+31,,6.5151361984814194e+25,872879729955.7974,648899640867848.0,,,2235068709.735195,,,6.571590335218461e+18,,,,2.770006548126634e+21,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,4153737.416062799,1.1456332020112782e-12,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,3.8588483493266765e-40,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,4.4741353840458766e-10,2.5914467464742126e+39,,7385705580942.985,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.353966779531879e-13,,,0.0014719723878563627,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.648905250161631e-13,9.264322096505694e-21,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,8.633310016783175e-05,6064629850029.143,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,0.018749859658269,,,,,1.521701671878116e-19,,,679.3605697021958,11583.04286601544,,1.079409793380542e+20,,,1.6850089213470174e-08,,14460.57483879306,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,6.915354411204472e-05,,2.130060448239828e+27,,2.010691029234725e-18,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,,4.6947024476528285e-28,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,2.3632358869110313e+18,,,,,3.6100997691731214e-22,,,,,59346866.79288247,,,,,,4.973414539878873e+17,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.1373736130210187e+41,,1.632202610154854e-77,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,8.792185685967026e-42,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,6.126690361713892e+76,,,,5.906889534437979e-29,,,,,,,,,,,,,,,836368.9769532061
"$\hat{S}_{x,y}$",,,,,1.1956445391397496e-06,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.692938380123519e+28,,,,3.236408181169852e-23,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.0898451123014214e+22,16560.21171287522,1.8089332998727236e+31,,8314.518944680809,,,,,20322.375751276028,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,8.346497809717734e-26,,5.528119804474604e-32,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.198107305360712e+25,6.0385701423280764e-05,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,2.1763768428798404e-45,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,0.00012027154026027535,,4.594792502371846e+44,9235.866882158407,,,701907222151609.4,,,,,,
