ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$"
"$\hat{S}_{x,z}$",,,,,0.0005166862438749487,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",0.024407667995244898,,,,,6.93942447896069,,,2.170086750395079,,,878.0892972495539,61.767330663264794,,,273.37577711047084,,20.4842460692388,,1935.4105356093544,3.3270790243205073
"$\hat{S}_{x,y,z}$",713.0309910642086,,,,0.14410416930566106,,,,0.9624485676691144,,,37.47616564032907,1.4949946413888582,,,31.38684932275538,,0.026468678745758617,,,4.3482314841214125
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.315582102332677,,0.15912390791523617,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.10734702233471745,0.023691886856534016,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",486.93046575730324,,,,0.46081107117857995,1.0390165600452073,42.20854193908193,6.284410765808308,,,,17.471539320871187,0.6324858449996061,,,35.25031310989936,,0.15312705766852872,,,4.662843121175166
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,,,,,,,,,,,,0.027578270915427857
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",0.586592865978614,,,,0.3005639459388047,0.2299785564893991,,,0.21446142922088532,,36.260431376086714,2.3143090836680673,0.7745925558180954,,,7.356600204925712,,0.1260469328372389,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",1.5047498960702839,,,,0.0011388363383226603,0.026683626323923442,,,0.05723594135780686,,,,0.09424935795311602,,,1.1497247361145577,,0.23002868175080904,,,0.4320944021941307
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",0.45325870794686507,,,,0.016189788181905928,0.6688987186408872,,,1.581063051301366,,,10.610151853739376,,6.880119816184057,1.573906943505054,7.450335707470152,,1.180946385450479,,,1.291001304477859
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,0.6353615784761858,0.28755560158397303,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.14534630598259454,,3.477588315065309,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",0.005909910170456176,,,,0.003657968568282848,0.03186047728833371,,,0.028368542341235817,,,0.8697734062671856,0.13422213968121466,,,,2.2182927122266287,0.4452123190407369,,,0.13593235627109876
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.4507971353321727,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",0.2681068862369558,,,,0.048818003680482065,37.78050312240242,,,6.530524488785525,,,4.347283966454687,0.8467784925041657,,,2.246119339542579,,,,,7.933552824258515
$\hat{S}_{x}$,,0.010075873818892021,0.20887646228113663,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,99.24697529707291,,0.4516015115336775,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,4.787518847643317,2.2143415698586,,0.00020108790432545097,,0.015105483068430407,0.08420737728180847,,,0.0007569979205034439,,0.1664261808161165,0.0018955859567994357,,,0.0032321350872347564,,0.01141160126365325,,,
"$\hat{S}_{x,z}$",,,,0.00010833928618707723,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,4972.949533461489,,,6.305068280207327,5.315324157994253,,,1920.3485941995634,,273.87844651227044,4.9104433530492875,,,6.866154558278887,,135.70972971332375,,9230.262033231676,
"$\hat{S}_{x,y,z}$",,,66.20112680076697,0.15860256472386963,,,0.0022230257140194954,,,4.531732653408529,,0.3932334786580806,0.05284362998947914,,,3.044357085131423,,22.209982121641776,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,0.7390224690541339,0.16396695450566312,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,11.875444079601236,0.188135280234226,,449.83735172000365,,13.56035140747772,1.3531388311912738,36.98095311745382,,30.69636151839082,21.56298929745353,,,3.7608889709734696,,5.711003282091575,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.0737444015977757,,6.098789862962673,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,0.24671815684352952,,,,,,,,,,,
