ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,4.4773018977293435e-11,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,1.5156524344692748e-12,,,22334879863.85614,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.6422880835302375e+28,,,2.042189585050061e-24,,0.0005323445396588194,,,,6.179561042291031e-18,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.5836739753366849e-15,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,631443097236855.6,,,3.488221934374008e-146,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,9.661591272331443e-57,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2.866790069019673e+145,1.0350261895923585e+56,,,17.8275779999844,,,,,,,25081.407135756526,,,,1.5465334950240631e+25,,8.123874640828938e-21,
"$S_{x,y,z}$",,,,,,,1.2470963381656836e-52,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,0.05609286914918421,8.018626704259831e+51,,2.3990129233410046e+21,1.8035181805569021e+22,,,,,1.2996000780776221e+31,,,,2.459894331150918e+41,,2.2033219241248107e-14,
"$S_{x,y,z}HF_{y}$",,,,,,,4.168381046515339e-22,,6.324757227468636e+51,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,5.544718155772699e-23,1.5810883549126058e-52,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,0.0003629346830511499,
