ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.0013182837188567e-08,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.0525336230425784e-32,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.2759671914875134e+31,,,,,,,,,,,,,,,,,,2.4047013692500875e-127,
"$S_{x,z}$",,,4.1585205247828864e+126,2.722558022097527e+36,,,,,7.314237047406044e-66,,,,3.139807795474317,,,,,1.237708107762772e-12,,,1.2576524548478026e-20
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,3.673016302622542e-37,
"$S_{x,y,z}$",,,,,,,,,1.756977657283541e-58,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.2463593528303645e-40,1.2294819899219622e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,5.691592012308783e+57,8.133506697918137e+42,13294666329199.76,,,,,1.4203635024847803e+32,,,,,7.08653431486822e+29,,1.367196596881755e+65,9508553.824862642
"$S_{x,y,z}HF_{y}$",,,,,,,4.451647501278108e+39,,7.521813449380437e-14,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.09778639174966819
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,1.0516846393457164e-07,,10.226371810097934,15389043218.894646,12445661.826031027,,,,,3.34530121819154e+24,,7.951322292143238e+19,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,6.498129778284081e-11
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,7.04045125244772e-33,,,,,657943.7639013341,1379245071097.2024,5437.054083700178,,7.243389387725944e+17,,0.31849083292340014,8.034928266397418e-08
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.5198867363228949e-06,,1700.0502977995056,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.250343111282541e-13,0.0005882178905496914,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.029555235533134e-21,,,,,
