ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,y}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{y,z}$",,,,,3.1947611736659727e+76,,,,1.7437738699371826e-05,,,36747198.19841821,,,5.8662815841700206e-15,276.3291786601013,,3.7392826812564056e-05,,,39453.10836043857
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.721295905610146e-08,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,4.820424961581618e+51,,,,7.686212928539758e-23,,170465734665459.8,,231148.35026950587,2.398250482022104e+19,,39.921006981018984,,8.591060283228251e-08,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.3027252767685646e-13,4.326225987916664e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2324108409614.8027,,4.1697062400122695e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.3525826164441626e-17,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,1.1275371904508756e+60,,,,1.9754587092182952e-06,,0.003618872262599709,,,,0.025049468328177803,,7.393263730010995e+16,135963504726.16989,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,4.254955191880473e+35,,,,3.160116281145416e-18,,26743.09714568031,,,,11640006.786499131,7.354914850231297e-12,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.252812131395634e-44,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.5992804181321197e+43,,,,,,,,,,,,,,,,,,2.3224978008539903e-75,
"$S_{x,z}$",,,4.3057091362252165e+74,1.2646449798352182e+36,,,,,4.318583076236731e-49,,,3.847033699793272e-23,,3.185404155555844e-29,,,,,4.622368846937261e-23,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,7.907357526776399e-37,
"$S_{x,y,z}$",,,,,,,,,2.810089492428131e-31,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.1482150125996869e-21,5.097834999348898e-27,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,8.709170225321201e+20,,7.880778149392788e-18,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,3.558605527313381e+30,1.9616170396407914e+26,1.2689102282076672e+17,,,,3921968.783727804,,4776704681797.838,,,,,2.3619271452234624e+23,2.315574303763106e+48,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,8.842537770566153e-31,,,,,,,,,192.54041511604458
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.0051937147813735495,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,2.5497398249292204e-07,,1.1308970636559395e+30,,,22322.828090684383,,,,,2.013244578844705,2.599405354971902e+22,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,2.093493457551627e-13,,,4.479719128497493e-05,133890244.24064618,,37250.69278016492,,,,6.2919252831379624e+16,3.139319066485938e+28,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.032805095516140366,2.684513831464835e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,7.46880406165113e-09,30.483069299645603,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.642976306485705e-11,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,4.233830844538559e-24,,,0.49671063839339746,,1.5893386443732077e-17,,,60865150401.284904,7244795314732590.0,,2.163392911975406e+22,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.3803012460082327e-16,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,2.384385976688731e-113,
"$S_{x,z}$",,,4.1939518592066635e+112,2.3466102662053806e+41,,,,,2.6621977828607294e-20,,,4.1078244999539466e-36,,2.740288924062711e-27,,,0.00018009426275673786,8.337791685708034e-18,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,4.2614660576639517e-42,
"$S_{x,y,z}$",,,,,,,,,1.0953812686096509e-49,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,9.12924137610353e+48,2.3042553265819735e+31,64076011810.0952,,,,12707623324.970095,,75.21642556109477,,,0.001499826172214649,1.038397358285089e+20,,3.7562949170719605e+19,
"$S_{x,y,z}HF_{y}$",,,,,,,2.4774086065110584e+22,,1.5606464443569654e-11,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.0364758456551214e-23,4.339796846573223e-32,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,9.437346122691544e+23,1.3876628016755716e-09,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.0596199259827493e-24
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,7.869292112515094e-11,,,,,662.3007882894864,,,3.655061086045944e+17,126.84764569266991,,2.4343785865516193e+35,720636165.2070824
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.9438704895496756e-18,4.0718378626068715e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,0.013294968386762104,,,0.0015098879809318723,5.144375643213061e+17,,13.544232506053037,,126.34267031752674,0.00010908217334794507,,3.649250234962141e+26,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,245589346.5659215,0.07383216432183154,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.917030213942142e-23,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,666.7439324141119,,,2.7359323865139634e-18,,0.007914982305556638,,,,6.887632708295784e-13,5.21640187372749e+22,5552.647733985557,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,9.630224807693058e-21,,,0.007883473079372939,,9167.400770520479,,,1451877651367.1436,,,1.1993583405473163e+17,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.811107027650984e-27,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.1349311691048624e+26,,3.967909398764014e-24,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,2.520218834410623e+23,,,,,,2.102490881029212e-73,,1.2054973923600453e-76,,2.597335167070749e-42,,,6.823253154376494e-33,,,,154087647.6371183,
"$S_{x,z}$",,,,6.489812878155128e-09,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,6.959457841765906e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.2167220255520278e+21,,5.413247386560107e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,4.756263197253344e+72,,1.4368935378826266e+42,8.86341564240806e+31,1847319.970047514,,,3773754168524.6597,,7.488971154828434e+32,,,1.6079400077168118e+18,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.218804122875141e-22,1.1282332233359132e-32,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.0006735235110495885,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,8.295331091859637e+75,,,,,2.649881140484961e-13,,,11553331239.558893,1860426.1432051857,,,15064.737983499785,,,,,1484.7291647497877
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.655512243741227e-11,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,5.186002673389409e-07,,309.29087558567335,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.1563703702871667,0.003233202395985331,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,3.8500999512041836e+41,,,,,1.3352969043755237e-33,,5.375112598004974e-07,,,1928267.4209391244,6.395073428319879,0.0010518421426022404,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0008365497069454103,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.4655765767075362e+32,,,,,6.219137500160508e-19,,6.638017873893905e-05,,950.7130010269566,,,,,3.2767423724024273e+20,1195.386229530119,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.051811483326425e-21,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.6973334027433384e-51,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.891594417359231e+50,,,,,,,,,,,,,,,,,,4.8417293430604737e-32,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,1.120450976336231e-24,
"$S_{x,z}$",,,2.0653777382936004e+31,8.92497771986335e+23,,,,,1.764510707912646e-29,,7.5072954639758645e-53,2.751299631540707e-28,,,7.473995065609072e-21,3.1192207953503316e-37,,1.4951730713344552e-22,,,
"$S_{x,y,z}$",,,,,,,,,1.4850029720925975e-56,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,6.733993256530971e+55,1.7362499418329144e+21,2085.419757718925,,,0.06174740743882327,277.0688114073698,,,81972.17260762161,1.9662597808108376e-13,,16133860610.040241,,5.667293462803435e+28,
"$S_{x,y,z}HF_{y}$",,,,,,,3.469434965400982e+87,,0.00047951976876531587,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.882313719589854e-88,5.759539429814614e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,16.19501192808391,,,315459862375.461,,,36.53069800920852,3.0441704439509832e-05,,4.263602421610361e-05,,1.3320376223349013e+52,159.32504586093935
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.006276477088685799,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,0.003609211715026691,,3.169975389166302e-12,,,,56918.841633574884,1.3298490090838046e-20,,24347435.393896762,,3.6346459270959436e+27,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.2104463245136235e-06,,3.043673612200243e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,311483.17053751025,2.101743028972395e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,1.2199261873742529e-05,,0.02737423740843725,1.75688747574604e-05,4757955593.119916,32855033.99548513,,4.4098046059862497e-10,,0.00021935410591513948,,1.3379725183408425e+20,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,8.200003244213588e-16,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,5085797969114.866,,32849.671804254,7.519650675898514e+19,,,2267674170.0584955,,1219511712639455.0,895631191987.0944,,3.2059288700904107e+36,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,6.19814453694791e-11,,23454.344498244758,4.107208762737585e-08,,,4558.838759037706,1.1165310106957614e-12,,,,6.688188940612013e+21,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.1407924494758213e+110,1.070117922026985e-62,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.183909844685515e-111,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,1.583757771950605e-63,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,9.344764529369158e+61,,,6.314096875864856e+62,,,5.719456927492358e-59,,,,2.0765381193751385e-74,,,4.9381602641230414e-51,,,1.1434822056623633e-32,,,
"$S_{x,y,z}$",,,,,,,,8.148984628932126e-27,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.0022245270241464e+60,1.292348642770956e-18,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.390376343575531e-94,9.977804105126507e-61,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.7484177478340424e+58,,1.2271467496080476e+26,7.192297284261697e+93,,7.737850042198179e+17,,,0.03213356205478556,,,0.0042717183304395254,,,215.130443473072,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.1372010739162235,,3.9801652127725066e-11,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.31875546910727093,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,4.815707405847744e+73,,,,31.12011044076182,,,25124585200.407276,,,,383.9549846368919,,,1700383072606.9944,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.646385858843378e+17,5.541299122731544e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,2.025045657722468e+50,,,,234.09783198348381,,,,0.0026044719824270673,180463.09680302136,1042412223.8711785,,,,9.65885923023487e+21,1.1333341607312808e+19,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.1522104069267494e-18,,9.593133859139973e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,8.823522970089887e-20,663926527.0698252,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.5061907594103857e-09,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,8.745216978875057e+31,,,,0.004648342576977817,,,,5.881027729044723e-13,,,1.0353189503681e-22,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,3.9215233037316026e-83,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,5.1410469051328365e-26,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,2.5500294720891505e+82,,,,,,2.204685347080059e-30,,,5.915661599645582e-30,,,3.2920916784979534e-39,,,8.090275603939515e-11,,1.945129111741029e+25,
"$S_{x,y,z}$",,,,,,,,,1.0453779087178067e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,2.1400639218608657e+109,,1.0680119979300768e-12,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.672757620858645e-110,7.57400732089602e-106,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,4.535794648993451e+29,,9.5659186181439e+25,1.3203050348803967e+105,936319069390.7078,,,,1.985512253228143e-05,,,1762.6436792736426,,,2.135204985501614e+21,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.0653865628152128e-24
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,9.386264431171038e+23,7.095770015118072e-18,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.6904279988901186e+29,,,,,50364.83649869957,,,,,,1055656.6557156064,,,1.2813331929617677e+29,,,1.4092903206691096e+17
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.1292359461730718e-05,8.358315479152642e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,3.037582478432858e+38,,,,,0.0005673296377246728,,,9.472776916488269e-07,119641.33233475163,3470.0849766692386,,92389443722.2866,,336557315146546.75,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,46965.20372940935,,0.00028817738087781646,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,1.082374738618299e-11,,129878.21228057067,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,7.699520823706291e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,12360518342.700903,,,,,4.68339108792908e-22,,,7.804371302428579e-30,,,2.971262114937455e-15,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,1.5625119902098845e-110,
"$S_{x,z}$",,,6.399950888477182e+109,1.2026827093104612e+22,,,,,3.54259075174993e-66,,7.500742583894497e-38,,6.504364188687875e-28,,,,,3.377157981818482e-14,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,8.314744963560123e-23,
"$S_{x,y,z}$",,,,,,,,,5.605706264014008e-62,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.7838965384603339e+61,7.714431096802113e+85,1.7304798407741225e+19,,,7.13807500739846e+44,,1.6242109990428994e+31,,,,,2.6071996138075123e+34,,2.822792893889962e+65,
"$S_{x,y,z}HF_{y}$",,,,,,,1.229020738697295e+65,,5.77874400173685e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.136559201270709e-66,1.2962718669099698e-86,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.037648746177822e-07,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,1.4009379264907158e-45,,,1184126535285.4082,5.397584284411489,,,,,2.7983484281271776e+17,,1.3332013314884152e+37,9637172.537272356
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.445043415558385e-13,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,6.156835537927468e-32,,0.18526806573230423,,,4.1268366213313116e+21,87.52577201462768,20799104965475.574,,0.024720321597427746,,1.5374292874608087e+27,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.423163531192571e-22,,0.3371281872815223,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.011425206279047454,2.966230762439748,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,4.807899194027337e-14,,,,,,3398.1042835050084,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.00029428172786049407,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,3.835532940032989e-35,,3.5735364115084835e-18,,40.45254816199698,,,,,,,29610696490471.402,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,0.06275755181882098,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,15.934337319068272,,,,,,,,,,,,,,,,,,3.550259381681121e-81,
"$S_{x,z}$",,,2.8166956058474783e+80,5359997856498.62,,,,,4.190807231769578e-37,,,,,,1.2107938721056168e-34,,4.5552614253917355e-42,,,,9.520962532405273e-30
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,1.8656723878864435e-13,
"$S_{x,y,z}$",,,,,,,,,4.690401474120777e-68,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.0976493203299355e-54,,1.9924262393906593e-89,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,9.110377799891647e+53,6.10301539488564e-47,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,2.1320136570770877e+67,1.6385342905049944e+46,5.019006376395788e+88,,,,,,,4.733343800168379e+19,,1338826.3308968497,,,2.386175132130207e+36,10156079003.128443
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.2230710971441394e-13
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,9.846319624846985e-11,,8176139574673.881,0.5877127996581484,,,46777959813394.12,,422.97725469325036,,,1.0503139746600504e+29,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,4.829714760801091e-10,,,,,,1.7015113514316251
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,108152343.42594436,3.641790962780674e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,2.11267138458108e-20,,,2070515650.5642848,27459.017011686312,3990497840864231.5,,,1198746.626927825,,,8.259044111785615e+33,2.1377589018186852e-14
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,9.246216663670673e-09,,2.505952991026873e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.00022093093920047663,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,7.469228658881562e-07,,,,,,8.342046413618052e-07,4526.30131216064,,540947811766459.06,,2.1952636887662353e+41,0.002364193319863536
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.8486071636642936e-15,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9861.997059639529,,8.203422102571116e-39,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,0.00010139934071695531,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1.2190034689140036e+38,,1011267065.918288,,,,,4.957104058760028e-82,,8.139737610455669e-47,,,,5.99842710839131e-61,,2.6985429618074217e-43,,,,
"$S_{y,z}$",,,,,9.88858466474376e-10,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.9743084739542696e-47,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,9.96481316602045,,8.283434498602714e-24,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,2.0173068552652906e+81,2.51616100399233e+46,3.8196340896240825e+36,1.2072287167462777e+23,,,267820224181.72705,,,,6.890032287294778e+39,,7.055375353700662e+29,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,0.10035311082499304,2.6180518252166324e-37,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.6343408645486926e-22,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1.2285408300084248e+46,,,,3.7338479685591585e-12,,,223602.51729656992,,,20512374433943.133,,0.00043808004265376976,,,,3.796015972941744e+21
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,4.472221565706587e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,1.6671036955689293e+60,,,,1.4513720085811504e-40,,4.875106015738657e-14,,39616.046731873386,25552486811451.223,,,2.210880747551173e+17,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,9.78833343677029e-21,,3.9135134180046025e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.0216243719727176e+20,2.5242296556446724e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,3.7057034635098903e+42,,,,1.4173590345912401e-30,,2282.6878712444236,,,,4.5230843007142065e-18,36022323.56271303,,1090516.84802443,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.776056348111612e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,9.169963781958899e-07,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,,,,,,,,,,,,,,,,,2.2099132160025717e-156,
"$S_{x,z}$",,,4.525064571580155e+155,2.3698051912613556e+23,,,,,3.156148075407843e-41,,,,,,5.223004776571816e-34,,,3.690538625782472e-33,,,2.674183446548427e-35
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,4.219756137287127e-24,
"$S_{x,y,z}$",,,,,,,,,5.407656991878194e-58,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.3814305012386201e+51,,0.00017702957503327912,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,7.238873031277206e-52,1.3822158072925774e-23,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.8492297153867348e+57,7.2347602648153425e+22,5648.773657237859,,,,,,,5142869894193.461,,,4581603399.737347,,3.168419149252933e+40,732644772.9262277
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,1.3649179478970952e-09,,4064.9125304977565,172389.01121567294,,,8.43636714791012e+19,,,19675.642371517988,,3.739459240504617e+34,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.0002460077535487702
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,,,,,,,5.800833782548454e-06
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,1.9444396233493026e-13,,,,7.729687940702468e+27,3597.738035110886,,,5.299372604460926e-05,3.1569433770013244e-05,,1.9146067116108638e+33,1.1853443341992563e-20
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2853305.534328418,,0.0002779524218386231,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,3.504707042301973e-07,1.2937132878731982e-28,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,0.05505738219858447,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,18870.158311914438,18.162868630279885,,9.056079551927699e-19,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,2.1826419983391139e-10,,,,,,31676.209566668465,,1.1042305826334505e+18,,,2.7096315779325543e+32,5.0824261852186195e-05
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.0583506464054412e-53,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.448664328749436e+52,,,,,,,,,,,,,,,,,,4.025821505963348e-159,
"$S_{x,z}$",,,2.4839650702812465e+158,4.424065403557557e+54,,,,4.2104357432717854e-26,,6594267.628459756,,,,,6.0112547084989935e-24,,,0.008460768741959229,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,2.2603644132292044e-55,
"$S_{x,y,z}$",,,,,,,,1.6305470337469016e-18,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,6.132911098565851e+17,2.0380719901129695e+23,,42.61253309081005,7671320792.606269,,,,,2.3973318765479653e-08,,,1.381425441389918,,2.375051089659747e+25,
"$S_{x,y,z}HF_{z}$",,,,,,,2.51144549119506e+34,0.02346727423758019,,,,,,,,,,,,,
