ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,3.8014102697405667e-47,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.3212053225298903e-25,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.0394299863632758e+101,1.5470497532786353e-140,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,9.62065760194939e-102,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,6.463916224288958e+139,,,53404574752123.03,6.98565095992752e+18,6.703365241960766e-46,,,,,,,2.817827168513893e-34,,,,1.4258098298793315e-36,,,
"$\hat{S}_{x,y}$",,,,1.8724987599685853e-14,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.431505819194802e-19,,,3.334853123097174e-62,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.0001162043294e-23,,178425.05131789725,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.643904095565373e-15,5.604594156558851e-06,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.4917880257222792e+45,,2.9986328125637846e+61,,3.333204222412861e+22,150513912545407.3,28122747.184987653,,,,3.7819254279175525e+28,,,,2.085959717456017e+22,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,3.5558403786875244e-08,,,,2.263424212055947e+41,143224.15610650796,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,4.418084752622069e-42,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.982062434051661e-06,,,,3.925721307841707e-05,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,9.737791610025678e-24,185561247.4764317,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.389056247463581e-09,4.278618871772703e-08,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,3.548833694180735e+33,,,2.64415578535252e-29,,,,,25473.025759685996,1.0269268845006255e+23,,23372027.983078644,,1.1098421915588212e+20,3383274111.8666224,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,0.2695479496479369,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,9.010289999837336e-21,,,,6.76849224447666e-14,,,3.7099150681951922
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,7.013558042902759e+35,,,4.793956429894889e-23,,,,,,,2.9557167611473233e-10,,,14774339156789.86,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,0.046456443457639725,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,21.525539313224176,,,,,,,,,,,,,,,,,1e-160,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,2.650709522823747e-39,,
"$\hat{S}_{x,z}$",,,1e+160,3.7725748196457235e+38,,3.5473416143715426e+52,,,,2.3344379393626634e-26,,,,,,,0.5657564653045158,7.681030254076535e+17,,,
"$\hat{S}_{x,y,z}$",,,,,,,,1.0713624617775041e-54,,,,,,,,,,,2.8190124005780677e-53,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,2.4963173015801486e-06,84.7298469184682,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.011802216531351177,1.6322736500691028e-26,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,9.33390925738516e+53,400590.1010128032,,6.126423715518931e+25,1.4928566905716853e-15,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,1.6168482196713192e-40,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,669856662274161.6,,,,1.2699695193181675e+36,,,,,5.564820015506515e+29,6.404015813994095e+38,4.283686377514131e+25,6.18487244401509e+39,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,7.874204733172563e-37,,,,7.284081342892226e-10,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1005254559373.9426,3.3842330528401907e-40,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,7.483984919853155e-57,9.94772906698165e-13,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1372856717.169689,1.336186551294683e+56,,2.9548792426123196e+39,,2.031923466323418e-14,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,3.0465039900340503e-27,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,1.7970033122607272e-30,,,,49214452048698.945,,,,0.12018464609410956,1.7675449797321443,,3.2824509774852557e+26
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,1.561520191462978e-39,,,,,,,8.320530388024428,,1.3019086853215717e-18,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,0.015229707510468723,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,65.66114282317055,,4.832187485978677e-93,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,2.0694561270680232e+92,,,8.351756776053467e-15,,,,,,,,,,,,,5.509898309723913e+68,,
"$\hat{S}_{x,z}$",,,,1.814915527996573e-69,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,119735287654358.53,,,,5.790483553825414e-72,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,8.538137971780852e-18,3.267208403374949e+20,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,1.7269714881399878e+71,1.1712155546151522e+17,,2.043892809956989e+22,16964096.840387784,,,,,,,,1.9402749530614152e+38,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3.060716907336011e-21,4.892624481716552e-23,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,,2.1917262232175696e-23,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,5.8948024725915257e-08,,,,7.888337467641379e+24,,,,,,,,4.562613657703777e+22,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.2676942436883358e-25,,,126203540.693565,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,7.92370796020772e-09,,148929.36379730806,1.9831254016087047e+32,526511497966963.6,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,6.714592572630564e-06,,4.017460190069432e-05,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.042545464794124e-33,24891.348082847275,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.12490937379181265,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,1.8992937549537537e-15,,,,,15074.520595835003,,,8.00580428548707
