ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}$",,,,3.1974594736851143e+24,,,,,192600584.7684688,4.377073015603508e+16,,,,,,,566202.2904720777,0.02181371779263673,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.252055815326013e+20,,10150551224.978645,,4.8922398754332443e-14,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,7.836999619796607e-06,9.85168172482282e-11,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,3.074977973278579e-21,127599.8530705496,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,7.925958871957773e+25,,,,,324792693151768.4,,,1.7661532226693016e-06,,20440534917790.445,,,,0.039115965199144044,,66482456347912.8,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.504156216441294e-14,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,7.973151261490423e+22,,,,,898610896364777.1,,,45.842712806046855,,,,,25.565008939671582,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,7.644094310637815e-96,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,6.399881343265265e-07,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.3081994535420131e+95,,1562528.969466476,,5.362298620421488e-13,,,,,5.087867418815454e-88,,,4.423515865801941e-53,,,1.0620766260837636e-40,,,
"$S_{x,y,z}$",,,,,,,5.4866477476144825e-14,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.13371066240972643,4.567445960676658e+16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,0.04623990664616211,,2.1894074031953124e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1864871896898.196,,18226065277013.383,,21.626341239229113,7.4788351353441325,,,6.1366526119358375e-56,,,1.7539562666366528e-30,,,2.624936415944466e-22,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,0.00019183765327286998,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,3.921561258382658e-65,,,,,,,5212.740997084652,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.965460020247182e+87,,,1.629552890210849e+55,,,,2.5500047917456807e+64,,,,16286085.453120962,,,10174616.264378969,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,2.2606452205381873e+52,,,5.701396431722768e+29,,,,,6.140210935761524e-08,5302903133312481.0,708690262.1962354,,,,193681.06421348386,,405362581.6694281,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,424226198305531.5,,1.4110536765398665e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.357233013883294e-15,1.885759507312263e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,4.855587749681437e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,2.4669272528353314e-09,20594829.12373703,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,9.415516502677767e+39,,,3.80961608793939e+21,,,,,9.828380491370181e-08,,,5.163127350941007e-06,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,1.0109168691293963e+120,1.8703449831780008e-30,,,,1.8599956709691736e-29,,,,,6.05410869252882e-78,,,2.184913622973133e-29,,,
"$S_{y,z}$",,,,9.892010219012392e-121,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,5.346607224838531e+29,,,,,20947.549063540228,3.0021866124533555e-32,,,,,3.418517189111485e-72,,,2.2090555179468826e-24,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.1312950545029847e-12,2.4134029571650377e-31,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,4.773828178975491e-05,4.143526869523166e+30,2.6096160369808076e+24,,3.080742263804637e-23,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,883942695603.2554,,3.8319813559888636e-25,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,5.376356599147016e+28,,3.330905533493171e+31,,,3.245970984813984e+22,,1.1117421678541494e+39,,,,1.980318212873695e-43,,,0.7912752466779054,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,8.994891341849245e-40,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,3.2885832292595356e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.6517708068804047e+77,,2.925244907895029e+71,,,,5.049693496222873e+42,,30408231456716.457,4.3872355549979544e+21,8.978727970401634e+37,,,,8.396049009525036e+30,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.4189492408663435e+23,2.2793396603945652e-22,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,4.1340263909045535e-24,,1.1137435094330721e-38,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,490869.73281790025,,5.236296112239016e-10,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,,,,2.0372003673140988e-06,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,4.576839969715804e+28,,4.526821493963219e+23,,,,1.263782740833112,,,,,1.1910364016045328e-31,,,,,1909746848.8511522,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.860878323696828e-37,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.373806483023544e+36,,5.494823708231141e-95,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.6731216141660397e-52,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.8198946009896896e+94,,5.97685184109253e+51,,31183.852872853127,,,,2040488856.0625854,,7.88686919634376e-13,,,,,5.15982175413628e-12,,,
"$S_{x,y,z}$",,,,,,,1.819014498109107e-58,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.2185301334828143e-33,,2.9984958854100613e-18,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,8.108685988386979e-11,3.335005410098284e+17,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,3.206787833682164e-05,,5.497482296262702e+57,,8.20660870438871e+32,12332454375.865221,,1891419772206552.8,,2.808655139540699e-12,,,,,2.900280445422846e-16,,,
"$S_{x,y,z}HF_{x,z}$",,,,4.900786382777129e-10,,,5.287033659552941e-16,,,,,114887764200328.83,1.6545344541116729e-18,,,,,9.125321198917642e-38,2660914.6616455973,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.7581062422406553e-07,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,8.704147103570651e-15,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.017913932555340434,86669581970896.56,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1267930245963.2344,,,356042287257.64124,,,,6.043996228152919e+17,,,2012.086861127512,55.82247208482895,252.00408994514694,,0.010136875127119879,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0004969964365453042,,1.1538073419297184e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,0.00396818956477122,,,,2.141945741664617,3.467313484720752e-11,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.46686523404782804,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,193805144373.13028,,,3447942427699281.0,,,,1.095851837104222e+37,,98.64973055894032,,,28840772673.329166,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,1.3407199473781754e+105,4.9233096895545774e-05,,,2.7205649746787585e-09,,,9.747229026936597e-73,1.0952367903020308e-17,,,,,7.313541734864927e-18,,,
"$S_{y,z}$",,,,7.458679211535078e-106,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,20311.539656374374,,,,,14.533350505632862,,,6.735136875358015e-68,1.6820366487896675e-35,,,,,8.919208899297066e-22,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,6.762525467349023e+20,0.21087105023855737,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.4787374995158575e-21,,9.195183607458017e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,367570710.2411987,,0.0688072581482445,4.742234644673629,1087525864289.3453,,0.0016430171307797918,,2.3123250786456996e-54,3.724579483124821e-28,,,,,2.1586938078984032e-08,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,2.1193081654982277e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,608.6363807572659,,47185209601.87544,2.9330922186088616e-72,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.0259325981122293e+72,,1.484750820222705e+67,,,4.324651448167867e+53,3.409371153268037e+71,,,9.935976334783429e+22,,,,,6.457657756695677e+22,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.7259102902749554e-06,0.03587464766283998,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.3159476310942294e-06,,27.87483822554248,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,9.13044566120019e+16,,5.945173672164419e+34,,,2.6848668541798097e+27,,,1.0064436209446715e-23,,301572.91708192934,268390.78831557283,,3082336670278.2124,3.461990502576905e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.030400751616818975,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,3.2442919348902265e-13,,,32.893923564927846,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.3673265789033867e+17,,1.121175668482001e+21,,,46324309.46626702,,,1.5485490833934973e-23,2888511.679207837,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.444356271068696e-46,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,4.091056659112914e+45,,,,2.926706674113914e-24,,,3.858548508014719e-83,,,2.1099599589960911e-44,5.811869500819833e-35,,,,,
"$S_{x,y,z}$",,,,,,,,,7.131018810223977e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,14329009.706680154,4.9349734593024225e-16,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,6.97884934458382e-08,,2.2689948170405286e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,3.416809784338086e+23,,1402324.165189786,2026353349712551.2,4.4072379209059166e+21,,,,3.837998239471421e-47,,,7.092619938340928e-31,0.001536170956040804,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,6.578807499943975e-14,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,15200323158999.805,1.3850085736268157e-47,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.5916481234403737e+82,,,,,2.6055249054458206e+46,7.220171911148367e+46,,,,,1.1849021363071293e+27,1.9027084840564238e+31,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,4.739426431939473e+43,,,,,1.409916235035026e+30,,,8.439515546124374e-28,3.886481886444378,6.870363441297221e+18,,2490.3312182963928,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1227005127919.8293,0.25730211260932156,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,8.149925189761216e-13,,1.4555270744325952e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.001514642892238974,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.7206167479482087e+34,,,,,650.9692141148892,,,5.255665848864453e-32,,,0.00040155301136372075,,,1.3747611150777492e+16,,660.2216305401076,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,7.273991015838743e-17,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,1.2210108095486042e+64,6.395029976608249e+23,,,,,,3.851382110877837e-78,,,2.603630182525421e-63,,,3.361643612710839e-22,,,
"$S_{y,z}$",,,,8.18993568426876e-65,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,1.5637143276228598e-24,,,544806817842.10236,,,,,3.2880030792657705e-72,,,7.98209374112897e-46,,,1.3031305543422623e-17,,,
"$S_{x,y,z}HF_{x}$",,,,,,,0.0015178919159318364,1.882651933882569e+16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,1.835513006171342e-12,,128492297.18028235,658.8084365586059,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,7.78256768650451e-09,,5.3116562971771045e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,28499.7586213297,3.12739588442403e-67,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,,,,,,,3.5088016473640696e-05,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.5964704908806676e+77,,3.041359682130546e+71,,,,,,,,,1.365306445616602e+20,,,4.0054740684497014e+35,3.1975484938778995e+66,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,130102.27905543413,1.8658911469601654e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,3.840791241058815e+62,,1.2528041293819259e+45,,,,,,7.324362989792949e-21,535936944.4617172,66679277070399.19,,4817893454.607943,,76688147.76506114,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.686260434945332e-06,,1.4997163195758884e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,0.03477891912611635,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,2.0755959205440238e-10,,,,,28.753049983346816,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.9747353235746403e+21,,7.673828202921208e+16,,,,,,2.4965833829178802e-36,,,1.3039824655350413e-08,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.2806575763597426e-123,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.808488533230645e+122,,2.1206451182756883e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,4.715546186309132e+159,,1.5642270650612508e+61,0.00022488644833663763,,,,20.96602328989098,,6.363666485473974e-75,,,,,4.441408000326841e-24,,,,
"$S_{y,z}$",,,,6.392933751985955e-62,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,4446.688572817324,,,,,7354.77575916373,5241117305834259.0,,3.117446267511785e-73,,,,,9.441991812179736e-16,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,747737959.0518554,,7.0130598865855515e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.3373669049355435e-09,7.67286762549424e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,0.00013596607602265012,130329.36951464557,142591.11089480086,,1.0220948393141317e-08,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.3246189664198675e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,0.04769621716876381,,1.9079901128845736e-16,,,97838278.9478755,,754934079.4226766,2.0981588701496595e-80,,,,,1.3692560437220403e-05,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.5714211332140842e+74,,3.2077537644238473e+72,,,,4.7660833229881735e+79,,,,5.0185717945205127e+39,,,1.0811466037690932e+40,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,2.524627512315436e-16,4.775838762545315e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.9925987730051846e-40,3960980362932274.5,,76.99667046384684,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.093873034078402e+22,0.012987574579209134,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,2.2515382507673477e+23,,1059098567221850.2,,,,73032.35976828016,,9.249439405477481e-41,,,,,,1932113978678.7546,,4.1681374217395886e+18,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,2.399153144002258e-19,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,5.175678096816183e-13,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e+160,,,,,,,,,,,,,,,,,,4.8256729267480176e-15
$S_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,207224985028956.78,,,107195157453.0845,,,,3.669436171801159e-38,,,3.986006605846798e-88,,,7.516804690051469e-112,,,5.084468146389258e-60,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,,9.328779618031387e-12
"$S_{x,y,z}$",,,,,,,,,5.117130699582948e-07,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,1954220.1649871892,1.1098098804505832e+29,164717.22981117704,,,,1.1105567042429643e-38,,,2.5840801531845238e-24,,,549814338571.9956,,,2.7252143195316726e+37
"$S_{x,y,z}HF_{z}$",,,,,,,,6.210122811272474e-16,9.010552326259698e-30,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1610274112751559.0,,6.071010307460526e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,6.857117813654615e-16,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1458338659441864.5,1.9067358807830988e-23,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,9.004492937455834e+37,5.244564861229227e+22,,,,,0.13985073678327717,,,1.3510339053005285e+22,,,2.5087765748635965e+87
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,3.869849001268933e+23,,,7.150480741118099,181646098771723.94,8455116.744281251,,2.5751665421730034e+20,,21152274743.6382,,,1.3303525117840367e+111
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,1.4512824028862583,5.5052104436149094e-15,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.689045769459642,,1.1827157805672706e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,3.883243990721353e-21,,,,,3725522.289547212,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,2.6841874032151793e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.8187957822221376e-12,,,7.401738743022564e-23,,,4.7276239180883466e-11,,,,,,1.9667740483538114e+59
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,1.3303445578785585e-59,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,7.516849631757472e+58,1395778.514533992,,,,3.507310814265959e-05,,2.1481802427933483e-81,,,,7.697044634010927e-07,,,,,
"$S_{x,y,z}$",,,,7.164460475549515e-07,,,,,1.4374306257311102,19.93788045934503,,5.482347389873207e-73,,,,1.9316209610813524e-22,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,401097499.1265162,,0.0012176582747201144,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,0.6956857479583594,7.525981902932895e+21,821.2484740268,,3.8880982008618283e-07,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,2.49315939934239e-09,1.3287302745310846e-22,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,28511.872855194582,,0.050155782709154155,,,2571951.500037581,,133258215.54593489,4.553308178414188e-52,,,,4.0637541136212155e-24,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,7.504227757389518e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,4.655102863713464e+80,,1.8240361817406237e+72,,,,2.1962053979580992e+51,,,6.027582934396467e+19,,,9.488496255850913e+52,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.9849309802411882,652136918784.8076,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0014393478844968036,,1.5334203158799853e-12,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,1.6590398023285407e-20,,694.7590716400019,1.0152995692704496,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,7.685228299535974e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1299199.949525173,,5.1769991118764e+21,,,,2.46077880708412e+23,,1.053907777413484e-53,,,,,13011975.194808187,300239825203.0062,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.330670737380869e-12,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.3882477951493276e-56,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.1871702008102304e+55,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,8.462292159963855e+94,0.07548869522964109,,,9.343614722698283e-05,,,5.410025873731247e-77,1.4953045184860546e-31,,,,,1.83895962377853e-16,,,
"$S_{y,z}$",,,,1.1817129225709354e-95,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,13.247016615639476,,,,,4.555256694110275e-07,,,1.4254473454737459e-50,6.953482271286906e-39,,,,,4.4808394244037954e-17,,,
"$S_{x,y,z}HF_{x}$",,,,10702.496086131603,,2195265.968859562,243198.17145499412,8442529414.403321,,114073713960.46648,,1.4977242418728956e-54,1.9318534219238e-51,,,,,0.00012608879108798503,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.9949743096796246,4.111873021154925e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,0.5012595877290226,,1.1844791423456062e-10,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,8.766261439919114e-12,,673.1402751188972,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.0014855744589392893,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.8484199952824047e+76,,7.01534155698786e+49,,,6.676796515956139e+53,,,,1.3795925469924278e+20,,,,,2.681686443441213e+24,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.738500487116572e-36,,496.56472571332745,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,6.68760100459314e+30,,1.4381283520766444e+38,,,5.1763761611073404e+50,,,7.248516978292205e-21,,1.4840096871876958e+35,2.671848853330982e+17,,39564114493920.36,74892721173953.08,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.742726684383005e-18,0.0020138361591502,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,4.0625012856443244e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,2.5275429838159666e-14,,,2.4615376825447504e+17,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,5437857292077405.0,,2.231724695497332e+16,,,7930.919087821199,,,3.728996738025691e-25,1.3352432443699078e-14,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e+160,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,3.925234144226842e+122,,,,8.713761164706497e-10,,,5.2501753249650247e-73,21077126.68311484,,,,,,,2.948498150841104e-20,
"$S_{y,z}$",,,,2.5476187235117698e-123,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,4.616799734566108e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,108885612125231.92,,7.384250249916626e-14,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,9.1839498394873e-15,5.192060928347661e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,1147610063.0922935,,2166002550452.7998,1926017459733.9392,13542336271868.506,,,,2.8823754968524257e-64,4.315094179798533e-05,,,,,,,4.473553209227953e-05,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,5.780339734171761e-07,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1730002.1209623339,2.617354997157816e-32,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.9046982969214685e+72,,,,,3.46936060583365e+63,3.8206510048728557e+31,,,1.5313934927383765e+35,,,,,,,3.053062327351927e+38,
