ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,y,z}$",,,,,,,1.5961212099662846e-56,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,4.9084965762549535e-06,,5826.795683280193,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.4498910089161875e-05,0.00017162091385312662,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,6.9562702132683605e-09,,6.265188343817091e+55,,203728.36864907667,22472.460516365758,,,1.4940379843956835e-58,1.0233708397181507e-45,,,,,1.7741997612350107e-46,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,1.401576385732038e-07,,,,,,,3.3790187236420905e+18,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.959439061415278e-19,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.1920704658168234e+39,,,6.693270254467363e+57,,,,7134823.404417617,,5906.031042114478,,,,,5.5279308257895975e-12,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.051496569767516e-17,390.01752891625677,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,9.676270250774912e+29,,,9.771628828855554e+44,,,,,0.00016931844632533122,,1.2824193397889027e+24,4.874490236721791e+16,,356750.92807266477,1.913947845133016e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.7977613793987915e-25,,0.0025639873232844268,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.7351889143097989e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,2.8030760996263336e-06,,,5763061253752.691,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,5.789067726081858e+16,,,5.636343899087808e+45,,,,,180899514034.1978,52248.02768491853,,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
