ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
$R_{z}$,1e+160,1e+160,,,,1.5624893487943868e-153,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,4.424897726422035e-64,,,,,,,,,,,,,,,
"$R_{y,z}$",,,6.400043627635591e+152,,2.259939238886315e+63,,3.5874134842154694e+85,,,6.512741357748565e-113,,,,3.900234227357484e-71,,,,,,,
"$R_{x,y,z}$",,,,,,2.7875236696298747e-86,,,,1.0986423611974879e-143,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,2265.8894802124432,5.257625715157782e-119,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,0.00044132779146238097,,1.0482336280094379e-09,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,1.5354517323342578e+112,9.102143111522019e+142,1.901999218234556e+118,953985803.6218204,,,,0.2100193385006596,0.00022537740874240702,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,1.1478655350152463e-24,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,4.761466287528847,,8.711821807479547e+23,,6.654013864339063e-122,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,2.563948577717927e+70,,,,4437.001940788753,,,1.502852293950441e+121,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1.4295148764107317e-36,,,,,,,,,,,,,,,,,,
