ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{z}\hat{T}_{xz}$"
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,2.665596672494903e+56,2.8529781505770573e+43,9.027420018076012e+49,,14083604867.791763,179231025.8538942,,7443170201752.197,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.7963138724830896e+30,7.100454815279086e-11,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.10773620591227e-50,3.5761364625066682e-31,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,5.579391153042785e-09,,,2.297453506485132e+22,1319.6927569590166,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,4.352645209912853e-23,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,1.3723636780551651e+32,,,1.3435135471772362e-13,,0.0007577521318706878,,,,,1.108753037027009e+19,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,201.86378503454984,,2.116913878220307e-12,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,9.019141022435279e-20,5.1728209897494835e+26,472385773596.374,,7.418848675135006e+55,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,0.00495383557694039,1.9331811442568965e-27,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,2.716932451281701e-19,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,1.3479180446847464e-56,,,7.913626585599298e+48,3.6806215021218304e+18,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.2636431466449713e-49,,,,,,
$\hat{S}_{x}$,,9.999999999999992e-161,8.163280338673112e-141,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,2.0916721446742685e+33,,1.286164257139131e-69,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.22499774418202e+140,4.780863973095209e-34,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,7.775056680741085e+68,,2.200575259183243e+33,,5.798773838153609e-13,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,4.544266304126113e-34,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1724502503305.786,,,1.3458070958601043e-45,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.781279451764062e-09,4.531151613937292e-26,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,7.43048541708647e+44,5.548300035208231e+30,,2.2069444706377005e+25,,4.057117226195861,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,1.8023538627223294e-31,147464797.3311088,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.00038877380723001945,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,0.2464804303763354,,2572.1897447899473,,13283593849319.645,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,7.528083223134811e-14,,,,1.56426889656591e+44,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,6.392762792863376e-45,9.613145526707013e+29,4724928546.614593,,,,,44148105.37078855,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.184908586750848e+24,,2.1164341219858216e-10,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,8.439469602816466e-25,1.0402422362397654e-30,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,2.265102865912949e-08,1276554.8597437616,,1.423365920371001e+26,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,7.833584215884984e-07,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,7.025600273887051e-27,,,
$\hat{S}_{x}$,,9.999999999999992e-161,2.1071314942347634e-70,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000006e+160,,3.1658250376073923e+50,,7.722512417816833e-95,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,4.745788303843681e+69,3.158734257644764e-51,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,2.1645083392101116e-61,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.2949153667825386e+94,,4.6199868204939675e+60,,9.630894138239073e+31,,5.479404094178464e-72,,,,,,,6.989065535458791e-51,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,1.0383251914581229e-32,,,1.0691365835083412e-78,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.5053076653835927,2.8378776441661176e-42,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,1.8250159740225026e+71,9.353341896865303e+77,2.69628932302149e+19,,3.523760096055303e+41,5.2702223973743617e+23,,,,,1600343820395.1226,,,,,,,
