ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y}$"
"$\hat{S}_{x,z}$",,,387457768.4716951,4.2586153230981856e+91,,1.866376173115856e+83,,,,,,5.123481948773675e-53,,,,1.0624023464959767e-30,,3.5451292951607464e-15,,,
"$\hat{S}_{y,z}$",,,,,2.3481810967431775e-92,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,5.3579766737513145e-84,,,,3.658121454505562e-48,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.1544138198754079,8.010687518119158e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.73364351740793e+47,1248332.303236304,3.1414782418985134,,,,,,,,,,,,6.1673745558909925e-18,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.476104281384085,,0.3183214789339628,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,1.6214354924249142e+17,,2.09956479734962e+16,1.3370985669465468e-41,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,4.762891820544655e-17,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,1.9517976446454612e+52,,,,,,,,,1.124055320781314e+32,,7828603579.424422,,758397424.3620633,,7.478880201656646e+40,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.751415723151698e+19,0.0001476528355100701,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.182842851625537e-18,3.634492568991056e-20,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,8.896359293997335e-33,4.5811818255964326e+17,,6772.643387073989,2.7528133327939016e-08,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,1.3956279931112533e-11,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,9.412629812972529e+29,,,,,,,1.2773670168052148e-10,,36326473.28778642,,,,20.647428469022678,71652331777.23203,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,282077159037624.7,,,,,,,1.3185698789011106e-09,,,,0.048432181348892885,,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1.8545093779737874e-124,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,5.392261758700765e+123,,,9.999999999999997e-161,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,1.0033944860379951e-18,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.0000000000000003e+160,9.966169975167008e+17,,1.6571943228393422e-29,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,6.034295352198992e+28,,,1.2786250879233945e-05,,,,3.4064244541885935e-68,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.062444950168154e-11,1.3061278593824246e+22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,7.656218285343284e-23,1.3727112245816264e-33,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,78209.00821085034,94122523697.97882,,7.284853376971395e+32,0.0005383191700704609,,2.9997660305607933e-46,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,8.429847782230531e-20,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,1857.634012678964,,,1.186261040333282e+19,1.412704847192856e-32,,,,,,,,,
