ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.3699170552920667e-39,3.6535886277698114e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,4.666903562263481,,11302902594.060465,,3.455806477337765e+43,,,,,2433.238122742168,,7.929712551733287e+58,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,8.8472849489607e-11,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.8936805534619106e-44,,1.069293952340082e-31,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,9.351965358183905e+30,,6932462920.8452215,17246337505.067856,,7.910215767540293e-09,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,5.798332542814663e-11,1124184914127921.2,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.4424887827284297e-10,,8.895333742987854e-16,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,1.3712804056790165e-05,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,6.4632586413817455e-28,,,0.00041097498459091936,,126418801.8869874,,,72924.54525409997,,3.075263348788455e+19,2.335537330408466e+21,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.2517540339885516e-20,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1421585.3787791303,,7.857542743758858e-43,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,7.034399867412877e-07,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.2726625010017115e+42,,7.350542144653805e+63,,0.005592261375077585,,2.1072804730812127e-71,,,,,,5.039930184264569e-46,,,,2.99027132038648e-26,,,
"$\hat{S}_{x,y}$",,,,,1.3604438697454713e-64,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,178.8185374268431,,,1.5128791312955355e-58,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,9.114616110796007e-24,185444882672761.97,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,5.392437826200957e-15,1.6500288333231937e-30,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,4.7454527898596473e+70,6.609913371887564e+57,1.0971389116602816e+23,,6.060500154933525e+29,79475554060.60667,,,,4.446046343702427e+16,,,,3.706194999025992e+38,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,0.14983272308643375,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,1.258248541730728e-11,,,6.674109496248906,2.745489319088468e+29,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.6423379724966874e-30,,,,2.920812884550152e-19,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,1.9841544692864047e+45,,,2.2491893306880243e-17,,,,3.4237044258794225e+18,2.40198682038436e+21,,1747376881885163.5,,,1.0304540690511952e+23,,6585489924669.06,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,4.1632201788683517e-22,4.5768898132140135e-15,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,218488982870613.03,5.722863855913822e-16,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,,7.094923049092012e-06,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1.518489909541928e-13,,140945.8556605455,,2106.297997158315,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,3.344178145917388e+25,,,2.698185066524577e-39,,,,,,9.704459713772239e-24,,,,,,0.000474766629104304,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,1.1399844805042918e-11,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,87720492436.67183,,,,,,,,,,,,,,,,,2.1166350240391875e-109,,
"$\hat{S}_{x,z}$",,,4.724480076360514e+108,,5.0788518441918864e+32,9.309333212134909e+38,,1.4315746182644844e-37,,,2.457606576820363e-47,,,,,,,0.05266738175859096,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.9689489488526584e-33,,
"$\hat{S}_{x,y,z}$",,,,,,,,8.418933970646718e-56,,,,,,,,,,,1.0741907902667822e-39,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,8.082705268099928e+17,1.0266091560608662e-29,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.0224965578316717e-20,1.237209531747628e-18,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.187798839480841e+55,3.308523205457003e+19,,9.740805389239202e+28,,0.002628510278336925,,,,,,,1.228981334842653e+31,6.985315241285239e+36,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.0813305931726995e-06,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,380.44363312617753,,924786.56047817,,6.732676887451509e+34,,,,,,1.661238020785049e+43,4.068999527555767e+46,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.4852933190122624e-35,,2.8531163302920224e-13,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.1520859991108995e-25,,0.0015383140108991464,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.0259234153783906e-10,650.0623363727271,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,3504939456491.2397,,1.3981934782723716e+24,9747316271.470137,,9.454933145132724e-20,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,1.057648938020029e+19,,,239344615.4989812,,3.9819437004545984e-08,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,4.178076026131687e-09,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,8.136820077320624e-32,,,6.019606988813266e-44,,,,,,25113363.603956405,,18.987083971321262,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000003e+160,,9.08009303283809e-59,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000003e+160,1.1013103019798444e+58,,,,,,,,,,,,,,,,,4.5954032777844895e-65,,
"$\hat{S}_{x,z}$",,,2.17608758046174e+64,,6.898505018881425e+23,3898308038700.6006,,,,4.1206736641893166e-42,,,,,,6.900448893811826e-12,,,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,1.4495894360632752e-24,,
"$\hat{S}_{x,y,z}$",,,,,,,,5.5041158524502796e-58,,,,,,,,,,,2.5652154475030247e-13,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.925057767600888e+24,5.742976349920028e-16,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,5.6113953304760516e-36,5.1946493078296275e-25,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.8168222232365038e+57,1.7820879497990447e+35,,1741257388277291.0,2.1267566682649866e-12,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,7.582742129284813e-15,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,470199536656.8204,,,131878413237602.44,1.5512318391787864e+20,,,,2.2590249807122454e+35,,,2.426787660208311e+41,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.446489652567952e-21,,,1546150.9490914522,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,6.467673810164649e-07,,23.67559609908868,10331.155125145691,0.00026552540295353617,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,9.679459730171248e-05,710.3544843130675,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.04223758488760889,,0.0014077478527738552,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,4.426688542792082e-36,,,3766.118001805606,,,,20961594165942.8,47127926.2049965,144918108283.76376,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,4.7706295240881187e-14,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.1218841577077077e-08,,,,,
$\hat{S}_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
