ModelName,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,y}$","$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{y,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
"$R_{x,y,z}HF_{y}$",,,,,,,,0.0008130550724813543,,1.0124803496357268e-53,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,3.912686470052169e+35,1.0471572557413815e+18,9.876734895247922e+52,,,1.0229310580537019e-94,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,9.775829877554681e+93,,,3752998565.4140396,1.8888182536395662e+42,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,2.6645360571558803e-10,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,5.294315628690578e-43,,,,,,,,,
$R_{x}$,,3.3700209975273156e-113,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.9673405617761124e+112,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,1.7369983976960333e-32,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,5.757057699802181e+31,,,,6.912925167411816e-89,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,3.6281595585777273e-59,5.6033911350963556e-46,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.756218363207845e+58,,4.125221420350513e-21,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.4465656372415179e+88,1.7846335832895663e+45,2.424112303564621e+20,,,,3.849879103746431e-79,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,1.2227085751767441e-08,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,2.5974841626244066e+78,,81785637.25664954,,6023.511222635297,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,0.00016601612631552437,,,,,,,,
$R_{x}$,,2.6637742739229355e-29,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,3.7540718438101808e+28,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.6930569597238187e-99,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,5.906475823253612e+98,,2.2181064797515616e-88,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,4.508349843114857e+87,,7.847631003976134e-78,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,1.2742699032272712e+77,,2.747473459048788e+39,115582703.51773265,,1.3382818584364285e-60,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3.639707589190737e-40,,6.160123536172106e-48,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,8.651813546190156e-09,1.62334406790387e+47,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.1692786042985446e-53,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,7.472267472626002e+59,,,8.55228169166667e+52,,,5.642927218035763e-26,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.7721298917409895e+25,,,,,,,,,
$R_{x}$,,6.045036515812764e-82,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1.6542497260093862e+81,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,1.6916716194337322e-158,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,5.911312742450208e+157,,,2.4811619975804868e+79,2.7470242215485738e-58,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,4.030369645251512e-80,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,3.6403028126059704e+57,,,,,3.297581684800962e-86,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.9833676893293357e+24,1.1809985530381037e-20,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,5.041929468651091e-25,,2.8346483219134223e-30,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,3.0325253339717007e+85,8.467410882320836e+19,3.527774476535374e+29,,,2.026131312861416e-07,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,4935514.266287826,,,247327374.19566086,4.174541669060753e-08,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,4.04322410025224e-09,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,23954725.554937247,,,,,,,,,
$R_{x}$,,4.2857512481951893e+55,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.333313209489512e-56,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,6.5471087383897765e-108,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.5273917693414455e+107,,,,1.7524499979005953e-55,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,2.743504651079407e-17,1.1563786822653696e-34,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,3.644972862016323e+16,,1.010824325310075e-45,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,5.70629690546368e+54,8.647686223694295e+33,9.892915860461169e+44,,,,2.8303611443650086e-47,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,7.651219241777908e-33,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,3.533118033332633e+46,,1.3069812384145337e+32,,1.3265947218459212e+21,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,7.538097231447798e-22,,,,,,,,
$R_{x}$,,3.4483919552581547e-31,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.89990236891484e+30,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,8.650020589578088e-07,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1156066.6123787526,,3.570047235108955e-76,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,2.8010833867005707e+75,,1092913.66116665,1.1420783628451398e+21,,8.894619907326314e-56,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,9.149853602639868e-07,,9.910276384822953e-11,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,8.75596660030232e-22,10090535936.328127,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,5.342222445153794e-10,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,1.1242751353279534e+55,,,1871880121.55344,,,1.3647851689450315e-14,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,73271605140096.33,,,,,,,,,
$R_{x}$,,2.609797005325317e+92,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,3.831715639030507e-93,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,2.45785236842005e-24,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,4.068592617069256e+23,,9.437259840528636e-87,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.0596296137841471e+86,,,,1.6034041915742934e-39,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.2810782748444222e-14,2.4541191119199493e-49,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,78059242720468.66,,1.9693537911720387e-20,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,6.236730608881318e+38,4.0747818438920945e+48,5.0778077787884995e+19,,,,2.9829807184882086e-53,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,,,,1.3173813550314471e-08,,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,3.3523515381849523e+52,,75908164.03926781,,1.3154927122938567e-33,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,7.601714480472306e+32,,,,,,,,
$R_{x}$,,4.957760067233441e+118,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.0170399261738092e-119,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.3962667810813167e-84,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,7.161955104493468e+83,,6.321432128604494e-141,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.5819200137813674e+140,,,,7.381333149880141e-06,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1819847261112834.8,2.189262670545167e-12,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,5.494966645654103e-16,,3.1541599352866046e-66,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,135476.88197981392,456774791556.1825,3.170416277287266e+65,,,2.977890571296256e-76,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,3.3580817563914263e+75,,,6.510307053765678e+39,17958461493.42073,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.5360258613633011e-40,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,5.568405736573595e-11,,,,,,,,,
$R_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,1e+160,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,2.8723233270958147e-131,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,3.4815022061290457e+130,,5.911754686456248e-142,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.6915451554358078e+141,,2.986273343594883e-116,,,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,3.348655280149933e+115,,914498.5055976978,117376994042165.72,,3.0739696449159378e-37,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,1.0934954993134954e-06,,0.018961239565762556,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,8.519557074708923e-15,52.73916805553442,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,0.0025452270321456253,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,3.2531225597946544e+36,,,392.8922596570886,,,1.3484195540949087e-14,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,74160894282731.16,,,,,,,,,
$R_{x}$,,2.837051995591498e-57,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,3.5247855927698977e+56,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,3.686063126638955e-105,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,2.7129215253343348e+104,,,,7.143744769260355e-156,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.03386765553985e+32,1.4125004533252022e-59,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,9.672417882904311e-33,,3.130000707731118e-47,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.3998260468417287e+155,7.079643745571022e+58,3.1948874565107756e+46,,,4.5757882063795307e-48,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.1854158341634065e+47,,,32808.65058311398,5.073646650885493e-26,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,3.047976622710237e-05,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.970968947601962e+25,,,,,,,,,
$R_{x}$,,2.5710226639393963e+101,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,3.889502858243072e-102,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,1e-160,,,,,,,,,,,,,,,,
"$R_{x,z}$",,,1e+160,,,5.233410840848481e+24,1e-160,,,,,,,,,,,,,,
"$R_{y,z}$",,,,,1.9107997258588478e-25,,,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,1e+160,,,,,7.376903242022242e-106,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,1.3986681641491392e+31,2.850437339927549e-13,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,7.149658694121607e-32,,1.3601168084308497e-32,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.3555823727001582e+105,3508233582238.3574,7.352309697236136e+31,,,8.442251673563148e-60,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.184518110412999e+59,,,221110753572.51062,4.759456596134448e+23,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,4.5226203784433394e-12,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,2.101080196449703e-24,,,,,,,,,
$R_{x}$,,9.591144801901607e-11,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,10426284042.773842,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,7.11995295047451e-153,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.4736300932126702e-93,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1.4045036630942273e+152,,6.785963483006062e+92,,2.538734880844252e-91,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,3.938969789816933e+90,,,,1.3788700514808816e-117,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,4.662383428030606e+18,1.482416087655429e-21,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.1448257429621155e-19,,3.3806986197321167e-62,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,7.252315030890823e+116,6.74574438531349e+20,2.957968492557432e+61,,,4.454897206526374e-47,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.244720705418323e+46,,,4.3869761382470164e+19,9075269215260.352,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,2.2794744454652723e-20,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,1.1018956862662195e-13,,,,,,,,,
$R_{x}$,,1.3484849613265139e-43,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,7.415729716527897e+42,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,8.560321044050408e-88,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1.1681804862856396e+87,,9.70641687002397e-30,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.0302462931385828e+29,,,,6.800616566843308e-111,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,9.33855385227812e-14,2.709707960882569e-85,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,10708296121846.02,,1.1612877022012571e-05,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1.4704549068029245e+110,3.690434594561599e+84,86111.30541591621,,,1.1004315692344822e-36,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,9.087343801810888e+35,,,1.4619158819432705e+32,1.8421804892812254e-08,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,6.840338848160929e-33,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,54283497.50844316,,,,,,,,,
$R_{x}$,,4.0973178307815246e+64,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,2.4406210142825544e-65,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1.0291122474187933e-107,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,9.717113002086874e+106,,1.0913202839003626e-140,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,9.16321280519056e+139,,,,1e-160,,,,,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,,,4.579242543453238e+37,6.808788805051266e-13,,,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,2.18376727266753e-38,,6.2700211774229296e-52,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,1e+160,1468689995580.6025,1.594890944867613e+51,,,3.5239879530654904e-14,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,28376941502598.145,,,202.9910366609812,1.349266184652394e-41,,,,,,,
"$R_{x,y,z}HF_{y,z}$",,,,,,,,,,,,0.0049263258932467895,,,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,7.411436018887747e+40,,,,,,,,,
$R_{x}$,,11981461995.423092,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,8.346226865986798e-11,,1e-160,,,,,,,,,,,,,,,,,,
$R_{z}$,1e+160,1e+160,,,,1e-160,,,,,,,,,,,,,,,
"$R_{x,z}$",,,,,,1e-160,,,,,,,,,,,,,,,
"$R_{y,z}$",,,1e+160,,1e+160,,9.099111538786622e-31,,,,,,,,,,,,,,
"$R_{x,y,z}$",,,,,,1.0990083984983783e+30,,105952053.28217344,,,,,,6.565894286373582e-145,,,,,,,
"$R_{x,y,z}HF_{x}$",,,,,,,9.438231436032503e-09,,118.9615614517058,19.121575943918515,,1.6728936803210042e-64,,,,,,,,,
"$R_{x,y,z}HF_{y}$",,,,,,,,0.008406076616655413,,3.935247203978753e-31,,,,,,,,,,,
"$R_{x,y,z}HF_{z}$",,,,,,,,0.05229694471485459,2.5411364221006104e+30,,,,,,,,,,,,
"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,,2.2575128657544554e-07,,,,,,,,,
"$R_{x,y,z}HF_{x,z}$",,,,,,,,5.9776661945911254e+63,,,4429653.603173608,,,2.0027092270847828e-51,,,,,,,
"$R_{x,y,z}HF_{x,y,z}$",,,,,,,1.5230217794936679e+144,,,,,4.9932360947656725e+50,,,,,,,,,
$R_{x}$,,1.604185094914443e-159,1e-160,,,,,,,,,,,,,,,,,,
$R_{y}$,6.233694622710191e+158,,1e-160,,,,,,,,,,,,,,,,,,
