ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,6.079838784496231e+20,2.7386970465324095e-14,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6447804546232864e-21,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,2.8637786400394544e+122,,,,7.113658538928507e+61,,,36513713748154.29,,,,2.332880963603727e+25,,,,6.635549073446552e+32,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,0.01931386675874175,3.586393455773066e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,1.2630605838692672e+92,,,,1.81866991204846e+22,,,,,4.2865453300079485e-26,51.77627103321426,,3.023065634959763e+27,2.911964834689142e+31,,2.599881056594844e+19,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.7883164865536056e+18,3.3079003923555565e-28,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,3.434107404345602e-32,,,2.74952296919853e+32,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,3.636994530332999e-33,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,3.0592978557708376e+37,,,,42388949335018.4,,,,,1.50703429201013e-33,,3.846329805986338e-20,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,0.2640757661747564,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,3.7867920047545516,,1.5563252299205248e+41,,,203937.08305602183,,,,,1.9446805509213496e-28,2.0017695163874412e-96,,,,,1.7723828845754698e-87,,,
"$S_{y,z}$",,,6.425392204501277e-42,,5.130777199665439e+37,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.9490224601161916e-38,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.055648315927143e-54,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,4.903473095794443e-06,,,9.472851752922382e+53,,2.4352355957147644e+19,7767085.791537068,,,1.622692491359781e-75,4.523140093729795e-55,,,,,4.439471356576464e-47,,,
"$S_{x,y,z}HF_{y}$",,,,,,,4.106378872580871e-20,,0.019228889581974933,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.2874841695318842e-07,52.0050830671676,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.1238750031316107e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,8.897786650771301e+16,,2.144967840119949e-42,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,5.142232741136947e+27,,,,6.162597074458772e+74,,,,4.662074560260441e+41,,0.001642282361606262,,,,,79652677228925.3,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,4.9955801195568325e+95,,,,2.2108534762968108e+54,,,,,608.9086891379221,,1.3137952860446243e+17,6.183679730356977,5.416132807668152e+25,,5266983964019417.0,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,7.611535911432962e-18,,3.4319507030184366e-31,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.16171600787970808,2.9137947672747437e+30,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,1.8463358183983262e-26,,,,2023.1229924867434,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0004942853221053255,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,5.642121737366728e+86,,,,2.2525204459730063e+46,,,,,1.2554505821894174e-14,1.8986197923353188e-16,,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,7.097362864691877e-09,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,140897403.5940621,,,9.01302759163944e+49,,,,2.5829390773695477e-39,,,6.683490332564456e-64,,5.893980453689937e-57,,,,6.363213983249095e-70,,,
"$S_{x,z}$",,,,,0.0001262428641158911,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.1095050911944485e-50,7921.239802370124,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.049400634109457e-61,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,4.800856845738005e-08,2.447316926715688e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,20829615.04856695,,1.3786134361470005e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,3.8715586006712745e+38,,,4.87947541030472e+60,4.086107479924986e+19,72536649.78014699,,,,5.099288572181371e-28,,1.3198448036506143e-32,,,,4.0630022479953546e-35,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,651480262.7747356,3.879136927375643e-51,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.5349659186003204e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.4962242035836087e+63,,,,,,1.9610578727695352e+27,2.5778930177557076e+50,,,,3.575063097109546e+22,,,,1.4312458249090088e+28,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.7088888797656835e-21,3.0669882914092983e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,1.696646278108961e+56,,,,,,7.576648384977217e+31,,,2.7971534287283045e-23,5.8517555578986286e+20,,13562775.87795867,22511336867247.668,,3.5739381035923716e+21,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3260527608797.928,7.373121911017744e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,4.442206191027802e-14,,,15040794586650.5,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,6.648584915105168e-14,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.5715328804476162e+69,,,,,,2.4612341784782183e+34,,,6.986919944822021e-29,,2.7980339082952837e-22,,,,,,,
$S_{x}$,,7.909697072598764e-117,1.9015268341699942e-88,,,,,,,,,,,,,,,,,,
$S_{y}$,1.264270920645316e+116,,8.19238278616766e-30,,,,,,,,,,,,,,,,,,
$S_{z}$,5.258931833252273e+87,1.2206460880812835e+29,,116263216114785.52,,,,,1.2197121037068026e-16,,,6.689410351841495e-105,,3.595865781392928e-77,,,,2.283740022045166e-27,,,
"$S_{x,z}$",,,8.6011726960375e-15,,4348249621.730272,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.299775971927932e-10,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,7.490886304010998e-78,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,6.5086500106066416e-24,1.5839038249896342e-36,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.5364169195922006e+23,,1.4984343529735955e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,8198656034984978.0,,,1.334955517165638e+77,6.3135146479398426e+35,6.6736323684486504e+19,,,,9.090293823183787e-32,,5.811970081139134e-19,,,,4.4624262272085716e-07,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,8420405818078.372,2.1545150676238524e-50,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,1.1875912178164008e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.4949000695176592e+104,,,,,,1.1000744524336617e+31,4.6414156718006574e+49,,,,9.122406572291236e-08,,,,1.7752564803572165e+18,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.101848817556003e-31,3.303687880179925e-17,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,2.7809714288407918e+76,,,,,,1.7205869714387827e+18,,,10962019.638956238,1.2342861765490943e+30,,16032775.358679704,5414934289311122.0,,1.2876339081043528e+22,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.026920327429775e+16,6.237223298077506e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.8467444784583306e-16,,,1.614521266463188e+29,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,6.193786485021816e-30,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,4.3787821308332044e+26,,,,,,2240933.4050224517,,,5.632988872677036e-19,,7.766182559390612e-23,,,,,,,
$S_{x}$,,3.472494971810988e-117,5.861606345635615e-118,,,,,,,,,,,,,,,,,,
$S_{y}$,2.879773788350444e+116,,1.233915389101257e-17,,,,,,,,,,,,,,,,,,
$S_{z}$,1.706016987552519e+117,8.104283396030637e+16,,,2.769686405070118e-29,,,,,,1.1130841631858818e-46,,,,6.360355089219861e-89,,,1.6894565080124397e-89,,,
"$S_{x,z}$",,,,,6.487248465157659e-63,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,3.6105170540947354e+28,1.5414855857161889e+62,,1.491436710556835e+17,,,,,8.519381121147743e-81,,,,1.5488080012997206e-66,,,7.924912557761021e-64,,,
"$S_{x,y,z}$",,,,,6.704944252221372e-18,,,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.7508132451549476e-16,11416.438659396266,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,5711631453367830.0,,11160909774472.838,,4.138072134984082e-16,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,8.759299023403878e-05,8.959843061245721e-14,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,4.709774592985414e-13,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,8.984046607381324e+45,,1.1737941826756527e+80,,,2416584262864346.0,,2123243862857.828,,,,,9.47620513801881e-15,,,5.322622026393118e-33,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,8.318363232982083e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.283710353947754e-22,1.231724621467869e-38,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.8926094221891716e+21,,6.908416399325935e-29,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,1.5722392633312182e+88,,6.456578214735623e+65,,,,,,105527474915878.6,1.2021595739352031e+22,8.118697820688863e+37,1.447509736236472e+28,,,,1.6722872486920894e+26,,,
