ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.15552748983934e+95,,,,,,1.3914097355350436e+37,,,6.924489992469383e-28,,,9.959925011246945e-41,,,
$S_{x}$,,7.578477118776875e-157,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1.3195263168669361e+156,,1.8513559250804433e-17,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.401446509841423e+16,,,13895193655535.021,,,1.1912281489716909e-73,,,,1.0476214212863406e-41,6.065546207463853e-71,,,,,1.747408084526223e-45
"$S_{x,z}$",,,,,8.610706741870041e-66,,,,,,,,,,,,,
"$S_{y,z}$",,,7.19673309196133e-14,1.161344858183875e+65,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,2.9456825109176902e-49,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,2.3884764296221717e-24,6.653149392839072e-33,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,8.39469753013505e+72,,,3.3947989856125484e+48,4.18676938820865e+23,,298671096.2006323,,,2.615718673454642e-53,9.309231877453727e-68,,,,,1.1158044589548598e-13
"$S_{x,y,z}HF_{x}$",,,,,,,1.5030475658284806e+32,3.3481646289879022e-09,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.7475959049047543e-16,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,3639545386622874.5,,7.859631124613504e-51,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,9.545432917667264e+40,,,,,3.8230411020435784e+52,,,1.2723243421289378e+50,,5.65990083775313e+20,,,,,1.4394530440218284e+54
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,1.648656140430465e+70,,,,,1.0742024832595763e+67,,,,1.766815406605216e-21,,415.01153411963963,8.261204252855049e+40,,515560888355738.2,8.736571665175028e+23
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0024095715848507474,,8.998712809211448e+24,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.2104772735214758e-41,1.1112700462852413e-25,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,8.998941377618046e-33,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,1.93963510922884e-15,,,1.1112418206070064e+32,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,5.722761665436219e+44,,,,,8962143787601.188,,,,6.947083158794832e-55,1.1446137436107968e-24,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.2851501883559044e-37,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.3760799841321124e+36,,,1.5542958685194576e+47,,,2.8073838700404606e-54,,,,4.581903136822353e-32,,7.932875830194715e-106,,1.0433020445586533e-92,,
"$S_{x,z}$",,,,,2.151689084342338e-83,,,,,,,,,,,,,
"$S_{y,z}$",,,6.433781497164684e-48,4.647511609725199e+82,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,6.251992114601041e-61,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,7.567445812228914e-18,2.5147789320388713e-17,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,3.5620351412277218e+53,,,1.5994901811609418e+60,1.321449832364852e+17,,644384622043.6158,,,4.137401624333713e-62,,1.2913397200695256e-47,,2.063889273672326e-49,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.976492674007112e+16,1.5518681945397417e-12,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.019280800364009e-25,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.95225824867811e+24,,7.390561747414935e-50,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,2.1824992151482303e+31,,,,,2.4169758964626498e+61,,,1.3530771194081144e+49,,,288247645808011.56,,2.036159266526923e+25,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.021782519049396e-09,1.6295984557013824e-25,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,1.26057689721264e+105,,,,,7.743895618313051e+46,,,,3.4692390884817628e-15,978681844.0878582,,80333514.565448,5.0314893627033204e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.136481023907193e+24,1.2448104697141023e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,9.584951982175294e+91,,,,,4.845221169354094e+48,,,,4.911207175388102e-26,,1.987483084854858e-21,,,7387.768603384966,9.978960166881432e+18
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.00013535886864970498,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.00210841939107e-19,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.5025589810412723e+23,,3.580308485358337e+26,,1.1196069657063584e-48,,,,,5.333793665995811e-133,,4.412701696309426e-98,,,,1.0804241586243058e-97
$S_{z}$,1e+160,3.9959098170142505e-24,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,,3.909596017892637e-15,,,,,,,,,,,,,
"$S_{x,y}$",,2.7930554143295127e-27,,255780903045584.53,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.8226240560436417e-72,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,8.931705773812343e+47,,,,5.486594982021106e+71,,654453649128.2772,8.742078865270548e+19,,,5.6336053650334635e-24,,2.7426140816793022e-14,,,,1.265790494715234e-05
"$S_{x,y,z}HF_{z}$",,,,,,,1.5279920913146188e-12,,1.330382052789347e+20,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.1438926774873613e-20,7.516637780127512e-21,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,466.7975064704639,4.415033057296932e-41,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.0021422565162379976,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,1.874838178265566e+132,,,,,1.7750622118595273e+23,,,2.2649887034192264e+40,,,,9.655020249327212e-06,,,,2.9472947421277817e+36
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.5293257942928942e-34,2.419341256287472e-09,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,2.2661853640284648e+97,,,,,36461564413309.664,,,,,103573.06087158986,6.538829095355476e+33,,2693319004339774.0,,8.203143501048735e+21,4.8341948421525176e+16
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,413335653.8277367,3.7128910403434913e-16,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.7767988688391296e-18,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.2190448696553395e-22,,5.6280990355050675e+17,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,9.255624210340603e+96,,,,,79002.01527623028,,,,,3.392941960321403e-37,,2.0685968039193284e-17,,,,
$S_{x}$,,6.035530555637844e-122,1.3939958840996048e-70,,,,,,,,,,,,,,,
$S_{y}$,1.6568551692044554e+121,,2.2193320762451614e-55,,,,,,,,,,,,,,,
$S_{z}$,7.173622328489941e+69,4.505860167135861e+54,,6.316802198205531e+25,,,7.987740408759529e-59,,,,,7.072609320367799e-26,,7.716328702899124e-99,,,,2.8407440747561647e-52
"$S_{y,z}$",,,1.583079489625429e-26,,3.324983841918909e+24,,,,,,,,,,,,,
"$S_{x,z}$",,,,3.007533412321432e-25,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.7589433027384268e-78,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,1.2519185011362893e+58,,,5.685231573087892e+77,,46835349.43426395,67780360789668.78,,,8.371923935930516e-37,,3.8542795625592013e-28,,,,7.825616362328858e-26
"$S_{x,y,z}HF_{z}$",,,,,,,2.1351394023515428e-08,,96287303.71669982,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.4753536103225082e-14,1.038558523709666e-08,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,6.346233339747455e-14,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,15757378376506.314,,5.38198505763566e-27,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.4139053278684376e+25,,,,1.1944685685786188e+36,,,,1.8580504949214896e+26,,,2.0602575087499672e-05,,,,8.332024325698223e+23
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.2951637088179734e-21,35369.29491721219,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,1.2959530866333973e+98,,,,2.594518596196511e+27,,,,,48537.621911483104,4.356987678735159e+20,,7391396480.599017,3.284740215807756e+34,,3.1925363836843114e+39
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,2.827311096646594e-05,1.3529243122389742e-10,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,3.0443807859979833e-35,,,1.2740844249443462e+16,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,7.848773444064991e-17,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,3.5202044734911045e+51,,,,1.2778546170673844e+25,,,,,1.2001885267134048e-24,,3.1323057275418144e-40,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.3065154314769796e-115,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.3355443729229637e+114,,1.9674674457587846e+61,,,1.0571902411084293e-15,,,,,1.4172275405087149e-38,,,8.063413416958906e-62,,,8.729843643111645e-24
"$S_{x,z}$",,,5.082676219907335e-62,,8.182087217743668,,,,,,,,,,,,,
"$S_{y,z}$",,,,0.12221820342264267,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.133066876378605e-33,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,945903548023232.6,,,8.825604391473342e+32,,3.6658983668434365e+18,2333185986.4030356,,,2.181790726506557e-46,,,2.5739808580451596e-34,,,4.747945346022575e-15
"$S_{x,y,z}HF_{y}$",,,,,,,2.7278443097184426e-19,,189295483.75511038,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.2859849400246636e-10,5.282746213288901e-09,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3.6734581443293733e+33,2.293176220339033e-44,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,2.72223055418142e-34,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,7.056029969902005e+37,,,,4.58339100927971e+45,,,4.360763865989138e+43,,,,,3.6997023341631934e-11,,,9.21265952465359e+43
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,9.337108923491698e+29,0.013070618553319332,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.0709953243493285e-30,,3.805254422908866e-55,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,1.2401695761956196e+61,,,,3.88503277665966e+33,,,,,27029201532.40334,76.50747330133403,2.627945174913077e+54,,,409793736492093.44,4.3450577826418354e+29
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.5591604326027694e-19,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,2.4402520364517433e-15,3.907531498456936e+18,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.1454958884504858e+23,,,,210617420193708.62,,,,,1.0854628865030171e-44,,,2.301465365995641e-30,,,
$S_{x}$,,1.4395638277065794e-86,1.257101886165622e-154,,,,,,,,,,,,,,,
$S_{y}$,6.946548536115524e+85,,6872991356.764064,8.779200761972777e-28,,,1.4180472911194392e-79,,,,,3.815547164477905e-77,,,,,2.1618650078592514e-69,
$S_{z}$,7.95480470600655e+153,1.4549705478908373e-10,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1.1390558515662532e+27,,,5.1365563346837486e+32,1.32768651958581e+47,5.99904329824171e-52,,,,,3.85362337018938e-78,,,,,1.4111386857894636e-83,
"$S_{y,z}$",,,,1.9468296166590543e-33,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,7.53189842066005e-48,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,7.051950991074331e+78,,1.6669324595358313e+51,,,,5.4363363480869134e+19,5.573568183171286e+35,1.6724044544388103e+23,,5.51145029862752e-24,,,,,4.527761418229857e-26,
"$S_{x,y,z}HF_{y}$",,,,,,,1.839474116335549e-20,,610369.8292592985,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.7941827697010664e-36,1.6383509670088527e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,5.979414832015373e-24,,,,27830104.72507898,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,3.593231178533275e-08,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,2.6208560840495693e+76,,2.59496038906069e+77,,,1.8144044594741667e+23,,,,,,1.723274996074108e+17,,,,4.709273095595662e+18,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,5.8029043668489215e-18,,11.017247860638204,2140491936034952.8,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.09076676976404817,,4.599026582514548e-22,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,4.671823253174222e-16,2.1743731680134003e+21,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,2.2800733305447908e-09,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,4.625635718995388e+68,,7.086475695622706e+82,,,2.208596937050966e+25,,,,,2.1234699702067563e-19,,,,438582385.3134865,,264296.12495025585
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,3.7836347399653084e-06,
$S_{x}$,,5.499876821539296e-115,2.0114124818773822e-103,,,,,,,,,,,,,,,
$S_{y}$,1.8182225392461094e+114,,1.2613010810012772e+26,1.1487379868369103e+22,,,,,6.309626809957884e-32,,,1.4541806579668941e-133,,,2.170678622406768e-63,,,4.9759992929126714e-101
$S_{z}$,4.97163067749602e+102,7.928321120649126e-27,,,,,,,,,,,,,,,,
"$S_{y,z}$",,8.705205290142224e-23,,,2.8525627385033555e+57,,,,,,,,,,,,,
"$S_{x,y}$",,,,3.505619653871896e-58,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,7.621866758951369e-78,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,0.0002616852186860262,2.4763547844926866e-24,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3821.3851169019017,,6.070066256624219e-12,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,1.584879787853372e+31,,,,1.3120145387290684e+77,4.0381935830122296e+23,164742847560.9648,,,,1.2881769202459756e-33,,,6.127491309297133e-37,,,6.0704408177387067e-33
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,6616179.652400038,2.502019027619207e-63,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.5114462613439571e-07,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,6.876724666370621e+132,,,,,,,7.762908838710225e+32,3.9967721626463755e+62,,,,,3.0544802482099344e+25,,,5.74015557054401e+42
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,,4.4888297239355157e-13,9.708917667665515e-08,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2227752134744.0747,,1.630939671423696e-20,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,4.606854232945995e+62,,,,,,,1.6319892587733545e+36,,,3.273879412335522e-26,10299809.249906303,6.131434641767405e+19,,,2.0603447843348702e+35,6.299106171889876e+47
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,2.5386700530773475e-09,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,4.8535565872428705e-36,393907037.5797009,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,2.0096465878206666e+100,,,,,,,1.6473268252247106e+32,,,1.7421130624604784e-43,,,1.5875268216029722e-48,,,
$S_{x}$,,1.0929980722698232e-148,1e-160,,,,,,,,,,,,,,,
$S_{y}$,9.149146968972282e+147,,0.0009730843780450626,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1027.660111047113,,37132029765.27221,,,,1.668573921585538e-27,,,,6.198104427119657e-78,5.551401652918714e-25,,,,,1.3068317686358521e-45
"$S_{y,z}$",,,2.693092745862365e-11,,4.107515331533075e+31,,,,,,,,,,,,,
"$S_{x,z}$",,,,2.4345618197041847e-32,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,1.884604358974673e-17,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,1.763758150492765e-15,2.893781399688155e-10,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,5.993141730572923e+26,,,5.306153491781449e+16,566971157423491.8,,1325638690281743.5,,,1.0421407040174531e-29,1.671825764076142e-24,,,,,8.0015912685981885e-25
"$S_{x,y,z}HF_{z}$",,,,,,,3455686044.9367867,7.543533598792789e-16,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.00020532716476946705,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4870.276181540612,,8.96505645356685e-44,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.6133965017183705e+77,,,,,9.595633258973566e+28,,,1.115441944152107e+43,,9904496402058.783,,,,,1.876911942228147e+27
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,1.8013468715135004e+24,,,,,5.9814845630914434e+23,,,,1.0096424486480064e-13,,16.279157061141067,3.482951715737577e+48,9.784727251629942e+17,,5659718573105354.0
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.06142824203023607,,1.934560804998872e+61,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.871127944385621e-49,5.169131915709329e-62,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,1.0220008941316374e-18,,,,4856919724.771384,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,2.0589181140873604e-10,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,7.652094355219561e+44,,,,,1.249751413727474e+24,,,,5.327900459799225e-28,1.7668723048385136e-16,,,,,
$S_{x}$,,5.9735099020917604e-114,5.29149835608476e-105,,,,,,,,,,,,,,,
$S_{y}$,1.6740576585464893e+113,,2.5020139274750586e-07,,,,,,,,,,,,,,,
$S_{z}$,1.889823888634658e+104,3996780.3097289857,,6.533609549595188e+59,,,,,6.011385164691959e-41,,,9.679986679545818e-84,3.7773216002138386e-75,,,,,9.279129537699054e-61
"$S_{x,z}$",,,1.5305475364103422e-60,,4.311821934486717e+25,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.3192052343391608e-26,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,5.885615171029294e-37,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,8.273905361273165e-25,1.9272728829936175e-12,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.2086190938085891e+24,,0.0003077897314807745,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,1.6635101105707355e+40,,,1.6990577381312498e+36,518867882604.5163,3248.9712869529667,,,,1.160790509432546e-39,6.692619415935176e-45,,,,,2.273937535142382e-44
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.740256382598854e+25,1.4810872268392693e-16,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.649293571032948e-26,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.0330592728118503e+83,,,,,,8.614818883114847e+38,6751796800881614.0,,,0.0008842054828021741,,,,,2.7052461223993944e-06
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,2.647378502120097e+74,,,,,,1.4941832754137977e+44,,,1130.9588319118498,,2.9271618810917915e+27,5.143837438791871e+32,9917058.595815506,,204.92589251725846
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,3.41627843154002e-28,,2.883714614512982e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.9440738784989078e-33,3467749.5303011658,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,1.0083635085326098e-07,,,,636492.1631967757,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,1.5711112529296663e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,1.0776872937673958e+60,,,,,,4.397658179020231e+43,,,369652.1332088848,0.004879812832415903,,,,,
$S_{x}$,,5.523747804712876e-112,2.50216708796076e-87,,,,,,,,,,,,,,,
$S_{y}$,1.8103650553104495e+111,,4.804087742724139e-19,,,,,,,,,,,,,,,
$S_{z}$,3.996535662272616e+86,2.0815606490837194e+18,,,4.152530364744826e+79,,1.4494093593127385e-28,,,,,1.0193270156482448e-58,,3.8626150796431664e-70,,,5.6427532615069294e-65,
"$S_{x,z}$",,,,,0.122959052015721,,,,,,,,,,,,,
"$S_{y,z}$",,,2.4081702291452123e-80,8.1327887911184,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,2.691203025423594e-106,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,6.899362099291028e+27,,,3.715810329258234e+105,,1.5424650321292358e+48,4.929171337060698e+32,,,6.286446237835737e-14,,1.027033723030833e-15,,,1.108031523331137e-20,
"$S_{x,y,z}HF_{y}$",,,,,,,6.483129141797069e-49,,2.8052504515641125e-13,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.0287385680456128e-33,3564744101341.946,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.24716078079788464,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.04594934832217,,1.0399595325432145e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,9.81039435478953e+57,,,,15907238560021.066,,,,9.615758774329482e+22,,,341070787731.6991,,,5.7707917844514465e+22,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,4.803678321711696e-07,1.2117274954340784e-18,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,2.5889196292693533e+69,,,,973677862348029.9,,,,,2.9319426816073233e-12,2081738.0620184196,,22.41782723699286,,51.35668581262309,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,8.252680604905883e+17,0.044607355986303894,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.839640109728553e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,1.7721845235050102e+64,,,,9.025013990519369e+19,,,,,1.7328644618479453e-23,,0.01947166146290163,,54358458.19580192,,1.1435009250063321e+27
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,8.745073817884865e-28,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.344534580318792e-19,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.3017425261847547e+18,,,1.637716707741969e+29,,1.1018569208049636e-75,,,,,6.755238128425134e-75,1.3668500036910548e-36,,,,2.3196865771540776e-99,
"$S_{x,z}$",,,,,3.902610726947143e-52,,,,,,,,,,,,,
"$S_{y,z}$",,,6.106062149043884e-30,2.5623872580862303e+51,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.304135327807057e-78,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,9.075588500814136e+74,,,7.667915887851379e+77,,1.956214220043995e+16,6399642734854933.0,,,9.641296396166635e-24,1.692941412618179e-33,,,,5.060918723213052e-31,
"$S_{x,y,z}HF_{y}$",,,,,,,5.111914583554709e-17,,24.935560065603177,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.5625872278050973e-16,0.04010337034215761,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,11546155.71371915,1.6771882380994233e-29,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,8.66089133729419e-08,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,1.4803327151298106e+74,,,,1.0372049140586514e+23,,,5.9623599622496294e+28,,,1.1881962619375988e-07,,,,4.5028819432425375e+18,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,7.316091724034023e+35,,,,5.9068789536755044e+32,,,,,8416118.044078795,,859797550561.2168,1.1140580415032749e+27,,2.4404210231847417e+25,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.1630644904108749e-12,,1.1140062619807336e+26,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,8.97619300562322e-28,8.976610223195448e-27,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,4.282172127005327e-26,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,4.310927216843477e+98,,,,1.9759258243237004e+30,,,,,2.220799951241665e-19,4.0976536036187854e-26,,,2.3352634372017525e+25,,6.198959471163336e+27
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.613173960326496e-28,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.230910608902389e-57,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.214932402398369e+56,,,2.3844472465033662e-17,,,,,,,,,,,,,
"$S_{x,z}$",,,,,2.2759167086035153e-49,,,,,,,,,,,,,
"$S_{y,z}$",,,4.19384409307622e+16,4.3938339053435405e+48,,,,5.614668745982745e-36,,,,6.939577258737152e-70,,,1.89159063948139e-83,,,1.36528470094865e-63
"$S_{x,y,z}$",,,,,,,,9.037830277140996e-57,,,,,,,,,,
