ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1721.213507768055,,,0.5311495104102532,,,,15.327196915608411,,,101427.37245538046,,,,0.40964965845260404,30842.373276906914,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,0.018997895091013232,,,0.09518308723442988,,,,0.00011711768527587849,,,,,,2.4411102984373634,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.716750491662655e+36,,2.846543027906375e-28,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.6808680188661665e-37,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.513033142996252e+27,,,,,,,6.488276580285967e-27,,,2.4930206011732724e-30,,2.82640093846858e-23,,,1.1417648411576088e-26,9.436638002239861e-28,,,280705858.40931165
"$S_{x,y}$",,,,,3.562447914933961e-09,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.6126427079490983e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,3827851188326920.0,0.02080176739034103,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.612431755574805e-16,,2.204368712670926e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1.541241325991571e+26,3.8275421164840075e+27,48.072838294708276,4.536446168247184e+25,,,,5.986676210072736e-05,,22459.29434575566,,,0.0003548327572058197,39.78476066140095,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.013884683630853923,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,8.91458717856169e-06,,,,,,,,72.02180666024286,
"$S_{x,y,z}HF_{x,y,z}$",,,,,4.01119830108655e+29,,,,16703.759563904165,112175.69360977896,,,,180.61882874182731,,,0.09390881454168239,4.280900190206934,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,3.5380684544416646e+22,,,,4.452499640483937e-05,,,0.005536521341467553,112.28916825395666,,21799.165744583865,,0.00553931098904989,1.4140970233113764e-05,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.008905578476976239,23554960.24692188,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.245390310648808e-08,4.5873315140440917e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.06922514793442464,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,8.758370935525771e+25,,,,2818.2290943898197,,,10.64862765950623,,180.52786745080752,,,,7.684516908744614,14.445617378055683,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.0596994393158262e+27,,,,0.02513525237743096,,,0.23359572883470128,,70716.5055519536,,,0.13013179772719968,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.023938177055577e+30,,1.0283215940793118e-13,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.660043597075538e-31,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,9724584271667.766,,,,,,,1.2336476852085522e-07,,,,,,6.906775446060136e-22,1.0706767221979754e-14,,1.031024579642907e-07,,0.001156137535497586,7406.356213974067
"$S_{x,y}$",,,,,0.00013501916071944166,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.9413851942225108e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,8106042.040932835,515096129802556.6,317815.30350062443,2.8897539409482546e+56,,,,,,,41.35511704103017,4525.275406098732,,3472241288.1531034,,2303842.706944691,
"$S_{x,y,z}HF_{y}$",,,,,,,,9.80522129482255e+60,3.1464815853275462e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.019864794411147e-61,,3.460502244948427e-57,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,864.948995509962,,,,4.340574106841606e-07,5.051189957204828,,17.08107034153994,,,980.8481583255981,0.6662701070031236,,449.5149924690249,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,0.19797315255856443,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,,5.4814920998487475e-06,,,,,0.05854434060657613,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,562593.3339073816,,0.00022500150259237772,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.4478536443086978e+21,,,,0.02418080449410547,,,182432.07903694568,2215131.97429006,4444.4147638055665,,8.768919958852989e-05,,4893.959569665594,,0.001019525796640222,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.7774828454768495e-06,4.5144037087022576e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,7.595004425194106e-10,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,93398873746607.25,,,,0.0002209810255199708,,,,,,11403.912964109255,,,20.028861170009243,1316654927.3925445,1.5008927903099092,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,9699089.815553647,,,,2.8799841860411243e-10,,,,,,0.0002043335229408792,0.049927951045832655,,,,0.002224619905350338,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.714942154660654e-32,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.691831954221495e+31,,,3.1612626833992363e-18,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,3.163292962812954e+17,27.66670482219596,,,2.6492422827834233e-12,,,,0.0023340115903144483,4.0550473440912296e-10,0.0395368838548857,,,1.1990042678022122e-19,,8.574960816086574e-12,,,
"$S_{x,z}$",,,,,0.036144528465772964,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.3536047092038614e-14,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.890348939829953e-48,,3.827889110249346e-42,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,377466419926.43695,73876811538884.33,,2.0448438594133774e+47,456.9070312626686,,2.285966728202563,5809325.326004537,2955.665522997065,,,1608654.5057488463,,5127.755172371414,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.0021886290461245184,2.6124058748788067e+41,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,428.4468869605209,,0.43745168626592035,,,1044142.831375516,,726.1642864519902,0.35062878448634976,,,0.5356257192412368,,1.9839767719976595,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,9.577233784027767e-07,,,,,,,,,,
