,RunIdx,TrueExpVal,t
147,0.0,0.800057345180032,1.47
148,0.0,0.759888998672108,1.48
149,0.0,0.7522036671611335,1.49
150,0.0,0.7766339847155505,1.5
151,0.0,0.7364048243123257,1.51
152,0.0,0.6896605613368592,1.52
153,0.0,0.7338209978204011,1.53
154,0.0,0.7101328825200406,1.54
155,0.0,0.6681315428284637,1.55
156,0.0,0.7246308812726393,1.56
157,0.0,0.7490375090364144,1.57
158,0.0,0.6239591260117477,1.58
159,0.0,0.6057861127961274,1.59
160,0.0,0.56034046447634,1.6
161,0.0,0.47472575918578797,1.61
162,0.0,0.5189307186912688,1.62
163,0.0,0.36682315648095615,1.63
164,0.0,0.3775342574931164,1.64
165,0.0,0.41283130218030273,1.65
166,0.0,0.4451810979072926,1.66
167,0.0,0.35527431343896854,1.67
168,0.0,0.2744234154836941,1.68
169,0.0,0.266347523780612,1.69
170,0.0,0.2300021664960583,1.7
171,0.0,0.2366853539940445,1.71
172,0.0,0.2561266565139714,1.72
173,0.0,0.2848525330848234,1.73
174,0.0,0.31521873148064217,1.74
175,0.0,0.2854030641006014,1.75
176,0.0,0.30636046255911314,1.76
177,0.0,0.32766702944975357,1.77
178,0.0,0.2687663720245146,1.78
179,0.0,0.2988317443308167,1.79
180,0.0,0.28662618391766603,1.8
181,0.0,0.362440546469172,1.81
182,0.0,0.25497259693639424,1.82
183,0.0,0.34836930806068,1.83
184,0.0,0.3272109274285343,1.84
185,0.0,0.501350284409346,1.85
186,0.0,0.4308212017121479,1.86
187,0.0,0.5056958924823299,1.87
188,0.0,0.4949194578815494,1.88
189,0.0,0.5461747440457786,1.89
190,0.0,0.579410998475799,1.9
191,0.0,0.5601983132218465,1.91
192,0.0,0.629560057982736,1.92
193,0.0,0.633705355617092,1.93
194,0.0,0.6841970397446617,1.94
195,0.0,0.6500867400028923,1.95
196,0.0,0.6400557442830244,1.96
197,0.0,0.6721211493513652,1.97
198,0.0,0.7653354879044485,1.98
199,0.0,0.71201905895736,1.99
200,0.0,0.6467256642170615,2.0
201,0.0,0.6555983940288166,2.01
202,0.0,0.7277565222136773,2.02
203,0.0,0.7002194539217271,2.03
204,0.0,0.6676711521470756,2.04
205,0.0,0.6708740820034069,2.05
206,0.0,0.613589217910218,2.06
207,0.0,0.6170785465323846,2.07
208,0.0,0.6000880323855106,2.08
209,0.0,0.5899709144821416,2.09
210,0.0,0.5552080934208139,2.1
211,0.0,0.5213006542084144,2.11
212,0.0,0.45164005261689205,2.12
213,0.0,0.45751238795396476,2.13
214,0.0,0.36808175799847254,2.14
215,0.0,0.43370559145345655,2.15
216,0.0,0.4411029424344828,2.16
217,0.0,0.27644985541057177,2.17
218,0.0,0.27971849505918245,2.18
219,0.0,0.3394605245955966,2.19
220,0.0,0.25635180063607765,2.2
221,0.0,0.26105575071232473,2.21
222,0.0,0.3439596349543416,2.22
223,0.0,0.3714211390559864,2.23
224,0.0,0.33113354322410027,2.24
225,0.0,0.3497971389137966,2.25
226,0.0,0.36501364954676063,2.26
227,0.0,0.3709807034078183,2.27
228,0.0,0.3826518739428686,2.28
229,0.0,0.3260097247359449,2.29
230,0.0,0.42942375344821343,2.3
231,0.0,0.34056882924100995,2.31
232,0.0,0.42345619156067543,2.32
233,0.0,0.37727760830111956,2.33
234,0.0,0.3974545259128495,2.34
235,0.0,0.46293530785230175,2.35
236,0.0,0.33283187119590524,2.36
237,0.0,0.48596646119419185,2.37
238,0.0,0.4133747530956491,2.38
239,0.0,0.5008491256183812,2.39
240,0.0,0.37579116522836903,2.4
241,0.0,0.48347423356486924,2.41
242,0.0,0.49393527682852695,2.42
243,0.0,0.5104222972607833,2.43
244,0.0,0.5052195308164273,2.44
245,0.0,0.5928660547459966,2.45
246,0.0,0.5636986587157059,2.46
247,0.0,0.5851723942254086,2.47
248,0.0,0.5217378200964048,2.48
249,0.0,0.5550747714515463,2.49
250,0.0,0.5688453946875565,2.5
251,0.0,0.5314723537660879,2.51
252,0.0,0.5634774022258743,2.52
253,0.0,0.5198557305225194,2.53
254,0.0,0.5477899477894163,2.54
255,0.0,0.45708378316822934,2.55
256,0.0,0.5032405686395534,2.56
257,0.0,0.5395019629758412,2.57
258,0.0,0.44451803630628617,2.58
259,0.0,0.5423299018150696,2.59
260,0.0,0.5298034224075038,2.6
261,0.0,0.4503016463310375,2.61
262,0.0,0.4324848172706294,2.62
263,0.0,0.4800879435556978,2.63
264,0.0,0.3357219993008681,2.64
265,0.0,0.4339906788532457,2.65
266,0.0,0.43518786306398344,2.66
267,0.0,0.520413596914019,2.67
268,0.0,0.43227334708641457,2.68
269,0.0,0.4215787940968905,2.69
270,0.0,0.30182997110143095,2.7
271,0.0,0.43947686456416785,2.71
272,0.0,0.39933838041625064,2.72
273,0.0,0.4693404397130605,2.73
274,0.0,0.5052872830145057,2.74
275,0.0,0.4509597584672224,2.75
276,0.0,0.4013153412643254,2.76
277,0.0,0.4157748898180024,2.77
278,0.0,0.3606535971692063,2.78
279,0.0,0.4794236842260273,2.79
280,0.0,0.4234838568878375,2.8
281,0.0,0.48737438424270446,2.81
282,0.0,0.4555759879743294,2.82
283,0.0,0.40052986527233525,2.83
284,0.0,0.46663036292307414,2.84
285,0.0,0.4748810435996992,2.85
286,0.0,0.4031872266333647,2.86
287,0.0,0.43250435264173703,2.87
288,0.0,0.5164810767882229,2.88
289,0.0,0.505235362011362,2.89
290,0.0,0.5123185145907152,2.9
291,0.0,0.5104140779537902,2.91
292,0.0,0.458439522606241,2.92
293,0.0,0.48168706152061147,2.93
294,0.0,0.5067423404252378,2.94
295,0.0,0.44465055715546836,2.95
296,0.0,0.4847181558803208,2.96
297,0.0,0.5186155313274977,2.97
298,0.0,0.484218371773961,2.98
299,0.0,0.5094717652630399,2.99
300,0.0,0.5080170295800783,3.0
301,0.0,0.41865945317449366,3.01
302,0.0,0.5824439863032652,3.02
303,0.0,0.5792949630032528,3.03
