ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz,yz}$","$\hat{S}_{y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz}$","$\hat{S}_{y}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{y,z}\hat{A}_{x,z}$","$\hat{S}_{y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y}\hat{A}_{z}$","$\hat{S}_{x,y}\hat{A}_{x,y}\hat{T}_{yz}$"
"$\hat{S}_{y,z}$",,,,7.626074594040886e-45,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.1334681792864733e-32,,,1.0204346792666703e-58,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,7.721375029656775e-17,,13552160958.135305,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,3.5579564101599745e-38,7.378897011990581e-11,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,2.3028184627255546e+21,,9.799745346940232e+57,,1.2951061127831934e+16,2.8106021679873174e+37,74966.8845091108,,,,,3.4057062281157453e+18,,1.06792017583815e+24,5459880.376551695,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,6.781805688606156e-09,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,3.41630940373413e+26,,,1.3339223132294756e-05,,,,147453354.7429795,7.840057737181689e+29,,,3.565684207693533e+31,,4.4854875198257394e+33,9.67930131403746e+19,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,1.2755008107369823e-30,,,,,3.4006782045607555e-17,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3.549180355320008e+31,,0.0013280452806366124,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.8175519412561275e-32,4.486250688912471e-32,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,7.189606332726112e+16,,,2.9362485576251948e-19,,,2.8045108364962336e-32,,2.940589905445533e+16,2.2290328145759807e+31,752.9863737181006,,,1525.3889403320147,2.095661663820952e-09,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,442.5115976689615,,,9.363995761341962e-25,,,2.22941206631392e-34,,,,,0.0006555705063538359,,,6632.5799997654785,22440639.70154364,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,4.4562009519328114e-08,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,6.151913075648702e+18,,,1.8315419588580283e-07,,,1.0331324209834699e-20,,,,,477176262.4014091,,0.00015077089157392132,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,2.0714542497646957e-66,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,4.8275263627646775e+65,,5.513270837218452e-26,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,4.23465901513841e-19,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.8138053245077264e+25,,2.3614652240596403e+18,1.537973658738943e-16,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,6502061945715943.0,,,2.0822106242369582e-57,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,4.802588116494975e+56,,2629095667281.28,8.151180176466207e+28,,5.014819656592586e-15,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,1.2268162135431185e-29,1.8546143590637608e-09,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,9.153848692284019e-23,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,199408965521896.53,,,1.0924366718481176e+22,,345854.5660260348,,,,339364.88944913435,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,2.891388746114525e-06,,1.1941367683738709e+30,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,8.374250140222727e-31,,1.7314077910109278,937249322891.4104,0.05367151291172751,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.5775646876442226,,3.3172276826038344e+25,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.0669519577939029e-12,3.014565461527371e-26,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,1.3107715810099866e-15,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,2.946680788408092e-06,,18.631857865543694,,,,,6.209921768070224e+37,762909430207108.6,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.6103262445941519e-38,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,1.0000000000000016e+160,,2.0004060102623607e-19,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,4.998985180357692e+18,,,,3.3004049418015196e-37,,,,,,,,,,,,,,23969.42850407477,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,4.171980987489966e-05,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3.029931228542374e+36,,4.921906487123741e-66,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,9.363768359207134e-09,111995421566123.86,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.253396665771061e-40,,8.9289364334379e-15,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.0317330339698888e+65,,7.978320250156584e+39,106794611.06240712,,1248194846906881.0,,3729708374667464.0,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,5.067182023669315e-05,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,8.011569687842197e-16,,,19734.834772638907,,2.4311292909067894e+18,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,4.1133147617460075e-19,,1.5122744827468558e-08,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,2.6811747717116325e-16,,,,,66125561.95378143,,1.187836158804263e+31,1809194358211594.5,3331350.9780002525,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,5.527322122475054e-16,10498466.610952627,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,8.418669465380237e-32,,9.525200556019676e-08,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,3.712770857278627e-35,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,3.001785181458968e-07,,,,,16998867669.407543,2.6934061875635823e+34,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.882744777169339e-11,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,1.2354949542540678e-96,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,8.093922169060994e+95,,1.588041602264658e-42,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,0.03468541864270844,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,6.2970642492862286e+41,,28.83055875152944,2.0180195575409867e+24,,,,,6.877466031716142e-76,,,4.732140812181735e-38,,,,1.3461739753621651e-41,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,4.955353362474485e-25,,,2.2732462467866296e-37,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.1996842503169254e-13,4.00895172738421e+16,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.4540239026821757e+75,,,144459570.13037854,,,38014.95955054245,,7458342076179757.0,,2326.6487494056514,,,,1.593799936126764e+28,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.5195106288491914e-39,,2.4944176632740035e-17,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,2.6305433750901637e-05,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,1.4540239026821757e+75,,,144459570.13037854,,,38014.95955054245,,7458342076179757.0,,2326.6487494056514,,,,1.593799936126764e+28,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.3407805512082532e-16,,,64519.20485180671,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,2.11320846037748e+37,,,,,,,0.0004298027367712693,1.5499261069582096e-05,2.810868838494713e+54,,1532194470011.1768,,1.9344196756922648e+21,817376403642.7584,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,3.557618862556117e-55,3.20448955709073e-49,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,3.1206218094462226e+48,6.526586667505107e-13,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,4.167392411907143e-06,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,5.1695090396665465e-22,,239958.2043540664,,7.085580827341426e-27,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,7.428460349866495e+40,,,,,,,6.27431321418038e-29,,,1.2234265578787849e-12,,,1.4113169045242675e+26,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,1.8030734987217119e-57,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,5.546085618300909e+56,,1.3113797327482665e-29,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,2.4763571768185423e-29,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,7.62555631315343e+28,,4.038189681848452e+28,2.781977340625601e+22,4.1771454620974556e-60,,,,6.617685940155114e-37,5.158341287504356e-32,,1.7707367945543863e-26,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.5945655825331904e-23,,,2.544086635385514e-63,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,4.291562173227556e-53,6.428070185036388e-14,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,2.393979355217075e+59,,3.9306837514535578e+62,,1.2552954972104394e+36,2.330153821930837e+52,,0.4983709298755185,1.7030215428746442e+17,,1.6900502656643443e+22,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,7.966251788700222e-37,,15556768535724.06,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,1.5111022327792138e+36,,,2.006537580853235,,,1.7233510019951389e+69,,19397.98567689548,,9.647594195762312e+21,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,5.802648438085401e-70,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,1.9386076730177105e+31,,,5.871916325333342e-18,,,,5.155174442628227e-05,,,1328.590535506913,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,1.3173245929255438e+35,6.883791264646914e-12,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.900708650065075e-25,7.591143484076141e-36,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,5.647366695464497e+25,,,5.916983774485007e-23,,,,1.0365278428058759e-22,0.00075267734736531,3.4474334400235807e+24,,145268785986.5391,67659732711641.25,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,1.4779839646454058e-14,,,641.975906907325,226521.0125659745,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.00155769085605943,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.414601491809723e-06,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,1.1270917428496821e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,887239221069662.2,,2.234231161245098e-58,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,4.475812607692381e+57,,8.809264189772656e+51,4.800155022360004e+35,1.0443110927910706e-56,,,,,,,,,,,2.5619708502909243e-24,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,1.135168588950909e-52,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,2.083266051495871e-36,,,1.587149152681566e-95,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.13567272279878e-34,,8.859483244934537e-16,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,2.1317009998228635e-16,1128734004403424.2,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,9.575690681666096e+55,,6.300605071114151e+94,,1.629813135704297e+33,4691089416776069.0,,6.095425208370949e+20,,,,,,,1.1429464632456342e+18,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,1.6405746372323351e-21,,,245888217.85204947,,6.301022972996383e+17,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,4.066888640437821e-09,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.5870438884060452e-18,,,5.886869666986264e+22,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,13677915.912531847,0.01060038110935687,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,0.04715548837696607,7.311055327396696e-08,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.6986956677638527e-23,21.206439259114273,,94.3362309037463,,4.535704374273545e-12,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,2.348464818485965e-09,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,220472922722.2097,,425810083.30569386,,8.3329071216545935e-22,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,3.903245034526623e+23,,,8.749316194218687e-19,,,,,,,,,,1.2000613776209213e+21,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,4.9317907280054805e-70,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,2.0276610569086746e+69,,7.331001971331171e-104,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,1.8449819632872268e-29,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,1.3640700192287871e+103,,5.42010718748864e+28,7.780646954651347e+32,,,,,,2.0576726438201494e-11,,1.1063729151547631e-18,,4519291240072.102,,4.508701994646525e-16,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.2852401681099154e-33,,,,,1.8751712401901923e-28,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,5.332846294605997e+27,4.425417603109231,1440151.1227347138,,,,,,,,,,,,,1.1250871148209423e-13,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,1.6330728805285753e+26,0.2259673752139041,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,6.123425426526775e-27,,6.94371572686825e-07,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,8888200627550.072,3.676861674780549,,1.9864176957177206e-07,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,,,,,,,,,,,0.27197106893059403,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,48598595262.62939,,,,,,,,,,0.006462151208252607,,5109233.650623776,,1657230495016352.8,,,5034187.9361817,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.6638953115223162e-06,419690415535.3402,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,9.038543752312634e+17,,,,,,,,154.74723010549982,600999.3495835317,,1.0103451479761136e+27,2742.1340641001675,,331034275069373.75,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,2.3827086895097202e-12,9.89760778287661e-28,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,2.2127363493042912e-13,,,,,,,,1.9572406908380719e-07,,0.0003646794710338681,,,418.9995641316208,4.393674059478549e-05,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,0.002386637327588887,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,2217933234858646.8,,,,,,,,6.034163642337108e-16,,3.020835228589043e-15,,22759.99508526771,,,,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,1.8471485755306846e-48,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,5.413749674753153e+47,,2.9563932466117397e-88,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,3.5955228625359632e-09,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,3.3824999470083325e+87,,278123666.0791773,2.976420347116397e+19,1.3308127194474286e-68,,,,,,,,5.062848556136762e-25,,,,2.215358436761121e-20,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,3.359740504961995e-20,,,2.6807072572696047e-53,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,7.950946739267322e-42,5.906524083170343e-10,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.9388476256209705e-16,,1693043126.4122558,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,7.514205307680059e+67,,3.730358834550755e+52,,3402694278131220.5,1.2577118584649827e+41,,284579.1493038159,,,,2.3044062909493241e+21,,,,1.0209991670368473e+30,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.8112411629752952e-12,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,3.5139608873185685e-06,,,552107593644.4141,,1.8804987027806312e+24,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,5.317738313359816e-25,,,,1.1722998830682487e-10,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,1.8534980019890632,0.024155692001915887,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,0.5395204089385907,,1.0750708203061251e-08,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,1.9751726501632832e+24,,,4.339512541375852e-22,,,,,8530240550.589411,41.39811022266247,93017127.90560636,,,,,27.23881828526121,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,2.115107991233278e-15,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,4.513942228969553e+19,,,9.794327285321974e-31,,,,,,,,0.03671231216888345,,472789098308365.6,1.4379830727951492e+21,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,6.954184780883416e-22,,,,,,,,,,
$\hat{S}_{x}$,,9.999999999999981e-161,9.999999999999981e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.0000000000000016e+160,,1.3447928917631524e+129,,6.321222446306275e-51,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.0000000000000016e+160,7.436089275344872e-130,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1.5819724879075188e+50,,,,2.9271615181351856e-07,,,,,,,,,,,,,,2.2934733274553183e+35,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,4.360198952518588e-36,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,3416278.8551452146,,2.9746702714648424e-63,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,9.003013378722652e-15,4.600421579858336e+16,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,3.3343359895509914e-30,,2.1737138273983874e-17,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,1.992843865392291e-68,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,12012306.293690372,,,5.017954579212105e+67,,2.983598741231737e+87,2145758392512.16,,,,,2.1098144797244544e+17,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,3.351657131974669e-88,,5.184232591599231e-68,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,7.828879520253765e-27,,5306408657.361061,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,4.121717467221691e-28,1.884513735316631e-10,,,,,,,,,,,,,,,
