ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,z}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz,yz}$","$\hat{S}_{y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}\hat{T}_{xy,xz}$","$\hat{S}_{y}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{y,z}\hat{A}_{x,z}$","$\hat{S}_{y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y}\hat{A}_{z}$","$\hat{S}_{x,y}\hat{A}_{x,y}\hat{T}_{yz}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,6.623554125738253e-08,,,,,1.2914663819823507e-05,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,94542892.9441497,0.0006587134382424353,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.0577209654360167e-08,,0.00027837443956475337,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,74320987.90446958,,,3.495015619012364e-18,,,,,77431.36127670926,1518.110823225617,3592.283837422464,,,0.007532480707416731,1322.5968781487359,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,2.022797049009839e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,132.7583884835399,,,4.948519633873152e-14,4.94364968788886e+21,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,1.0045564112212596e-13,,,2.771822611368066e-38,,,,,,,,0.0007560882809580793,,20208063703635.566,,,,,,,,,,,,
$\hat{S}_{x}$,,9.99999999999997e-161,9.99999999999997e-161,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1.000000000000003e+160,,6.452838358331985e-104,,,,,,,,,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.000000000000003e+160,1.5497056403230473e+103,,3.3470874129586665e-152,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,z}$",,,2.987672195618122e+151,,2.2901001325188327e+49,7.298909746247123e+27,9.032930117142327e-54,,,,,2.7142128697011537e-32,,,,,5.944062495410314e-18,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,4.366621292231973e-50,,,,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.3700676330655675e-28,,,2.1174621982628368e-25,,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,6.531507099829901e-42,3424.5925544977085,,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,1.1070604853924868e+53,,4.722634485850084e+24,,3.8381372360096635e+35,1.5310402097335897e+41,3.948005981098232e+16,,290353363.91321766,,,,,7.961256107200763e-05,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.6054305474487266e-36,,0.00029200554053843397,,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,8.473742816874738e-08,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,2.5329242275408765e-17,,,,11801160.615927415,9.99943708889948e-14,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,3.684309403890286e+31,,,3.444079264392077e-09,,,10000562942789.195,,,,8.013960393899753e+39,,,2.004329325259849e-16,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.2478224883182631e-40,2.858179405916281e+30,,84375.79293470214,,2.3679059579469406e-20,,,,,,,,,,,,
