ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$"
"$\hat{S}_{y,z}$",,,0.4188985466087846,,,3.496398173482216,,,14.411122483220542,,1.3475222865206735,1.059504845491598,,7.762727060486752,,,,0.07258395336522089,1.964008604676132,2.432176819706866
"$\hat{S}_{x,z}$",,,,,0.5091627387064842,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,0.06841397498512586,,0.2860086152613609,,,,0.9888578668567095,,0.08633682874097666,0.07916617998329133,,0.025978209070201323,,,,0.0028425953869873205,,0.022573403454926495
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,0.5755064964916998,,0.06939084732395695,1.0112676791243094,2.670818790596865,3.541989992546936,,,0.4352387000230335,0.09864395411133269,,0.16161254661734445,,,,0.03733492592684441,,0.115500941103868
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.02962899615155873,,0.28232716696100285,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,33.750721586542575,0.37441701530657706,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,0.44255333520059525,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,0.014817563162010836,,0.7421027540717102,11.582542636586165,,,2.297589805196731,2.2596146508459416,,0.13016406256992766,,0.34215115143272534,,,,0.038057872703621196,,0.124793181020069
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,0.04621863566245436,,0.9438371181172007,12.631656601481318,,,10.137468727899618,,7.68261208398265,,,0.1645291640746899,,,,0.3344627608874631,,0.08264718474873371
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,,0.0804221706419713,1.257015811100435,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.7955349417001887,0.22511876322494043,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,0.00587627264754998,,0.1288207085226691,38.49380060410186,,,6.18763840389035,,2.9226848888644543,6.077949800717632,12.4343821115183,,4.442099741818465,,,0.34041058587132145,,0.09019604742628128
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,13.145895972376039,,0.4111543173577829,44.29992145388057,,,8.657938112389209,,8.01325835134519,12.099625692517272,,11.086960332905015,,,4.740969817769228,21.927858790581997,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,,0.2109273077951234
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,0.42549063117715086,,13.777149819441457,351.79118511827113,,,26.784571689239215,,26.275772368770635,2.989869477087976,,2.937628973671253,,,,,,0.045604087911652345
