ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,9.79729617439338e+62,,9.549285830158942e-73,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.0206897721573853e-63,2.5639342683964716e-145,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.5400332977788388e+138,1e+160,3.900255994571254e+144,1.047198730654558e+72,,2633429954574.4478,,,51897713808.52008,,,,,8.944638251395038e+26,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,1.9671163347946296e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,1.9397982716454547e+60,,,,3.7973290243126905e-13,,50835.834277406975,2.863909217356092e+18,11760022.23489805,,,,,3.2142432095463945e-10,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.49173079209257e-19,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,4.028174426567368e+92,,,,1.9268671519704386e-11,8.503385283001289e-08,,,,9.69618014522182e+18,2119084206899.4465,,9588098853444980.0,1.4256149052027728e-09,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.719019644165804e-13,1.9229120327278934e+24,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.0313339738152348e-19,,5.20044590173672e-25,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,2.8230813937905127e-22,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.0429596266007442e-16,,,3.542228722840023e+21,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,5.569849279982916e+93,,,,1.1179881979509193e-27,3111152252.044809,,,701451700.8418657,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.2493830882966769e+44,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,8.003950184433274e-45,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,2.0632839046161246e+20,,,,,1e-160,2.1533154432240565e-154,,,,,,,1e-160,8.845761772845597e-150,,,
"$S_{x,y}$",,,,,4.846642760905222e-21,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,4.705330397848465e-24,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1e+160,1e+160,1e+160,2.125249271458716e+23,,326.41936036287666,,,,,,,1.6084503562002117e+23,1.2243025754182145e+39,,,
"$S_{x,y,z}HF_{y,z}$",,,,,4.644001431126819e+153,,,,0.003063543776595578,,107748.7339747984,560339.5669241414,,,,,0.2432672256756728,1351000301873.8145,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,9.280851506189319e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.7846321392031552e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.09682586231641617,1870.8305927059218,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,6.957741485258902,10.32781920115631,,4.383408615031648e-14,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.14372479950838377,,0.0005345219411628423,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,6.723787866003261e-25,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,1e+160,,,,6.2171642173799555e-24,4.110705818354725,,,22813296405240.105,,,1.487256915192385e+24,,1.581050968032145e+19,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.1304848872030041e+149,,,,8.167915514336037e-40,7.401922846449531e-13,,,,,,,6.324906788075593e-20,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.983501965152251e+60,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.0066210608375852e-61,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,4.801062002004341e-74,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,2.0828724969236416e+73,,,,1e-160,,3.393491855986164e-148,,,,5.1834746767283035e-129,,,,2.3144244746155193e-133,,3.674977256268824e-123,
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1e+160,1e+160,1e+160,,7317.672579527552,1.5865019508408236e+19,,,,2.4196980827664552e+55,,,,7.67327749797875e+44,,1185353604421200.0,
"$S_{x,y,z}HF_{y}$",,,,,,,1e+160,0.00013665547195944132,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,2.946817150116294e+147,,,6.30317535676533e-20,,,,2.134859800380943e+119,,5.660284109983951e+28,,,,1.1421143897369744e+43,,1.5644277272860888e-15,205122183921.81567
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.875143101933625e-12,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,4.684148344643337e-120,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.2354863490718065e-15,2.0206257763418662e-26,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1.929207842935153e+128,,,4.132747003116579e-56,,1.7666957710411382e-29,,,809397854335887.9,,47998463465594.07,,,7515243524.667714,,1280173.400915786,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.9489619092675164e+25,2.0834000253295882e-14,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,3.1093842525580444e-16,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,2.7211052756699022e+122,,,8.436301170133052e-16,,639211375865066.6,,,,7.811441788156504e-07,,,3216070831957532.5,3.8207024817623985e+26,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,4.320728591353683e+132,,,1.3032240789720091e-45,,8.755690401819533e-44,,,,1.3306288701326081e-10,,,,,,2.6173197331468843e-27,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,2.3355662483164756e-97,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.281616934312271e+96,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,4.124782725544293e+38,,,,5.216449431544514e-122,4.607956995340519e-125,,,,1.4008136713091253e-93,,,3.308737879984274e-106,,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,2.4243701221087788e-39,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,4.5874450295653236e+110,4.402844485852718e+27,,322.65832536046173,,,,2.4319454719608953e+20,,,12557297.282700581,,1.9170127365807027e+121,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.3052669874647915e+99,,2.271258962730149e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.3227363202133534e-100,2.179862632805768e-111,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,7.60082282653523e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,0.003099253673007934,,13156.470329881922,0.0008876252292648443,,1.543645858811839e-13,,,81028303.19002415,,2.170159142134316e+124,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1126.6015960680022,,,,1.9417687468030037e-12,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,4.111934299224615e-21,6478169810073.606,,514994384190.4115,4.756221533332992e+39,,4198618.735251894,,4.245054351066524e-18,,7.13870816998419e+92,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,6.661062288168862e+47,2.3817356684567014e-07,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.1025092985928168e-40,1.501262046109618e-48,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,7.963497060610636e-08,1.2341366666099897e-08,,,,2.355682441966287e+17,,,,48889386203.04509,3.0223004549539985e+105,1.466663686721658e+17,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,6.818195671260109e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,2.045433738617309e-11,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.9518027385087587e-33,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.1234685773831465e+32,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,1.5813486905090254e+48,,,,2.8598245548887675e-139,,1.6883856265539983e-122,,,1.8117190418127275e-114,,,,,,8.060277216707534e-129,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,6.323715990039532e-49,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,5.334969390766035e-140,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,1e+160,2688169627731.7856,,,28736691929.695866,,,1.5421644341159215e+20,,,,,3.496718000726779e+138,7936250110.220721,
"$S_{x,y,z}HF_{z}$",,,,,,,1.874424999946274e+139,,3.7200033423626486e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,3.479871665278988e-11,129489972.5136138,,784667.4817528058,,1.446037802052791e-17,,,,,5.922817538082245e+121,30408.132759195807,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,7.722605701340047e-09,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.2744251842400556e-06,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,9.960175515460951e-35,1137348.933633707,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.792376468012398e-07,1.4508961974217499e-50,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,6.4843928304783606e-21,,6.91544853516556e+16,,1.003998371763352e+34,,6.892291824714995e+49,,,,5.519619637046169e+113,74270.00566145609,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,7.126813159979042e-11,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,1.2600409338311393e-10,,3.288593903213565e-05,,,1.3464385670822295e-05,,,14031516998.587074,6.40606652416585e+19,1.2406521179286195e+128,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,,1.5610203175812516e-20,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.432482562213873e+82,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,6.980887770490694e-83,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1e-160,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,1e+160,,,,1.139653090675302e-55,,,,9.798246796523397e-39,,2.1422285324247882e-66,,,,4.272658867902989e-46,,,
"$S_{x,y,z}$",,,,,,,,1e-160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,8.774599991717211e+54,1e+160,1e+160,,46666537947159.85,,,4.684722687822756e-08,,77.54874667950278,,,,39.018733859057164,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,7.941386886748878e-144,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.2592258937398147e+143,2.1428630534630445e-14,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,4.0049706284455085e-18,,,,,,,,,2.036098650614446
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.4911353385054422,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1.0205907452288494e+38,,,21345980.683111772,,2.4968972129219846e+17,,,,17048622931186.615,,,,368802859.5670777,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,4.6680360422055445e+65,,,0.01289511491569101,,,,5.865576381366997e-14,1.4059423652298353e+25,,38293811.0331016,,140924163.4577367,0.00055052138459384,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.112667095969655e-26,9.861093100094926e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1014086359239.8024,2.6113880363998995e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,3.2485198580329437e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,7.096015157825656e-09,,,,,,3.0783250332522944e+17,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,2.340463001884346e+45,,,0.02562871475051404,,,,2.7114757222160865e-09,,1816.4598651109138,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.723634079724181e-26,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.7471417390962726e+25,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,1.6384907447595994e+50,,,,6.163560425538998e-114,,9.085172424398347e-119,,,,,9.402854963742191e-100,,7.49947158678587e-79,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,6.103177593149729e-51,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,1.5605424259301074e+42,1.0465671645610802e+27,,,6.301049645430534e-14,,,,,1.141561872860937e-11,,10168433.99442692,1.622438868054986e+113,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.9438984266561608e+34,,9.555048484818362e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,5.144301709838676e-35,6.4080282816020495e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,15870371704263.453,8755583957866.23,,9.42246631758302e+34,,,,4509914407187445.0,,1714453133.6965349,1.1006945749477325e+118,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.1421282747241267e-13,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.0612932604852361e-35,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.046826238154448e+87,1.2691748173104287e-25,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2427259771789873e-88,,6.156772961056274e-92,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.879135217315055e+24,1.6242275073733383e+91,,6.377370119334355e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,87599281631.03764,,2.2173369818422746e-16,,,,156804447.80338013,,,339.71262600683997,1.0635067794367164e+99,3.471566467591205e+23,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.880544011861781e-24,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,9.834356013404588e-08,,5.832763697913973e-10,,,,,0.00294366450771796,,,1.3334272800793169e+78,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.020777466971548e-111,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.310406049216663e+110,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,5.961709624048813e-69,,
"$S_{x,z}$",,,1e+160,,1.6773711956149647e+68,,,,2.10197220145392e-99,1.8251986171083384e-98,,,,,,,3.232491842543704e-56,4.902790007124936e-88,,,
"$S_{x,y,z}$",,,,,,,,,1.4843733562959836e-111,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.5434080104868742e+83,,7.203836475165992e-19,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,6.736849565228926e+110,1.6310142518508155e+87,1.3881492222197588e+18,,2.747005062865253e+26,,,,,,,1.3555922740768906e+27,3.7495337757348504e+34,4.757436845778963e+98,,
"$S_{x,y,z}HF_{x}$",,,,,,,,6.479168134449076e-84,6.131154273270368e-88,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,3.640328201495755e-27,,4.997653058919671e+20,1.0810209988430469e+90,,,,,2.4229255471642124e+16,1.1554976955740484e+16,5.4788557838395674e+97,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,2.00093921728966e-21,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,9.25051410722124e-91,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.7762974869530425e-41,,1.0041047667753418e-31,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.6019194798086627e+40,9.27501232150513e+31,,5.015037909753611e-13,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.0781656835984904e-32,9.959120134560021e+30,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,7.376849360409375e-28,4.12724196651605e-17,,,1994002872949.6287,,,1.7208639967846455e+21,,4.643894367496131e-20,3.09358862670194e+55,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,5.811034467967565e-22,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,2.666998245145866e-35,8.6542794834671e-17,,,,,,,2.1533650872837886e+19,,2.039654969000832e+87,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.27198235810018e-115,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.2089000637444168e+114,,,,,,,,,,,,,,,,,1e-160,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,2.9063085385890464e-124,,
"$S_{x,z}$",,,1e+160,,3.440790909575897e+123,,,,2.4394939616735143e-89,,1.956220250865643e-92,,,1.1373396080503797e-48,,,,7.884709198340376e-67,,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.667115215749588e-153,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.749369333933899e+152,,2.540578093910701e-49,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,1e+160,3.9361120305524805e+48,,,1914.0944346329475,,,5.865225004340863e+17,,,,8.48281921639088e-19,4.0992108023665335e+88,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,0.0005224402630854329,30422.836240923247,,8.642197449516425e+24,,3.2849642218492154e-11,,,,1.1922881501623958e-36,5.111898824058754e+91,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,3.287004512271118e-05,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,1.1571131136976685e-25,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,7.156837537468122e-28,1.4233833384199362e-13,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,1.7049644289177285e-18,,30441731856.582195,,1.3972651953669615e+27,,4.769436469317258e+27,,0.0030318022386509893,2.2998733901787957e-24,8.792448560849768e+47,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7025514301088.251,2.096683762187002e-28,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,5.525304976319942e-18,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,329.83681694388923,,,,4.477462739114692e-21,,1.80985484834909e+17,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.1788533676018412e+18,,8.387234242525977e+35,,,4.34806543816857e+23,,,2.2334077540480555e+20,,1.2682775925464523e+66,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.71482503951024e-69,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.83149870662959e+68,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,1.679199051553858e+81,,,,2.78095806147031e-120,,1.4856821672955832e-97,1.7439049114074473e-74,,,,,,3.3434968231170034e-82,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,5.955220133519271e-82,,
"$S_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1e+160,,3.201985040083512e-28,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1e+160,1e+160,3.123062686057767e+27,,,271539285776584.2,3505261460136235.5,,,,,,6.157055404473446e+24,3.595883065821186e+119,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.5239499998435478e-42,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,3.682708368109855e-15,6.561895075971405e+41,,55210079.18684105,,,,,,2.953470117552284e+36,6.730914740804353e+96,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,2.852854234620016e-16,,1.8112634771194882e-08,,,,12646973007486.168,,,68221382030.46825,5.734257604635871e+73,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,7.907030396981684e-14,1441959534.1848276,100.79610509769432,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,9604863334720436.0,6.935007372209808e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.0411392282752418e-16,,0.009921018267826646,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.871732624812246e+42,,6.754869256499977e-08,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,2.582822981089748e-43,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.624152998970001e-25,,3.385847698465151e-37,1.4658160978817338e-11,,,,,,,2.9908806644767245e+81,14804135.53582454,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.498106953106032e-51,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,6.675090839987729e+50,,,,,,,,,,,,,,,,,1e-160,,
"$S_{x,z}$",,,1e+160,,1.490117274849574e+157,,,,2.9782668427112526e-94,,2.3899200036970253e-109,,,,7.263390050480279e-70,,,1.7064210565045607e-67,,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,6.710881196253155e-158,,
"$S_{x,y,z}$",,,,,,,,,4.213360423905548e-112,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.1534318808031545e-64,6.950421896750262e-150,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.1711482530750204e+63,,1.769626835559147e-55,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,2.373402461195229e+111,1.4387615814625006e+149,5.6509088803687315e+54,,,165.98733476520135,,,,0.0004034264701915395,,,1.254692566470223e+22,3.3576574995196007e+93,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,0.006024556038655344,49967296442584.48,,2.037258979090974e+21,,,6.848734535973525e-07,,,143801565.65207264,4.1842404701959717e+108,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,2.0013089984747564e-14,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,4.90855610535191e-22,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,2478.766451604473,,1460123.7568012313,,3.0585848632326155e+29,4.3857643621237035e+23,,,,1.94594084809803e+16,1.3767675879307581e+69,15494047.022827692,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,6.012411095169225e+22,,2.2801042587608912e-24,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.6632262567732057e-23,3.269485872440698e-30,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,6.454091681319153e-08,3.300157625185496e+33,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,,3.0301582941626667e-34,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,7.970079896251082e-23,,6.9540272073219035e-09,,,,5.138902351412191e-17,,,,5.8602183569417726e+66,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.354479659982232e+113,,1e-160,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.5736929748907186e-114,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1e+160,,3.252036395948863e+77,,,,1e-160,,1e-160,,,,6.171093734287527e-153,,,,3.3041340785215797e-153,,,
"$S_{x,y}$",,,,,3.074996335359971e-78,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,8.285673680040691e-130,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1e+160,8.286749952071854e-05,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1e-160,1e-160,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,1e+160,1.2069024663726426e+129,1e+160,,12067.457154900396,91036.46780923646,,,,2328057008422.02,,,,2.647382386541785e+42,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,4.211051198356274e-31,,,,,,,,,,,
