ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,y}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,5.206005344740136e-63,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,1.174190299495375e-09,,,,,,,,,1.9208585734748535e+62
"$S_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,,1.4793088582869215e-17,,851650708.0920055,,,,5.6026765733485643e-08,,,,4.914413344869359e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,60424415485430.12,3.5341240013631655e-17,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1e+160,,,0.163352954115179,,,,17848611.94302936,114397359989611.94,,2.8295554983760748e+16,,,5.999823252054101e+18,,173854224443017.5,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.741460468063308e-15,1.6549601547095244e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,5.75194536229265e-15,,,77156543.26863313,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,,1.2960663576105741e-08,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1e+160,,,0.023303402600673713,,,,2.0348308736463908e-17,,1.6667157647646365e-19,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.397248188312618e+99,1e-160,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.19086631426687e-100,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,9.69325257388481e-07,,,,,,,,,,,,,,,,,
