ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
$\hat{S}_{z}$,1e+160,2.0196288504617777e+30,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,0.0008964518511326231,
"$\hat{S}_{x,z}$",,,1e+160,1115.5088795193506,,1.785993081180887e+20,,,,9.357619641012812e-56,,,,,,,,1.2937179274845087e-14,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,2.5714319137058627e-28,,,,,,,,,,,5.599125833896324e-21,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,5.252174703175934e-42,1.1248173814732451e-42,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.8888838342168393e+27,8.890332034967633e+41,2.40741496148304e+19,,1.1570416943314294e-14,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.9039732235017062e+41,,4.1538331197541864e-20,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,86427308963816.34,,3.7389616369695057e+59,2.0785891404689408e+24,,,,,,4.8478187564014214e+20,,1.0686478381929254e+55,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,2.6745393429885997e-60,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,4.810955568517955e-25,,,,83144852079.69354,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,1.1900121897383463e-34,6.331174509273632e+23,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,1.2027202827199807e-11,8.403275265775848e+33,,1.521782238077094e+54,2.6673278133572063e+41,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.5794857629263624e-24,6.571242422066827e-55,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,2.1855517493866428e-10,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,3.749070492919128e-42,,,4575503646.988189,3.5168332839533386e-34,,,
