ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$"
"$\hat{S}_{x,y,z}$",,,,,,,,,1.1744835871008228e-108,,,,,,,,,,,3.203216413645665e-67,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,8.514380370937918e+107,6.825111742951017e+72,4.1825242164516685e+51,,4.645492525835265e-12,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,4.0602291952919383e-13,1.4651774764461566e-73,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2462915150601.734,,2.3909006816184576e-52,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.2820697680224709e-21,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,215262427920.966,,7.799887532972955e+20,1.892679817280488e+35,,,,,0.003659551749579073,,,4.4636526055070597e+45,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,5.283513835091547e-36,,,,,6.581704262657967e-19,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,291745303.4664166,,4.862469104443175e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.5193633139574676e+18,1.5209615383928462e+20,2.0565683370331972e+16,,,3.0011937323220327e-25,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,3.4276472941238353e-09,6.5747882162534475e-21,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,273.2575103262364,,,,,3.3320074916533194e+24,,,5.299999479064913e+27,6.63958403734194e+29,2.4502036241048115e+59,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,1.506118447143468e-30,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.8867926382823561e-28,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.574791404687276e-50,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.7973660188641984e+49,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.9018228322411e-71,
"$\hat{S}_{x,z}$",,,1e+160,5.258113337621487e+70,,2.103818786495634e+55,,,2.002609955493529e-69,,,2.9584068811018704e-52,,,,,,,1.1653580573851315e-30,,
"$\hat{S}_{x,y,z}$",,,,,,,,,4.3679009648858265e-130,,,,,,,,,,,4.75326110033325e-56,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.289429197317296e+129,2.7162560489206856e+66,4.614422024232998e+84,,77597648471287.39,,1.820887232956797e+18,,,,,,,3.8290842049209e+27,4.993483615003587e+68,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.895549898773707e+47,3.6815380508673095e-67,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,5.275513984870209e-48,,2.1671186440000975e-85,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,1.2886988455198086e-14,,4.155696246822503e+44,0.30964499099653664,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,2.406335642949391e-45,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,5.491828279646829e-19,3.2295048493491856,,,1038458181107201.8,,,,,,116765.027870304,3.380197654311655e+51,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,9.629660762398754e-16,,7.300157956628518e+38,8.911838608990122e+24,,,,2.7517595195300004e-28,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.3698333733888642e-39,,5.806386651780106e-24,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.1221029058933088e-25,1.7222414902277006e+23,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,4.322316971788223e-44,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,2.611590517426758e-28,,,8.564208121551117e-06,3.634038486658164e+27,,,2.3135739616668635e+43,,7835525913545.296,,8.581053639804343e+29,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.2762385205966803e-13,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.2368022859219682e-08,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,80853666.86192328,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,1.0201993831249057e-75,
"$\hat{S}_{x,z}$",,,1e+160,9.802005534809928e+74,,1.1785958745682636e+54,,,1.2736684750983576e-49,,,,,,86.38139568617737,,,7.254126117886845e-27,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,3.6176515175582666e-80,,,,,,,,,,,8.48467249528015e-55,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.0465310808141536e-21,1.434894029748745e-44,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,9.555377937003509e+20,,6.696527556379256e-47,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2.7642242353817148e+79,6.969155765287444e+43,1.4933112595756863e+46,,,6.1870925779411585e+37,,,,200951255856663.88,,,5.436234497822207e+16,,7.851336666888738e+48,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.6162680409297577e-38,3.323482228352973e+26,,6.865038109817588e+30,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.0088922741000262e-27,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.4566561525272744e-31,,,,1.0168169926601333e-51,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,6.202507260433635e-12,1.0380725721096612e-41,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,4.976331179105882e-15,,,9.83461141206799e+50,9.633237857038387e+40,1.165514583812731e+28,,,4.152638305099229e+30,0.05777856494260925,,0.011576566829656106,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,161225123649.4461,,8.579901220358087e-29,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,2.2878379088605467e-43,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,2.408107633096894e-31,,,3.822144039195452e-16,4.370939025562559e+42,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,1.8395085796990673e-17,,,,,,17.307456510788867,,2616332586488542.0,,,1.3785257986268701e+26,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.138007356489374e+114,,1.890970879837452e-152,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.1867356777606273e-115,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,,,0.058587586919267666,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,5.288288733911968e+151,,17.068461982876624,,1.700667225852208e-89,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,5.880045106995566e+88,,,,8.300998815767143e-77,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.2046743075069145e+76,3.43910059326832e+54,3.8677150422610506e+33,,17578835954.908104,,,,,,,,3.9846416832313735e+32,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,22.124851881860415,2.9077369878548925e-55,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.04519804269604506,,2.585505884154806e-34,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,5.688658808610104e-11,,2.1258370602458982e+61,1.1287173969301659e+23,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,4.704029385414557e-62,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,8.859613599646416e-24,,,,,2.4081148074011426e+53,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,4.1526259334753576e-54,7.381024456121676,4.691096223369496e+36,,,,,6.698135035004738e-26,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,4.97884267980825e-44,,2.131697906809776e-37,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,2.0084988908276028e+43,0.1354825479775534,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,1.492952881322872e+25,,8330160552.915752,4.194162923679806e-16,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,1.2004570543961202e-10,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,2.5096359459579884e-33,,,,,,,,,,2384265986316612.5,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,7.400827347890013e-47,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1.3512002820672496e+46,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,0.0017046684073113915,
"$\hat{S}_{x,z}$",,,1e+160,586.6243521091608,,4.023711023579457e+17,,,2.104271326205858e-33,,,,,,2.677332580885355e-18,,,1.1459104775927198e-27,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,0.000389774626998885,,,,,,,,,,,2.4852679383282573e-18,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,570030576926.8071,,8.243702832648794e-34,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,2565.585163148294,1.3592072539876738e+41,1.2130471225133777e+33,,,5.973070572347076e+70,,,,7.571168363706158e+40,,,3299534328949556.5,,4.7522388750269524e+32,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,1.7542918581513246e-12,7.357229716558507e-42,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,1.6741807884032032e-71,11114.905293465767,,6.678851895633867e+40,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,8.996927761389747e-05,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.497263325533128e-41,,,,4.016760773366721e-33,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.047068816015055e-47,,5.306202709685125e-75,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,1.320800108994658e-41,,,2.4895682277882626e+32,4.27581668173815e+46,1.8845868782486467e+74,,,2.815550859352028e+29,4.727566296505583e-18,,3.7350608106719206e+17,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,9.550470653932853e+46,2.338734502512612e-47,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,0.002090593849488155,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,3.5517028459224506e-30,,,4.469627470992757e-45,478.3329866988905,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,3.03073070410624e-16,,,,,,2.1152532556532474e+17,,2.237322923420032e+44,,,8.726685195345779e+26,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,6.987434442658973e-06,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,143114.0439608137,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{x,z}$",,,1e+160,2.6970234808986648e+39,,1.6169573111279576e+25,,,2.8323555946271814e-60,,,,,,,,,8.626717324136428e-14,,,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,3.707791226447883e-40,
"$\hat{S}_{x,y,z}$",,,,,,,,,1.3484128660781418e-76,,,,,,,,,,,6.184455168469597e-26,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,7.416126211465925e+75,5.583751995342376e+42,2.658903501323945e+31,,,3.2367398405741316e+35,,,,,,,8.073839572861089e+25,,3.5306301295534486e+59,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,7.97403254097979e+26,1.7909104860569357e-43,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.254070628456612e-27,,3.7609488253412395e-32,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,3.0496143278961343e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,3.0895285047766473e-36,3.279103166759711e+17,,11844193.46167721,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,8.442955640969358e-08,,275182448727450.47,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,1.7490708657073436e-35,,1.389777371628724e-14,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,2.2793307704813233e-09,71953970500186.55,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,3.633952690748937e-15,,5.717321233840282e+34,438725266.6223741,,,,6.088795784880432e-08,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,8.595185468103149e-46,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,16423608.794421695,,,1.1634420265985111e+45,,7.188069129045861e-07,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,1.2385680827265121e-26,,,,,,,,,,1391194.1886579203,11591894835850.604,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.7302872093028964e-30,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.680758729531919e+29,,,,,,,,,,,,,,,,,,1e-160,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,0.00796206272789719,
"$\hat{S}_{x,z}$",,,1e+160,125.59559427938642,,1.0559303943563333e+136,,,6.912534194504568e-50,7.569525204840446e-50,,,,,,,,,1.571428639258862e-25,,
"$\hat{S}_{x,y,z}$",,,,,,,,,1e-160,,,,,,,,,,,9.470321200570925e-137,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1e+160,4.218884043591289e+65,3.9416906416638624e+57,,5.185202858389753e-05,,,,,,,,,1.1941221301940698e+35,1.4466474549883533e+49,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.853558251373723e+22,,2.5369824547618e-58,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,3.5043966581673707e-23,2.3702950582845563e-66,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,6.682647665360973e-47,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,19285.64855243767,,1.4964128741717577e+46,1.6978622423257127e+64,,,,,,,1.7992764628364298e+18,1.3210868224080093e+49,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,5.889759340134752e-65,,,5.3398176999978394e-05,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.0284298703459436e-47,1.0421895861584671e-12,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,18727.23108132333,,146331023633008.88,9.723560437462009e+46,,,,8.282249065506955e-24,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,6.833820847915009e-15,,959518319201.424,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,9.315209920873931e-31,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,8.37435279620418e-36,5.557789592954337e-19,,,1.2074015066326554e+23,,,1.0735131129564307e+30,,918138837.764805,,6.363636088951727e+24,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,1.0891598948525965e-09,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1.508684605338059e+30,3.292212704091625e-86,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,6.628290608002358e-31,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,3.0374708133444134e+85,,,4.910217905042777e+27,5.3103383069612616e+29,,,1.4376967815597185e-112,,,,,5.6032113881168e-65,,,,,,,
"$\hat{S}_{x,y}$",,,,2.036569495160293e-28,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.8831191954175715e-30,,,,,2.895200411400505e-113,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,5.596290356630903e-09,4.80620260974274e-84,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,178689799.18369055,,1.4768612770112922e-39,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,6.955569580639438e+111,,3.4539923248914797e+112,2.0806447026866531e+83,6.77111666184172e+38,,18156324959981.56,,,,8.446093348491163e+46,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,5.5077225275715474e-14,,8.048223502993801e+18,3.0639096781484923e+91,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,1.2425102255522815e-19,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,3.2638037835511386e-92,,,,3.615244281019309e-57,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,4.838827000241761e+21,6.2230181852103045e-18,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,1.784690833047605e+64,,,,,1.1839793366463837e-47,,,2.7660648140712984e+56,1.989031308817606e+80,,1.606937293509139e+17,341279141.5885376,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,5.027572947529203e-81,2.0666165580006006e-22,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,2.9301527053348247e-09,,,593.2547599945437,3768609866604.8423,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,0.0016856164795191818,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.6534983333281577e-13,,,,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.462324515352672e-68,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,2.888233022542487e+67,,,,,,,,,,,,,,,,,,8.133953971468714e-137,
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,4.691717192871631e-58,
"$\hat{S}_{x,z}$",,,1.2294143826086024e+136,2.131415767172309e+57,,83185118943.67044,,,3.513098473299569e-54,,,4.802551910352308e-41,,,,,,,1.2297807241117777e-20,,
"$\hat{S}_{x,y,z}$",,,,,,,,,8.824840219975107e-100,,,,,,,,,,,1.2021380899595265e-11,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,1.1331649923094252e+99,1.0063335722235168e+57,1.1672742960368218e+40,,3019681955623.607,,1309938.3368441314,,,,,,,20341259.9677718,2.8464900930055085e+53,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,237.21291893506526,,8.566966679513474e-41,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.004215622001067068,9.937062894468257e-58,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,4.432967941201339e-27,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,3.3116070324481767e-13,,2.2558250212136634e+26,8.04425647904693e-09,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,7.633947124634686e-07,124312296.92945822,,,,,7.426742477910664e+21,,,,159920326894.74875,2.0822263218944392e+40,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,2129405.9770471514,1.3682433670822143e-14,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,1.3464853574421043e-22,73086413138073.89,2.972650701628646e+28,,,,,1.9241796832229303e-22,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,4.69614536062635e-07,,3.3640010225625346e-29,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,,,,,,,,3.999261449930014e-40,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,4.916116315235024e-08,,,6.253113781202736e-12,,,5.19701984549092e+21,,2.5004616790370124e+39,2.717524747676674e+19,,8.131530933876531e+19,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,3.679819294580268e-20,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,1e+160,1e-160,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,1e+160,,,1.172473805963172e+21,5.135965103310206e-22,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,8.528975188307196e-22,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,1.9470537277511584e+21,,,,,2.9879684112415852e-111,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,4.339097343045682e-73,5.48944240354719e-82,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,3.346755595667331e+110,1.8216786450911955e+81,3.1611314582327365e+32,,,351913.6149849022,,,,,,,3.321264183642703e+30,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,2.3046267943324913e+72,,3.163424277708022e-33,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,2.8416064551605994e-06,1.6366273810922176e+17,,5.156603507535448e+22,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,,,,6.110126297243306e-18,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.9392609855279353e-23,,1.4694060609880493e+23,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.3005869341226571e-103,1.2886073523550448e-62,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,6.1559680969371356e-06,,7.760315802733943e+61,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,6.805470771827264e-24,,162443.98675450316,7.6888362766351685e+102,,,,2.562184940314404e-07,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,3902918.88874068,,,87.55977313794696,,1.316989890426079e-16,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.011420769654399853,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,3.010901707021746e-31,,,,,,,,,,7593072712778950.0,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,5.332341194638323e-58,,,,,,,,,,,,,,,,,,
