ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{x,y}$","$\hat{S}_{y,z}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$"
"$\hat{S}_{x,z}$",,1.0674222180546329,,11285090.168959206,,1.085938275425537,0.023636421730319726,,,,,0.0941869357367449,,,0.039002081247644566,,,0.14561458154221868,,0.04282908872220612,0.0345926847876617
"$\hat{S}_{x,y}$",,,,,,,,,,,,,,,,,,,8.861249533925765e-08,,
"$\hat{S}_{x,y,z}$",,0.12268092069257047,,,,,7.132376005246184e-05,,,,,0.19375295650649946,,,0.07218391853730012,,,10.957152301998102,0.9208626518004801,0.00024961245627226793,0.006173379793389311
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,9.733774170876133,,,,14020.573218019563,,8.878661241100689,58.106954732969314,,,0.3234743576847598,,,0.02892054943841193,,,34.9897208708716,42.307588323203994,0.03614357808851507,9.780562336051752
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,0.11262959277811459,,2.129452954120487,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,0.01720964391604246,0.4696041760701978,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.045718823673119136
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,6.177225586053523,,,,161.985821943247,0.10224360989080748,,,21.872828731329772,,6.132005766556847,,,0.141229034040348,,,21.46975198776259,28.90784586794124,0.33980410043267806,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,18.5951388235991,,,,5.1612115656488315,3.0914351516374126,,,,,,,,0.14378475352553774,,,96.45590848251479,10.617183712134215,0.002721724640035978,0.1630787768422966
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,10.246107702756612,,0.0827994192892459,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,,0.09759803712886603,0.0027884139291298416,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,9.382570612171445,,,,13.853501171223654,34.577489688761304,,,,,6.954840311510421,358.62681273868907,12.077379389662957,,,,37.975225232417806,25.63965737239708,0.015477441019296143,7.080697016693522
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,3786.3465798335537,,,,4006.2103267364087,27.667432304322922,,,,,367.41409666878764,,,64.61016383478852,,1.2013209732526144,6091.632094806278,23.34861725604537,,2.9428720804919184
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,,0.8324169995071912,
