ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y}$"
"$S_{x,y,z}$",,,,,,,,3.157671881717407e-07,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,16.06898103244721,3166890.1566052395,826313.1863244793,,94562.9584897822,,,0.0004787999727301761,,,47.45010269588625,,,207690.20462209432,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.2101948952891534e-06,9193.06347118575,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,0.0001087776673286709,1.0574965250352789e-05,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.0018947857754387989
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,527.7641477799344,0.02395837939325778,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,2.1354429915421136,,,2088.5548390863046,,,,,,,8.674293791113567e-06,,,4.582300851736979e-06,,,41.73905019140877
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,0.0009279109126314275,,,0.02107476998330493,,,,115283.16011436644,2076.98192253961,5011.649579452647,,,6.285852772110687,186.78077866704902,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,8.734797399558424,0.00048146784001723976,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.11448462445740913,,0.0001995350999997921,,,,,,
