ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,12853900470756.506,,,,,,3.8100652682161554e-14,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",7.779739716166837e-14,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,2.560768339618398e-56,,,,,,,6.681856931952298e-18,1.2527949820124071e-41,1.2359126647982682e-43,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,3.905077958551372e+55,,,,,,,,,,1.916960572432488e+20,,,,,2.0287281762473128e-27,0.0006380602015500778,5.878559230456487e-09
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,35921228056260.68,,,,,,,,,,1.244855795679686e-28,,1.5149871498887466e-27,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,2.7838691885304597e-14,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,3.103048160052502e-14,7988615.7520664185,72.22657838377484,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",26246269541418.977,,,,,,32226377046725.582,,6.231654163877248e+20,57419300.379888795,,,,,,6.2358579606960165e-22,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,1.2517813236183372e-07,1.604710360527796e-21,,6.199032620698e-17,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,0.013845318750758413,1.741574685487202e-08,1.6131549246266134e+16,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.496589960222062e+17,,,,,,,,,1.8832686938910917e-20,9.519992712785658e-24,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,7.982152022940465e+40,,,,,,,,5.3099167593226576e+19,,0.00034996090433620164,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,8.091186606322421e+42,5.216591381068785e-21,,,,,,,1.0504209721263418e+23,2857.4620410722123,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,2.8087966568725683e-21,3.056521959428341e-32,9.327413688441926e+17,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,3.5602434855979994e+20,,2.2198597790855056e-09,1.808735280174358e+42,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,8.03305895727468e+27,,,1.6036285725282696e+21,,,,,,3.2716925095706798e+31,450478903.8575943,,1.659885005536053e+37,3.350081926135527e+16,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,1.0721085537775074e-18,5.5287250210744065e-43,6.024513726341266e-38,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,4.929196585861854e+26,6.600716052762791e+26,,,,,,,,,,,2.985001626970794e-17,,,9.36793655601524e+16,8.276921090428587e+25
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1567.2502337093588,,,,,,,,,,,,,,1.0674709355902827e-17,,2782645369436296.5
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,170109708.9945196,,,,,,,,,,,,,,1.2081787286294148e-26,3.5937026362887855e-16,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,2.3995527973893452e-20,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",4.167443204783723e+19,,,,,,,,,8.524695692841631e-13,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,1.1056851748667115e-70,,,6.531403006338471e-48,2.8769979050807465e-27,2.4109121998652844e-64,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,9.044165760118365e+69,,,,,,1672351.5753865452,,,,,6.833291725648314e+20,1.2134399308705907e-34,1.38263567493924e-09,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,4.646139635858317e+51,,,,,,,,,0.00010052282713513434,,1.5510311443599822e-20,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,2.1523244636948203e-52,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.5310646105125332e+47,,,,,4.518548546110823e+20,1.133088670367204e-15,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,3.475845422876433e+26,,,,2.2131000470509803e-21,,4.2729522530989835e-37,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,4.147807622591472e+63,5.979603898593281e-07,,,882543463854357.1,2.340302303342482e+36,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,1173062401323.8635,,,,,,,,,5.243531810150963e+21,21449.7496430842,5491007527320.66,,,,1.6844016855148307e-12,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,1.9071115351376304e-22,,6.961391735047266e-17,8.679960857374238e-05,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,,4.66205907593154e-05,1.4364943650067558e+16,,20566.00990598479,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,1.8211594047621903e-13,11520.789280408213,4.8623919008664685e-05,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1.4634235448291566e-21,,,,,,,,,,,4.50205325978333e-50,4.173693386667899e-24,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,8.241034224764165e+33,9947.98921299423,,,,,,,,,2.2212087292102069e+49,,5162.269846724887,2.9961031475799925e-17,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,723256327.118816,,,,,,,,,,2.3959594233594574e+23,0.0001937132365589979,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,6.447323792538287e+19,,,,,593682616563.254,,,,,3.337668800914676e+16,,,1.0771316682747997e+30,9.62390268175803e+35,1.3933761649433086e+39
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,9.283916065727243e-31,,1762170995.0931292,7.66630158886772e+16
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.039079501391349e-36,5.674818180440831e-10,,1861.9657553149846
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,7.176812874796709e-40,1.3044099405795692e-17,0.0005370668054154585,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,3287.772142530252,,,,2.906279840449456e-20,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",0.0003041573310583517,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,6.0530493886256075e-99,,,,,,,7.165639307884452e-33,2.0697963139801442e-64,7.457761868048119e-47,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.652059872300262e+98,,2.9325588380194262e+20,,,,,,,90791296194.26941,,5422558.671032333,2.952791569250861e+36,23.111886826893336,,,,4.1877385318111996e-24
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,3.409991257585044e-21,,,,,,3.1757139158439464e+26,,,,,,,,,,7.27281917692196e-38
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",3.4408248857596252e+19,,,,,,1.4484388041901948e+22,1.9431507741164364e+19,1.6644670693689438e+16,,,,,,,,,,,9.220912240183237e-17
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,6.903985153581192e-23,,14.251976139027349,5.660838715795211e-13,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,5.1462810468462316e-20,0.07016570826705347,,16630.621559160827,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,6.007929014655328e-17,1766522683661.2395,6.0130043633225426e-05,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,3.14889825248711e-27,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.395548892475911e+32,,,,,,,,,6.503281704346578e-36,2.90227764492575e-13,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,4.831393278873107e+63,1.1014271652871481e-11,,,,,,,1.5376851956630343e+35,,5.652123022158717e+23,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.3408848629028762e+46,,,,,,,,3445569729513.5366,1.769246699124517e-24,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,1.8441478657336917e-07,,,,,,,,,,,6.3493006959513115e+22,1.5036146875513665e-05,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,3.3866257625955808e-37,,,,,,,,,,1.5749765964583453e-23,,2.4328783499115177e-37,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,0.043267778502462426,,,,,,,,,,66506.40009565868,4.1103575936559646e+36,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,,1.4357367110210902e-23,244733404.08919105,3.441498846831368e-28
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,6.96506533770251e+22,,2.8235151408655033e+33,1.9145241341134162e-14
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,4.086078905826678e-09,3.5416845673208113e-34,,3.176830382757635e-46
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,2.3879236786244613e+23,1.3749826245827621e+37,1.084491397328523e+16,,,,,,,,,,,2.9057106932367934e+27,52232300558753.89,3.147791602055738e+45,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,793.4512734154445,,,,,,,6.495097705039334e-07,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",0.001260316837977281,,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,4.072390561511909e-68,,1.319037847941823e-58,9.286548150082969e-41,9.791977428170073e-43,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.4555601553814173e+67,,,2.7585288758275247e+20,,,,,,,,0.0009455443409873556,30073055832.094677,6.506596272955399,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,,,,2.665118267599408e+42,11695.169216251177,,,,3.9286339506548133e-20,,
"$(\sigma_{x,x})^{\otimes5}$",,,7.581283596678915e+57,3.625120653123532e-21,,,3.601008157185727e+20,4.3591803343990467e+18,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.0768263770764659e+40,,,2.7770000964994305e-21,,3.630022036743648e-06,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.0212441841656494e+42,,,2.2940092478139225e-19,275480.4212971283,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",1539622.7207238663,,,,,,,,,68879.64731985083,28.197596825640247,4.618965191616134e+16,,,,,,1.3230877846365987e-14,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,,,1.4518076658499443e-05,,26.73219658199127,445418.90229405405,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,0.03546401511389417,0.037408074451826825,,1422624612.40882,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,2.1649870880497133e-17,2.2450775996475915e-06,7.029261206909514e-10,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,3.752178701250451e-43,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1057.5918618007704,8.550538957661568e-05,,,,,,,,,,728995716.4136797,704871822068.4612,,1.6279945584092135e-29,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,3.3252357378752857e-11,,,,,,,,,,1.3717501728536011e-09,,217.85986225690965,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,0.153690187319058,,,,,,,,,,1.4186976535187333e-12,0.004590106638462653,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,1.5147295613170626e-50,5.535478828906859e-21,4.15145203931008e-16
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,,2.545414035922901e+19,,,,75580774882194.34,,,,,6.142526673904518e+28,,,6.60183854291783e+49,,25148981263522.023,1.3710267500010607e+27
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,1.8065284520245903e+20,3.976304207003706e-14,,5.3368426920564184e+23
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,2408795743106278.5,7.293803713160421e-28,1.8737670523593327e-24,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,5.45184227420934e-06,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",183424.23527742762,,,,,,3.0865490121901595e-25,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,4.860561026487358e-115,,,,,,,5.6975287755255334e-67,6.236080564147117e-70,2.2171767994838923e-50,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.0573756703198569e+114,,2857391936812513.0,,,,,,,1.6450847616639624e+29,,2.363223926628348e+23,9.937374674174488e+29,76947676.33531497,,,,4.694454639489257e-13
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,3.499694904002295e-16,,6.878058897342596e+21,,,,,,,,,,,,,,3.764944226472996e-39
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.453898570694647e-22,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,3.239864314645754e+24,,,,,,364725.73953551456,5.565898758375377e+34,1.7805064294020702e+23,,,,,,,,,,2.0752692573251272e-16
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,2.7417862015264394e-06,,7.92248269067666e+33,2924012404234.2075,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,1.7966550298731785e-35,1.2622305898841792e-34,,5.716379342244966e-08,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,5.6163796068729734e-24,3.4199581320240595e-13,17493590.612677477,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.7551469056121813e+66,,,,,,,,,1.3358849606785442e-07,38903482350144.336,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,1.6035713293206401e+69,6.078714138647329e-30,,,,,,,7485674.511164973,,3.40019665770262e+19,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,4.5102402308772895e+49,,,,,,,,2.5704639780050176e-14,2.941006361307528e-20,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,4.2315075974485294e-24,,,,,,,,,,,0.8098350926455337,8.972214581073631e-05,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,1.0063019990569807e-30,,,,,,,,,,1.2348192972636491,,3.385768302215524e-24,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1.2995844028379739e-08,,,,,,,,,,11145.520327940465,2.953539376411659e+23,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,192540564.94923505,2.9178776930574345e-11,2.2094608947928537e-34
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,5.193710739675343e-09,,97.67474153941785,4.0698021511715744e-36
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,34271484455.271046,0.010238061388638921,,6.181353446253762e-16
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,,,2130172888642.0706,2.6560818430418054e+38,,4818651827806326.0,,,,,,,,,,4.525990943567952e+33,2.457121901397909e+35,1617768679132973.0,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,2.4217848432664732e-20,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",4.1291859711666725e+19,,,,,,,0.5150337680845708,,,,,,,,,1.45276878076503e-24,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,3.412337751611151e-83,,,,,,,8.950613687944916e-13,4.9067875347392724e-51,1.0148492800699129e-63,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.9305422639592033e+82,,,,,,,,,,2.3416903739553784e+34,,,,,6.604334243140807e-21,1.4845639286300318e+16,62049143.57103684
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,2.255646391139294e+68,,,,,,,1.1789003002516985e-20,6.244384721187244e-19,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,1.7939139396836343e+21,0.0008786260872404692,59973978.16724829,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,5.574403419688879e-22,,5.873703962148657e-13,4.78402700569937e-18,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,1.9416202625296515,,,,1138.1405748385346,1702503235512.3843,,722032846375.803,,,,,,,,2.374743176979364e-29,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,1.6673898089790196e-08,2.0902892036534637e+17,1.384978543593183e-12,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,4.4333189986171313e-69,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1117241828174.1333,,,,,,,,,2.995816259545209e-35,9.807637613869826e-41,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,2.037993275478426e+50,,,,,,,,3.337988425738128e+34,,1.592601299854751e-12,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,9.853679946751404e+62,4.270419399260234e-35,,,,,,,1.0196135291395899e+40,627903543775.333,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,5.829149898287679e-06,1.7431431140783757e-27,5.434919617360896e-51,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,171551.60142540708,,1.0670859551409669e-10,1.9810262476905312e-26,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,5.736763619255175e+26,9371316295.3953,,1.551520204330543e-15,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,6.88340782951984e+23,,,8.482481510832572e+19,,,4.21098167454042e+28,,,,,,1.8399536155156292e+50,5.047888694891318e+25,644529150963576.8,,2.20546365422054e+25,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,1.5141571628337703e+20,1.6014388040618196e+18,,,,,,,,,,,,4.534193969083668e-26,,1.4140418391709785e+44,637113207619583.4
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,6.735984761011999e-17,,,,,,,,,,,,,,7.071926532147577e-45,,0.14358973500141475
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1.611625789572989e-08,,,,,,,,,,,,,,1.5695797670499623e-15,6.964286130830642,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,3.927968490383127e-13,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",2545845269503.3247,,,,,622017582145.3644,,,,,,,,,,,,2.1858627607351263e-22,,
"$(\sigma_{x,x})^{\otimes2}$",,,,6.976043014242212e-63,,,,,,,6.970532598722503e-48,1.0815002858675921e-67,7.860888268860872e-45,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,1.43347739966398e+62,,,,,,,,,0.0001319762711621591,,8.671191594268008e-14,3.374666583059088e-14,0.0005333459833230111,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,6.765139830949307e+48,,,,3.961584597563564e+20,,,,3.78651558513761e-10,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,1.6076715975631405e-12,,,,,223.09968584127387,9.128666709686714,6.116642632610512e+29,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,0.004482301246768489,,0.021893974876385613,254079052.0351216,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,0.10954502248820945,45.67466646171131,,1.0424287175748111e+30,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,1.6348838081017847e-30,3.935782946253157e-09,9.592982072927531e-31,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,1.478166046805387e-49,,,,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,1.434610606631796e+47,,,,,,,,,4.469793620371284e-15,46592749.23462353,,,,,,,
"$(\sigma_{x,x})^{\otimes5}$",,,9.24641456934788e+66,7577.1196685145105,,,,,,,223723975854825.9,,2.618775455667684e+22,3.8766569578517915e-11,,,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.272120867003381e+44,,,,,,,,2.146256695359136e-08,3.8185786331384397e-23,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes3}$",,,,11532440370260.514,2.524242447365672e-21,,,,,,,25795421438.427696,,,63.47840490205051,547537.8920902786,,3.405424783953833e-26,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,29632557036005.438,,,,,,,,,,0.01575338891301753,,43610851.14544626,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,1874.9555284348482,,,,,,,,,,1.8263576173375031e-06,2.2930072991809e-08,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$",,,,,,,,,,,,,,,,,,2.6275533614826334e-18,2.0733669700042192e+17,0.04742398695727321
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$",,4.5748526301060666e+21,,,2640950439.832028,,,,,,,,,2.9364912263278956e+25,,,3.8058218518376205e+17,,8.478265825636277e+33,732.6339067897455
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$",,,,,,,,,,,,,,,,,4.823072878401092e-18,1.1794864900039296e-34,,5.184608107092431e-22
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$",,,,,,,,,,,,,,,,,21.086375569834587,0.001364938191820522,1.9287860901810914e+21,
"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$",,3.9835996395632327e-08,,,,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$",25102924.2514351,,,,,,,,4.539497592279096e-14,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes2}$",,,,3.850093370818281e-68,,,,,,8.226628029026363e-17,1.9527201578162654e-58,1.2523635680845678e-47,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes2}$",,,2.5973396063053523e+67,,,,,,,,288.6652715096803,,,0.008375904522657907,2313.3392526830426,4.8603205778069355e+22,,,,
"$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$",,,,,,,,,,,,,7.076303217312624e+24,191118615053.7035,,,1.1809507841823916e-27,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",,,,,,,0.0002602414995980285,9.921551512609187e-14,5.95167591353805e-13,,,,,,,,,,,
