ModelName,"$(\sigma_{x,x}\sigma_{y,y})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes2}$","$H_{(1,2)(1,3)(2,4)(3,4)}\sigma_{z}^{\otimes4}$","$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$","$(\sigma_{x,x})^{\otimes3}$","$(\sigma_{x,x})^{\otimes4}$","$(\sigma_{x,x})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{z})^{\otimes3}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes5}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes2}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes4}$","$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z}\sigma_{z})^{\otimes3}$"
"$(\sigma_{x,x})^{\otimes5}$",,,2.3327937662325646e+89,237147344.99606866,,,3.8249927697437e+20,361200412.1325854,,,,,,,,1.5868037573392112e-22,,,,
"$(\sigma_{x,x})^{\otimes3}$",,,1.1303897303836105e+61,,,2.6143840268409363e-21,,0.08560016120604026,,,,,,,,,,,,
"$(\sigma_{x,x})^{\otimes4}$",,,8.669080414815242e+64,,,2.768546121240114e-09,11.682220990133326,,,,,,,,,,,,,
"$H_{(1,2)(1,3)(2,4)(2,5)(3,4)(4,6)(5,6)}\sigma_{z}^{\otimes6}$",,,,,2.511672507792866e-20,,,,,,,,,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes5}$",922417036729593.0,,,,,,,,,,61741525788.44643,342764084139612.3,5.385496169518774e+32,,,,,7.308804236594418e-13,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes4}$",,,,,,,,,,1.6196554704955608e-11,,6.2386726296292165,1.314300624235795e+18,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes3}$",,,,,,,,,,2.9174585269344815e-15,0.16029050719069918,,111270408966.63486,,,,,,,
"$(\sigma_{x,x}\sigma_{y,y}\sigma_{z,z})^{\otimes2}$",,,,,,,,,,1.856839125909834e-33,7.608609336098077e-19,8.987115346182078e-12,,,,,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes4}$",,,,120689748.42101233,,,,,,,,,,,1314791116171094.8,1.4589969121630457e-16,,,,
"$(\sigma_{x,x}\sigma_{z})^{\otimes5}$",,,,0.05596290154349616,,,,,,,,,,7.605770891669679e-16,,9.069904472816228e-17,,,,
