ModelName,$\hat{S}_{x}$,$\hat{S}_{y}$,$\hat{S}_{z}$,"$\hat{S}_{y,z}$","$\hat{S}_{x,y}$","$\hat{S}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x}$","$\hat{S}_{x,y,z}\hat{A}_{z}$","$\hat{S}_{x,y,z}\hat{A}_{y}$","$\hat{S}_{x,y,z}\hat{A}_{x,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$","$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$","$\hat{S}_{x,y,z}\hat{A}_{y,z}$","$\hat{S}_{x,z}$"
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.57917202574549e+20,,,2.4214945627923253e-23,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,1.4140992028918394e-20,3.2742781988262415e-36,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,8.287826004783574e-08,7.071639655513527e+19,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,4.129680963837716e+22,12065890.37249116,,3.0541082317271592e+35,3193260.535986435,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,5.048569624481441e-17,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,3.1315953982786703e-07,,,1.980759055299181e+16,2.7339597024757295e+48,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.6576983892427266e-49,,,,,
$\hat{S}_{x}$,,3.132501819175194e+79,2.6777849931338287e+84,,,,,,,,,,,,,,,,,,3.843593507897989e-28
$\hat{S}_{y}$,3.1923365339443152e-80,,14.664883801177188,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,3.7344297714869693e-85,0.06819010730379789,,,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y}$",,,,,,,,,,,,,,,,,,,,,3.8187614323874336e-80
"$\hat{S}_{x,z}$",2.6017319415936024e+27,,,,2.6186500982199735e+79,2.4867612813903238e-77,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,4.9140121910307256e-73,,,,,,,,,,,,4.0212947156749594e+76
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,0.006794160545694802,,2.9902548153363824e-07,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,2.034996986424341e+72,8.555368961597381e+21,3344196.6044873907,,,2.8113446539046277e-08,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,147.18521784617843,1.1688566612249171e-22,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,6.335707991269767e-48,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,35570167.41476779,,,9.188381878418109e-26,,,,,,,,1.5783555703292215e+47,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.0883309087847381e+25,,,,0.23834536659081562,,,,840.1095708281466,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,4.195592363734811,1.2452615299981176e+16,1.0971573339729153e+27,,,,,1.4280090682224146e-14,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,,,,,0.00019373918683104205,,9.114463067743448e-28,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,5161.5783897766105,8.030441605318937e-17,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,,,,,,1.630457570437041e-32,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,yz}$",,,,,,,,,,,,0.0011903209232746149,,,70027566508719.71,6.133247611785151e+31,,1.5375468419705853e+31,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,6.503866891745279e-32,,
$\hat{S}_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,1e+160,,3.1968895698192943e-17,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1e+160,3.128040484853299e+16,,,,,,,,,,,,,,,,,,,1.4183149468981916e-32
"$\hat{S}_{y,z}$",,,,,,,,,,,,,,,,,,,,,3.4837469648172895e-32
"$\hat{S}_{x,z}$",,,7.050620189732664e+31,2.870472540339756e+31,,3.2548923860280903e-24,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,,,,,,1.3113766630487818e-42,,,,,,,,,,,,3.072298194227825e+23
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,7.625574163224231e+41,1.888466275728902e+50,3.1342691563599205e+34,,,318449.1795460713,,,8.612572941736264e-51,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,,1729.969191950571,,3.1905364539954845e-35,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.0005780449759758336,5.2953023988422796e-51,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,,1.6911560800571397e-11,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",,,,,,,,,3.140218484548886e-06,,,5.8169019022742e-39,,,,,,,,59131147727.4299,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,,,,,,,,1.719128183353128e+38,,,1.6163498376804285e-36,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,3535.9831819853043,2.0401315121163144e-10,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,2.431578260286069e-13,0.0002828067749571542,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",,,,,,,,,1.161093214263569e+50,,,6.186779474888108e+35,4112555274623.7847,,4901644791.333368,3.2908600082573886e+30,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz,yz}$",,,,,,,,,,,,,,,,1.6871229076203937e-11,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz}$",,,,,,,,,,,,,,3.0387193544873112e-31,,,59272504420.585,4.616231175872042e+39,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy,xz,yz}$",,,,,,,,,,,,,,,,2.166269326429676e-40,,,,,
$\hat{S}_{x}$,,3.966133715046752e-08,7.096564434710758e-141,,,,,,,,,,,,,,,,,,
$\hat{S}_{y}$,25213471.6539231,,7.491935154141511e-92,,,,,,,,,,,,,,,,,,
$\hat{S}_{z}$,1.4091325587192503e+140,1.3347686270979055e+91,,8.066913797004632e-82,,,,,,,,,,,,,,,,,
"$\hat{S}_{y,z}$",,,1.2396314441482135e+81,,,3.7244245976377305e+25,,,,,,3.7909005756862863e-93,,,,2.954393431123204e-91,,,,,1.930149823499736e+20
"$\hat{S}_{x,z}$",,,,5.180944959945162e-21,,,,,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}$",,,,2.6849785081815437e-26,,,,1.2859828222951874e-41,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{y}$",,,,,,,1.0301741379195108e-18,1.0406389181116006e-28,,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{z}$",,,,,,7.776153636447701e+40,17.773624236752113,,9.609481085088128e+27,1.164203088277862e-12,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x}$",,,,,,,,0.056263145134587154,9.707096724632896e+17,,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,z}$",,,,,,,,858956663204.9069,,,,6.906143742418709e-52,,,,,,,,13147535.35527897,
"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",,,,,,,,,,7.605988293452142e-08,,,,,,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",,,,2.637895613548147e+92,,,,,,1.4479860792034056e+51,,,,2.3128971491220953e+28,,2.7487570569715614e+19,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{yz}$",,,,,,,,,,,,,,4.2583865200339163e-16,3.4833435894413853e-06,,,,,,
"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xy}$",,,,,,,,,,,,,287080.494451128,0.0003748127929550665,,,,,,,
