ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,238425.1816436557,,0.4180523542526757,,,,,7.417631095256439e-19,,3.6643788251181596e-06,,,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,1.1085658121670813e-23,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,9.020664258490424e+22,,9.999999999999997e-161,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1.0000000000000003e+160,,2.470531603404106e+18,,1.9501942743135505e-23,,,,8.142276753675342e-18,5.004439079670721e-21,,,,6006897.029813396,,1.3270710457929836e-07,,,
"$S_{y,z}$",,,,4.0477118310169183e-19,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,7.72023949118552e-82,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,5.814403209598264e-09,1.0000000000000003e+160,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,9.999999999999997e-161,,9.999999999999997e-161,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,5.127694267033937e+22,,1.29529660464774e+81,,1.0000000000000003e+160,171986696.4762998,,18090559.24195823,45450550.53844473,,,,339.13452411390386,,140574447.77181536,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,9.292881661765781e-06,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.2281577134412803e+17,,,5.5277450886131595e-08,,,107609.2472063166,,4927757209.214215,,,,4951068803505.6,,24302144.886642955,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.998225943167636e+20,,,2.2001933709342897e-08,,,,2.0293207590060244e-10,,,2194726729.6089463,,46475980.54992234,,1143223345.0681715,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,4.8199693476274516e-08,2.670450343471989e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,6.619325525324484e-17,20747019.90568121,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,4.556375910080517e-10,1.5107279377244094e+16,,374468674.3359732,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,6.08911711289072e-11,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,1.6647530247926773e-07,,,0.0029486823926664968,,,,2.0197659125479147e-13,2.1516490629516603e-08,,,,,16422742106.289766,12562184.55254934,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,7535391.591657068,,,7.113668350475968e-09,,,,4.1148631310712985e-08,8.747197162426465e-10,,,,7.96039889254025e-08,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,3.6620844956392585e+67,,2.5945050811863377e-82,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,2.7306852181886597e-68,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.0947685336674613e-23,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.8542996398478815e+81,,,,,8.287912109406525e-84,,,2.1625550255492124e-78,,1.5773718222066557e-90,,1.0155721141748063e-78,,3.751090715060039e-64,,,9.134350954078046e+22,,
"$S_{x,y,z}$",,,,,,,1.720701300102968e-90,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.6595283185525126e-73,,2.3025686363097249e-60,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.2065765017766427e+83,5.811583916047248e+89,,3.760065245495354e+72,6641090816671.588,6.952806556554772e-05,,7.305200863140827e-16,,2.1860419948874186e-10,,10.300635049594767,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.5057767279580504e-13,4.342975858485928e+59,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.17661226361424e-27,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,4.624159793326115e+77,,14382.68117868529,,,,8.498976518638911e+26,1.2705174207279908e-16,,408.46286289737395,,1.5003063524027865e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,6.339659336636657e+89,,1368887753717501.8,,,7870809039572338.0,,,,4789248006326.98,,195930.5240463411,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.00031720147356475217,1.4941494647437008e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,66927708.61257411,1.9863054948397593e-08,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,9.846666583717106e+77,,4574477536.747871,,,0.00244820298449323,,2.0880104740429391e-13,3152.570474411319,,50344723.03469477,9.694423584940732e-05,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,2.96874919476463e-07,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,2.6658912725974797e+63,,0.09708139305831834,,,66653.0537845467,,5.103849973695175e-06,,10315.20844161787,,,3368421.966272845,1123793963554324.2,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,8.898428292293099e-16,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.5383328871324e-07,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1048401.2372319704,,,5.33081150161969e-159,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.875887000874378e+158,2994597113933260.5,,,,,1.0690487263256858e-15,,,,,4.50470742707961e-05,,,,,,3.277102578528956e-21,2.4757828247343394e-07
"$S_{x,z}$",,,,,3.339347371127823e-16,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,8.504967670821587e-87,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,2.674169859612903e+56,7.322844629542277e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.7394782399677263e-57,,1.5850620484571893e-38,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,935411057863558.9,1.1757834229408647e+86,13655895.360195648,6.308901288585794e+37,,,,,,334783054820278.56,,,,,,2944781806539.7656,1.1611810428706166e+26
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,,,,,,,,,,0.1606923214268329
"$S_{x,y,z}HF_{x,z}$",,,,,4039126.4936871175,,,,8.611921509912421e-27,,6.223072708893089,0.0007043773368334808,,408.23120506094017,,,,,,8.795834364497925e-19,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,,,,5.114084595132123e-06,,,,,,,1419.6936041348051
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.703001350935095e-07,3018888369318.6016,,,,,,
