ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{z}$",,,,,,,0.0020475666428724916,,0.017392911457805537,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.4128845161059784e-06,57.49468698360004,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,590407.2773170597,,7.818569706663855e-62,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,,,,,,,,1.693746060421578e-06,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.9185289036236257e+119,,,1.6208189287335942e+72,,,,,,43.40125042057891,,,,,1.0825834357606594e+45,,1.2790063112792724e+61,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.9079338046533776e-26,,276.26521449021044,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.460589813933999e+121,,,1.3428039290720286e+76,,,,,0.023040810813271986,,5.241271985228409e+25,2.0651614105828774e+29,1.749687269482361e+23,,1.5567198322172282e+42,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.842236519022293e-30,0.003619710146444931,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.2921671072508475,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,5.715307057676922e-24,,,,,,3.4226987747167055,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.7653832509076862e+42,,,18891234504.958958,,,,,9.237163316630339e-46,6.4237634756390625e-43,,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.6389079763042006e-59,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.748077188298766e+58,,2.8954635751086546e-86,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,3.4536783974651596e+85,,1.4133278951082704e+48,,1.3409784723609061e-50,,,,,1.3630331310636777e-78,,,,,,7.3729541426059455e-56,1.4326497043942494e-57,,
"$S_{x,z}$",,,,7.075498923223286e-49,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,5.9692137082834786e-95,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,4.3982793393075744e-38,7.156265331394196e-25,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,7.457241265323338e+49,,1.6752625201076315e+94,,6988422833961245.0,2.2736163914441847e+37,,,2.9934833958443533e-47,,,,,,2.589311253246466e-34,4.2023504346104806e-42,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.4309380295942545e-16,,1.3973769189538678e+24,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.597884099188522e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,4.8551604886860184e-54,,,,,,,,38492864262.5882,
"$S_{x,y,z}HF_{x,y,z}$",,,,7.336578819765183e+77,,,3.3405897670527625e+46,,,2.0596641497851622e+53,,,,,,,,23.159335497136123,0.005464161540083214,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.7608871705374805e-15,0.8593304940925786,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.133605890439405e-15,,1.163696629963031,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,194794852067307.06,567895556700982.2,,,,2.165113512564345e-14,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,6.980073334973523e+56,,,2.379620680284106e+41,,,,,183.01069480913827,46186954826936.87,,,5188023.597378166,,6392055773496.123,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.92751629060701e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.356308449311138e+55,,,3.8620308730601803e+33,,,,,0.04317913180728608,,,,,,,1.5644419188993587e-13,,
$S_{x}$,,5.829626347997514e-44,2.7199048222671146e-23,,,,,,,,,,,,,,,,,,
$S_{y}$,1.715375806793349e+43,,1.3093288655839934e+49,,,,,,,,,,,,,,,,,,1e-160
$S_{z}$,3.676599239110407e+22,7.637500602676892e-50,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,1e+160,,937981206677.6973,,,4.175221123626312e-79,,,,,5.318183402576032e-139,,,6.73743459212114e-128,,,,2.667954817234544e-103,,
"$S_{y,z}$",,,,,,,,,,,,,,,,,,,,,1.0661194412860056e-12
"$S_{x,y,z}$",,,,,,,5.086566886924495e-60,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,8.443990625763941e-41,,1.4617998820250257e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,1.965962548473697e+59,,1.1842741712062577e+40,1614312596326459.5,,,4.300204662629101e-71,,,1.4222070292865196e-61,,,,1.5984528431803932e-69,,2.395082728292647e+78
"$S_{x,y,z}HF_{x}$",,,,,,,6.194587109557385e-16,684088165758163.8,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,2.3592724886223e-37,,,,,,,,30561850457081.188,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.272053180825312e-14,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,2.3254707123372364e+70,,,4.2385947567419446e+36,,,,,1.008443971563569,,,,948978.2020067227,,1.8803413201500685e+138
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,7.031325112361955e+60,,,,,0.9916267320727034,5.994300745506603e+39,2.329187915937627e+19,,,,,1.8300260019224112e-15,,1.4842444647543078e+127
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.507034558713008e-10,1.668251298117819e-40,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6635547899.1403475,,4.2933418688867135e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,6.256049430963069e+68,,,,,1.0537649841538887e-06,,,546440323224652.0,,29981130522635.79,2.845831523868867e+27,,,3.7481894128797327e+102
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,3.3354312614896184e-14,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,,,3.5139114582598845e-28,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,6.127036959683334e+82,1.5306508976013512e-41,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.63211027872057e-83,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,6.533168350582602e+40,,,,,3.2380271817749324e-116,,,,,1e-160,,,6.467611773554003e-157,,,1.724516880688162e-101,,,3.6887615585469865e+96
"$S_{x,y}$",,,,2.7109369476131247e-97,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,3.2276128583927126e-150,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.4327730281103858e-14,5.855992270693212e-05,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.3527493772984024e-26,,17076.525271465624,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,3.0883002021368074e+115,,3.0982650146522846e+149,,7.392352321736907e+25,69794725359874.414,,,1.3655132637271698e-51,,,9.689606913679614e-67,,,3.3934943239611496e-26,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,,,,,,,,2.7547197623215673e-07,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3630133.3212828883,,3.3932474160465447e-65,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,7.323253655336156e+50,,,,,,,,234210603545202.44,,,1.530498120122831e+36,,2.94702943048313e+64,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.546165779598877e+156,,,1.03203360973108e+66,,,,,4.269661513454923e-15,5.962691750646217e+16,5754084.825764871,,,,2.015930643073178e+31,1.1530374258408894e+26,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,72.23874528643107,1.677094912531112e-17,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.013842986835318616,,1.7378958258007142e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.4425636388052467,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,8.67274537312367e-27,,2.259562043324705,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,5.798725493489828e+100,,,2.9468150069946853e+25,,,,,6.5338205049199564e-37,,,4.960488117168325e-32,,,,,,
$S_{x}$,,3.6684429340123507e+28,35357642.57197527,,1.8453606963243797e-63,,,,,,,,,,,,,,,,
$S_{y}$,2.725952176408132e-29,,1.8501292791798485e+127,,,,,,,,,,,,,,,,,,
$S_{z}$,2.8282428557400697e-08,5.405027698622737e-128,,,,,,,,,,,,,,,,,,,
"$S_{x,z}$",5.418994790513403e+62,,,,,,3.7025040843867983e-140,,,,,1e-160,,1e-160,,,,2.2456899116740536e-146,,,2.4666259759989645e+134
"$S_{x,y}$",,,,,4.054120931711212e-135,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,1.0090474478562237e-104,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.1996002825506195e-22,4.75307546476399e-08,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,6.409098541196884e-13,,21039009.530004468,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.700874805829196e+139,9.910336745061438e+103,,1560281829920.581,8.336110073880406e+21,,,6.921542674812235e-101,,1.365610905821814e-79,,,,1.3905610471952241e-25,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.04911881083774125,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,2.9477141826453657e-53,,,,,,,,20.358799061797185,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,1.4447646239891566e+100,,,3.3924591667926584e+52,,,,2.7288546100641012e+20,,,,5.084120069259597e+60,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,1e+160,,7.322730037793655e+78,,,,,3.664541145988389e-21,19.73253790262606,,709991756.1257375,,2.1018705522208783e+31,3.3954051730528592e+41,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.327138328677978,1.4084670580638443e-09,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.05067771844324785,0.13647893012829582,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,4.757666921701625e-32,,1.0715504001570532e+24,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,9.332272190402185e-25,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,4.452974539367941e+145,,7.191341955227426e+24,,,,,1.9669087007727385e-61,,2.9451566132264716e-42,,,,,,,
$S_{x}$,,1.1873109334840864e-43,1.2626439755722798e-141,,,,,,,,,,,,,,,,,,
$S_{y}$,8.422393593778887e+42,,3.085563856972076e-125,,,,,,,,,,,,,,,,,,
$S_{z}$,7.919888894624954e+140,3.2408987347334287e+124,,1.7571674465301265e-39,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,4.1472557816857785e-17,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,5.690977271259476e+38,,2.411232999941758e+16,,7.139291081171973e-97,,,,,1.7075545837196304e-144,,,7.009209495703705e-129,,,2.3567285276629812e-71,,,
"$S_{x,y,z}$",,,,,,,3.287662469021919e-92,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.9224136941343778e-34,4.14873379971096e-25,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.1472418786477315e-07,,2.4103739798144425e+24,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.4006992972134733e+96,,3.041674774775467e+91,,4657137.185819839,3.421829024436601e+33,,,1.366610435382928e-66,,,7.635689629309977e-67,,,1.575488782546218e-14,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,2.4622227971941694e-67,,,,,,,,1997776677112054.2,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,5.005564493052246e-16,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,5.856328163880199e+143,,,7.317374242937032e+65,,,4.0613708927541075e+66,,,,,4.2447752033487064e-11,,,1.471751191511175e+49,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,0.004503465537073806,6.384582467752975e-37,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.426694409138363e+128,,,1.3096394020016868e+66,,,,,23558373579.149708,1.5662731354019857e+36,1.4170157807969583e+54,,,,2.48130563361412e+48,6.169972801916552e+42,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,222.05121628392985,,7.057084427370172e-55,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.6207526874176403e-43,,183706.82148965143,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,5.44345600174859e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,4.2431700904967484e+70,,,63472365597161.234,,,,,6.794626739681542e-50,,,4.030136338115915e-49,,,,,,
$S_{x}$,,2.0773243199641124e-76,8.906791831299734e+78,,,,,,,,,,,,,,,,,,
$S_{y}$,4.813884815141797e+75,,8.338926839984137e+153,2.225897391673131e-31,,,,,,,,,,,,,,,,,
$S_{z}$,1.1227387132658221e-79,1.1991950753244673e-154,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,3.570894941398321e-128,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,4.492570069675737e+30,,,,,4.632493042033961e-68,,,,,2.993910528989193e-143,6.408469571221676e-113,,,7.776503392365069e-119,,,,,2.800418428463795e+127
"$S_{x,y,z}$",,,,,,,4.48957155179164e-76,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,3.028145297874972e-15,242860.55138975123,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.1586648720813536e+67,,2.2273840353450496e+75,,61673085.89811219,330235144496454.25,,,1.0724920172119607e-75,2.0303775890363812e-49,,,4.873078537589282e-55,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.6214528354427776e-08,,4.117589267905286e-06,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,,,,,,,,,6.666977855190012e-17,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.4999299858503872e+16,,2.873538447130003e-41,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.34011317411553e+142,,,9.324078724609902e+74,,,,,,16487930995756.611,,,3.49496665800476e-11,,,,3.480029999246287e+40,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.003743478707042829,,1.1451078295074831e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.560434966393022e+112,,,4.9251922666985344e+48,,,,,6.065042364972071e-14,,267.1312109024797,314309.886640705,6.6159149238715886e-12,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.181573480515818e-06,87328020491.3196,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1.2859249839481776e+118,,,2.052090874970181e+54,,,,,28612576251.897335,151150674019.67236,,,,,1.691219270754618e+23,2.5085369418723633e+20,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,3.9863873770724835e-21,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.912893835190291e-24,,,,,
$S_{x}$,,1.0159678812937918e-70,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,9.842830845464746e+69,,2.4723674417116652e-117,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,4.0447062322891685e+116,,1.3395721991578114e-56,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,0.08907014195455201,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,7.465069823251779e+55,,11.22710684025012,,5.088485519675477e-78,,,,,1e-160,,,7.297725324759152e-133,,,1.2246629056536144e-75,,,
"$S_{x,y,z}$",,,,,,,3.075140389166437e-87,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.9652212748436318e+77,,3.251884055514828e+86,,110870.26565225371,1.2210603557404774e+17,,,2.4895740289141494e-62,,,7.038740744952974e-45,,,74641632.76139332,,,
"$S_{x,y,z}HF_{x}$",,,,,,,8.189603366441116e-18,4.061368489174535e-18,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,9.019550860791795e-06,,2.4622242543750272e+17,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.1157942311109454e-76,,,,,,,,5.108126274158432e+34,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.957664995595182e-35,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,4.01675141363906e+61,,,8.962225938418284e+75,,,,,0.034036672811928854,,,1.0128781570661294e+48,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,1.3702899951677795e+132,,,1.4207086696821948e+44,,,,,29.38007500103034,1.0969492964202905e+30,4.1133787395056923e+23,,,,4.1707117234843274e+29,3.721352840407471e+35,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,1.0363972044163673e-06,,2.4310914781461886e-24,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,964881.0279868867,9.11619163495826e-31,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,2.6871947995409775e-36,,613.3211842439314,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,0.0016304670793863823,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,8.165512284103113e+74,,,1.3397348945952146e-08,,,,,9.872855812159757e-49,,,2.3976723070291047e-30,,,,,,
$S_{x}$,,1.1946140460063164e-97,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,8.370904421750894e+96,,3.155736481046248e-97,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,3.1688323977813936e+96,,8.039101715891617e-61,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.7437286223179753e-18,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.2439200738351275e+60,,5.7348373319162406e+17,,3.2251240799764067e-48,,,,,1.6040633874502324e-127,,2.5086487983589682e-136,,,,3.1767078894329123e-68,,,
"$S_{x,y,z}$",,,,,,,1.591246958880636e-24,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,3.100655897888169e+47,,6.284379645906445e+23,,2.990104582950128e+30,3494709.5371599784,,,5.729369207338018e-48,,1.2050128466198179e-75,,,,1.123135473562212e-15,,,
"$S_{x,y,z}HF_{x}$",,,,,,,2.861468140246823e-07,8.322942514814705e-08,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.3443646275856e-31,,12014981.459021445,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.0012440307063138e-55,,,,,,,,1.3222741643691402e+18,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,7.5627281160492315e-19,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,6.234167601004645e+126,,,1.7453928413606643e+47,,,9.987575149831993e+54,,,,1.9962136695271608e-10,,,,6.666294680597713e+38,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,3.9862096306750853e+135,,,8.298666713845421e+74,,,,,5009483780.545737,1.0029618668575453e+26,,202.98747286287164,,9.290504818889674e+50,4.896579662746969e+43,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1821231660540273.8,0.004926412383465411,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,9.970468798910318e-27,5.490789676384975e-16,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,1.0768171759578503e-12,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,1.0763677749424084e-51,,928662750118.6356,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.1479129803732574e+67,,,890364540644712.0,,,,,1.5000837015358852e-39,,2.042241868559742e-44,,,,,,,
$S_{x}$,,1.21203465759055e-134,1.0732563989589582e-118,,,,,,,,,,,,,,,,,,
$S_{y}$,8.250589153844315e+133,,8.580802904763374e-79,,,,,,,,,,,,,,,,,,
$S_{z}$,9.317438041552646e+117,1.165392109688104e+78,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,3.030002186831064e-50,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1e+160,,3.300327651069628e+49,,,1.5027421586538933e-59,,,,1e-160,9.506825417518154e-134,,,2.113259166148288e-129,,,,,
"$S_{x,y,z}$",,,,,,,,1.2602610555539385e-83,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.1134896302488633e-13,1.2691579979697348e-15,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,0.004747519486687845,8980775148992.645,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,6.65450153402076e+58,,7.934863936269596e+82,210.63631287960445,,787923963446390.9,,,3.7177779266385654e-101,6.748970166908556e-81,,,6.567249030360007e-71,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,1.7937001826376086e-17,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,,1.1741533229611488e-77,,,,,,,,5.575067726923657e+16,
"$S_{x,y,z}HF_{x,y,z}$",,,,1e+160,,,,2.6897787327070166e+100,,,8.516775283470272e+76,,1.653113903933374e+22,,,3.55609653773114,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4.770624146978769e-15,1.081933345622726e+19,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.0518758429678404e+133,,,,1.4817075424383772e+80,,,,6.049189941604311e-23,,1.8505825592026592e+28,209616177923657.84,0.23466529214872114,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.403703796013615e-29,,9.242713555745267e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,4.732027268679215e+128,,,,1.522707598534879e+70,,,,0.2812072139745733,4.261388596683661,,,,,2.481085645294885e+36,1.7598285346569957e+19,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,5.682371778310253e-20,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.030493674800761e-37,,,,,
$S_{x}$,,4.5813286650857906e-23,4.887933130090329e-73,,,,,,,,,,,,,,,,,,
$S_{y}$,2.1827728877453805e+22,,1.1336471212303827e-12,,,,,,,,,,,,,,,,,,
$S_{z}$,2.0458545020674615e+72,882108710261.3278,,1e-160,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,1.6358772313549015e-101,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1e+160,,6.112928163758098e+100,,1.3926561373366275e-31,,,,,6.926297512898707e-111,1.5050673579320277e-130,,,1.345967018118341e-64,,,,,
"$S_{x,y,z}$",,,,,,,5.920947374392114e-72,,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1.0429451119020062e-23,3.4497994197148612e+16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,7.180523412710053e+30,,1.688918912410815e+71,,25431.622094611797,9.588232291307375e+22,,,4.309648505051508e-46,7.554152714650357e-57,,,5.163758124612768e-56,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.932112534071785e-05,,2.898719253894053e-17,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.29389056002282e-05,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,,1.247621922460578e-55,,,,,,,,43594.05881987901,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.4437728066657833e+110,,,2.320374849196775e+45,,,8.015248706337138e+54,,,40.338839348741594,,,63571355220.32116,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,6.644220903003348e+129,,,1.3237751972641776e+56,,,,,0.02479000427738375,,4.66475677075355e+36,734.6379360971249,5.198822961161541e+22,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0013612147574527,1.943386161202307e+34,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,2.1437344949465797e-37,,5.145657718285562e-35,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,7.429602557408858e+63,,,1.9365740529819847e+55,,,,,1.5730355228927713e-11,1.9235123170583524e-23,,,,,222380.41513859358,948844.0106396495,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.053914014091594e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.496798872224304e-06,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1e+160,3.9713866719207965e-07,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1e-160,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,2518012.1771329334,,,,,,1.6527940758650607e-78,,,,1e-160,5.096115221430966e-156,,,,,3.1483316269619773e-90,,,6.063042026487159e+119
"$S_{x,y}$",,,,1.6493370747413175e-120,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,9.111567010706627e-74,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,1179.4653900421788,0.14760950922885388,,,,,,,,,,,,,
