ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{y,z}$","$S_{x,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,35953911.27883209,1.986176336065765e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,5.927522395036571e-23,,,4832.063256601322,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.00020695093315135107,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.0752823115841933e+36,,,,2.3649561368701022e+41,,,,4.249846471173982e-41,,4.232227544078693e-41,,,,,,,
$S_{x}$,,6.255961405027187e-74,3.018779388300623e-133,,,,,,,,,,,,,,,,,,
$S_{y}$,1.5984753345767392e+73,,9.933722129221612e-64,,,,,,,,,,,,,,,,,,
$S_{z}$,3.312597150608396e+132,1.0066720077244177e+63,,8.92324141201334e-61,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,5.8261186564038925e-21,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.120668996642523e+60,,1.7164085714265886e+20,,,,1.3669578855666122e-42,,,2.510345855753543e-128,,,,,,1.2763111200824307e-59,7.419876677411252e-78,,
"$S_{x,y,z}$",,,,,,,,,5.235857126623155e-86,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,7.31551432973002e+41,,1.9099069661683946e+85,1162472403225.0242,7105.108988461619,,,,3.7959014071406435e-70,,,,,,7.866494515006901e-26,4.318784568063753e-39,,
"$S_{x,y,z}HF_{z}$",,,,,,,7.523088051317729,,0.00014074379458836668,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,0.1329241387550744,8.602354750321125e-13,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,7.722365660236638,1.275679728021457e-32,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,0.12949399756464744,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,3.9835148519797285e+127,,,,,2.634420372770626e+69,7.83895814940143e+31,,,,,,,,3.1444622693882776e+36,2.4130149050870116e+21,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,8.772260998865071e-40,,2.5118031909242246e-21,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.473971070040016e-05,3.981203637344083e+20,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.1399569622123385e+39,13379.76813970523,,,,4.5486884481847744e-07,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,1.3477312945703749e+77,,,,,2.3154662712160508e+38,,,4.1441932160959476e-22,2198435.9038682147,,,2.6317889986852987,,3.646305297122317e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.3799696710106876,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,7.835080210970931e+58,,,,,1.2712142595311054e+25,,,3.1801939865366526e-37,,,,,,,2.7425021179362168e-17,,
$S_{x}$,,1.1527635741787873e-07,3.916272221688294e-136,,,,,,,,,,,,,,,,,,
$S_{y}$,8674805.679147054,,1.2047595562911427e+19,7.94036059012371e-136,,,,,,,,,,,,,,,,,
$S_{z}$,2.5534486455308326e+135,8.300411437104547e-20,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.2593886494825043e+135,,,,,,,1.5347640140595963e-110,,,6.966994481912336e-103,,,6.779648554055088e-154,,,4.019608672848094e-82,,,3.1063073909769894e+41
"$S_{x,y}$",,,,3.2192564164922587e-42,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,3.3201949669548524e-87,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.0016535380466485e+32,,1.1291342724895029e-26,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,,9.983491916278027e-33,9.850060696804853e-45,,,,,,,,,,,,
