,ChampLatex,Epoch,InstanceID,RunIdx,Volume
89,"$\hat{S}_{x,y,z}\hat{A}_{y,z}$",9.0,6.0,1.0,18.48565755420577
90,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",0.0,7.0,1.0,568.6220427407299
91,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",1.0,7.0,1.0,338.5890626211826
92,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",2.0,7.0,1.0,267.740956723925
93,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",3.0,7.0,1.0,219.9512299020109
94,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",4.0,7.0,1.0,133.7731492589453
95,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",5.0,7.0,1.0,130.3709554074848
96,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",6.0,7.0,1.0,130.36725965474736
97,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",7.0,7.0,1.0,79.3471870792205
98,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",8.0,7.0,1.0,44.47679953685329
99,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}\hat{T}_{xz}$",9.0,7.0,1.0,19.87613941417542
100,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",0.0,8.0,1.0,82.59284599337914
101,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",1.0,8.0,1.0,77.61132483447251
102,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",2.0,8.0,1.0,66.6185458723604
103,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",3.0,8.0,1.0,89.22916127255692
104,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",4.0,8.0,1.0,82.96278915483391
105,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",5.0,8.0,1.0,50.613705088853
106,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",6.0,8.0,1.0,47.23811566655751
107,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",7.0,8.0,1.0,45.36361921130162
108,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",8.0,8.0,1.0,39.33850608553834
109,"$\hat{S}_{x,y,z}\hat{A}_{x,y}$",9.0,8.0,1.0,28.241138663261417
110,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",0.0,9.0,1.0,156.35959394868
111,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",1.0,9.0,1.0,149.82706770174028
112,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",2.0,9.0,1.0,142.2232677453028
113,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",3.0,9.0,1.0,129.96043497958402
114,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",4.0,9.0,1.0,107.97133853380295
115,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",5.0,9.0,1.0,23.372066056943634
116,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",6.0,9.0,1.0,6.688063556164864
117,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",7.0,9.0,1.0,5.63058319037612
118,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",8.0,9.0,1.0,3.7704899853991503
119,"$\hat{S}_{x,y,z}\hat{A}_{x,y,z}$",9.0,9.0,1.0,1.0393361972739548
