ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,8.100319169481975e+45,,,,2.265098595933568e-14,,,6.531283736277732e-12,0.04289596218802405,,,,,13976351219.229252,628.5289382101134,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,7.15494326318988e-11,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,4.296437072810211e+33,,,,2.1120306464677173e-14,,,3.640582470805005e-05,3.649322349425911e-14,,,,0.0015910166409326184,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.694043173492817e-36,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.7070609438884093e+35,,1.2528913273120609e-117,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,3.2947309752893584e-56,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,7.981538208468478e+116,,3.0351491745458075e+55,,,,4.106248290636934e-23,,8.971619891032093e-27,,,5236.559887040363,,,,4.9773987870901535e-44,,,
"$S_{x,y,z}$",,,,,,,,,4.603571706688463e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.237164337819711e+46,,0.0012171918801934054,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.0891233673775063e-47,1.584584140573574e-75,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.435313038133129e+22,,2.1722264009640914e+42,6.310804042491733e+74,821.5631539056153,,,1.5612710369250106e-05,,,20353694417.140606,,,,2.2505665291014673e-10,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,2.139977329457217e-23,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.1146259116478912e+26,,,,,64050.37795164268,4.672946700111256e+22,,1.3040234349393697e+27,,63556488.88442634,,,,626409149474463.6,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,7.668573840059054e-28,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.5192689376446637e-12,3.282928718386653e-08,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,0.0001909650651518066,,,,,4.913112968611058e-11,,1.573403467612001e-08,,284149923668.3141,,336875.98160734156,,56419499.79657703,8.173986939707383e-13,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,30460606.54315502,2.9684514616586334e-06,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,1.772436841172899e-08,,,,,78.69279716735154,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.012707643342164548,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.0090815359092652e+43,,,,,4443325656.314845,,1.5964006924850422e-15,,,1223393195237.719,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,5.442675308098959e+24,,5.850548146838314e-104,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.8373317227135571e-25,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.7092415529310847e+103,,,,,,,6.590326917845295e-61,1.342000523289118e-78,,1.7623661803211208e-77,,,9.36092478883031e-74,,,2.89755223503677e-60,,6.207877349004036e+121,
"$S_{x,y}$",,,,,1.6108565678418816e-122,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.781922893143927e-89,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,1.5173754086344318e+60,3.594635934966094e+88,4.0990502950020624e+24,38165793.77212842,,149.18440042237967,,2.058447137633957e-12,,,2.872629443727756e-16,,,0.038547176489353054,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.285707580209938,,2.6201472605825283e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,0.23333369841136345,2.4395894854456693e-25,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.5071556114242906,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,7.451561923009489e+77,,,,0.00670311371141179,,1.9717813970185805,18185378.12702923,,,3.670164667033238e-11,,,9.363180715165527e-13,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,5.674189684108611e+76,,,,485803099684.85803,5.4989233273829124e-08,,,,,4.4859740783001424e-29,,,165680023686.18484,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.726489792658657e-27,1.5188237796158406e-50,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,1.0682705208712126e+73,,,,3481131206057400.0,27246733885.87618,,2.2291702594477033e+28,6.584042292601793e+49,1.941842761384278e+22,,,,1103.710753142556,251719.11187738818,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.145936136705587e+26,,5.1497475484942555e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,3.972682060339931e-06,56156.95136327237,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,1.780723446917771e-05,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,3.4511888617852988e+59,,,,25.942237306958283,1068013136156.0734,,6.03573066777262e-12,,,0.0009060344815457636,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,13.807518015647302,,2.948391962877383e-44,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,0.07242431252791087,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,3.391679303806282e+43,,,,,,,1.8170769792515205e-82,,1.9323880252493455e-84,,1.0339908726576839e-62,,,,,7.800043626086317e-82,,1.8036193333760368e+17,
"$S_{x,y}$",,,,,5.544407190003823e-18,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.0931444356263297e-39,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,5.503344169887145e+81,9.147921970869646e+38,2.01927212383238e+80,1.696766382612485e+32,,,498852848042024.56,,106059727.53333925,,,,,85856119.87623353,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,5.01312865264611e-81,4.952279527843421e-81,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.994762291752006e+80,,5.893563252121458e-33,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,5.174944094734623e+83,,,,2.004599159702016e-15,70433775927510.31,,351405779865450.06,4580233902902908.0,,,,,0.03357761484410029,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,1.419773378370612e-14,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,2.845713011274005e-15,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0002626297945548155,11833793151930.99,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,3.347699370039425e-09,,8.450375861410287e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,9.671265254302327e+61,,,,9.428649528499458e-09,,2.1832946115835037e-16,,,298712605.1250603,3807.641100641695,,0.0029085816632306847,3.104259030504479e-20,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,343.8101850952528,,,5.8836346087495555,,9.632755180114726e-09,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,0.1699629678758262,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.2820441114657603e+81,,,,1.164739335345642e-08,,29.781746102067274,,3.221380658551191e+19,,,,103812458.77237067,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.2580543624913163e-30,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.948782102068364e+29,,,5.872101471870076e-137,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.7029678468439885e+136,1.522057062669421e+34,,,,,3.686137628149204e-28,1.6019621181307736e-20,,,,1.695495359135841e-26,,,,8.458503407094273e-14,,,
"$S_{x,z}$",,,,,6.570055910033856e-35,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,2.973880842321536e-43,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,2.7128666937541786e+27,3.3626095093284174e+42,6.450793746913852e+83,116039848.56189789,,1.5259534785415659e-18,,,,8.580223604719353e-09,,,,59612.41511203531,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.1035026123600316e-53,1.5501968272949569e-84,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.2221658071670146e+52,,8.61772927484114e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.0524047196286581e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,6.242344863727712e+19,,,,6.55327973009867e+17,,4872333367957.418,45.18085431036856,,6.12898428802582e-07,,,,5.022571001963846e+18,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,0.022133268953493646,,,,9.117546207036229e-23,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.013227730264950803,2.9390979417634523e-10,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.659302847934715e-16,75.59875957326373,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,5.897981345756555e+25,,,,116547079.19849235,1631591.7173318542,,1.09678632528155e+22,1767002097024965.2,,3402404478.565972,,,6754620089335717.0,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,9.113745076732424e-08,704972472415.7146,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.4184951031822855e-12,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,11822422382206.35,,,,1.67750291297644e-05,1.9910121720708297e-19,,,,1.480468163677796e-16,,,10972437.692524672,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,56.443244254401996,,6.739640107108702e-75,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,0.017716912151484104,,,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.4837587528527526e+74,,,,,,,1.8817180355530303e-119,9.141046073715102e-105,,,,,1.4937960626094648e-115,,,5.031196070733297e-103,8.141045336006458e-106,195.88733927989685,
"$S_{x,y}$",,,,,0.005104975153964053,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.256342168841708e-73,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.176969065958226e+40,,1.2435290618765318e-21,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,5.314292476907166e+118,7.959615022091918e+72,1.9182880547476882e+55,8.041629509574651e+20,,2.2531574928293803,,,,,850907851756686.9,,,1022215.694051622,12.081855461687175,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.147654192529519e-41,5.212981426460113e-56,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.3001933605258897e-09,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.0939666991456048e+104,,,,0.4438216161908238,,769116371.7337625,4251429596928.078,,,1.2461582835912414e-08,,,0.03374922754846729,0.19030113444244182,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.352149970265442e-13,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.2219846229260066e-24,,6.552588791060081e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,6.694354236368329e+114,,,,1.175215386643236e-15,80246627.82950412,,,9152455055.867365,1.5261143830119997e+19,,,,0.0003922788371747398,4951019.394198427,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,8.183409031821769e+23,1.0926030162354416e-10,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,1.2283434850524295e+105,,,,0.08276874385487432,5.254829420380878,,,,,2.0197860690503325e-07,245452.7914712345,,3509158557.3903627,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,4.074103187036655e-06,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.9875989445472954e+102,,,,9.78267117027358e-07,29.630307791901288,,,,,2549.20710788829,,,,2.84968599635938e-10,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.9529274564853177e-57,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.120517900852801e+56,,,9.854100950739642e-98,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,,6.979338990273288e-06,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,1.014805921919179e+97,143280.04434139733,,,,,1.8799407521928812e-71,,,8.14731402366569e-60,,2.145176742780353e-81,,,,1.0561863407595537e-59,,,
"$S_{x,y,z}$",,,,,,,,,2.315316400861368e-70,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,5.3193165733203934e+70,4.319064122847183e+69,3.749899489816089e+36,5.881637063655655e+22,,,,14079.33793082265,,4.374064349602595e-14,,,,2.994119861721296e-06,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.462308751313742e-21,2.6667381424909717e-37,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.2409924004151247e+20,,1.7002069137847533e-23,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.501459659095573e-10,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,3997665908.2383914,4.484285720813665e-16,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,1.2273983758270236e+59,,,,7.102606705751329e-05,2230009553937504.0,,,,2.2626796217699383e-11,,,,0.5021931702294112,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.9540066020941364e-22,284452.46159628173,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,4.6616205558144587e+80,,,,22862032198745.656,,,44195386318.88897,5.117689975705742e+21,,159.67046161372514,,,6.127608707984668e+24,9.570631931072945e+19,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,3.5155259138494715e-06,0.006262899160517244,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,1.044863084487977e-20,,,1651244686637.352,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,6.056037655063904e-13,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,9.468026250754697e+58,,,,333987.965139481,,,1.9912656309984886,,1.6319579915358101e-25,,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.8094135692039262e-82,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,5.526652485755163e+81,,3.4439519570935172e-158,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2.903640969614275e+157,,8.847245681342048e+37,,,,7.864534226943769e-11,5.7455857113075535e-25,,,0.06867509676528692,,,4.0424132658893043e-16,,,,,
"$S_{y,z}$",,,,1.1302952760867708e-38,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.368256218612157e-83,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.7823688947165633e-65,8.076722166438779e-84,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.594059730537165e+64,,3.829827645739088e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,12715311182.37131,,7.308572666414155e+82,1.2381260360239977e+83,261108355910626.84,,3.187581722597388e-26,,,9.462042525122845e-15,,,4.606124965379623e-07,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,3.574230200318468e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,1.7404665951322562e+24,,,,,3.1371744696325904e+25,,27978052446.39528,1.1579428197513038e+25,1091668.3401626293,,,1.856777290052291e+17,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,8.636005016333831e-26,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,4.311700265028278e-14,717404120.7482464,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0029749693106079908,,1.3939144912591363e-09,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,14.561319125879532,,,,,105685426518099.17,9.160291301028542e-07,,,,336.1379213003146,23192706786946.418,1.9875690141398486e-13,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,2473769835553927.5,,,,,2171022.296433903,5.38567552154754e-18,,,5031271834516.728,,,,538419950.3707656,2.9955124339195e+16,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,1.857286304698372e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,3.3383269876518015e-17,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.4975314324452889e-55,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,6.677656163564594e+54,,1e-160,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,3.1817516112949062e-65,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,1e+160,,3.1429228996069276e+64,,,5.72064955149642e-26,,,5.223339737384103e-28,,,3.147054660686363e-19,,,1115830238395799.9,3.0982621175539736e-07,,,
"$S_{x,y,z}$",,,,,,,,1.0130953870592835e-30,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.3401462004005648e-100,8.859394445781952e-108,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.1287453178880756e+107,7.720658834682409e-15,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,1.7480532429021416e+25,,9.870738854143877e+29,7.461872441238901e+99,,129522625129845.56,,4.768305189576304e+20,,,171.0763066983316,,,3.948327616578014e+28,4667066055.844535,,,
"$S_{x,y,z}HF_{y,z}$",,,,1.9144839322682258e+27,,,,2.097181200117052e-21,,,,0.18206154622437853,,0.00045723578214327046,,,1.4834410701226478e+18,0.0004838685588427247,,,110.25926626288873
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,0.009069532510906812,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,5.4926480673055895,,,1.4263289169524735e-07,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.00836430250808875,4491003898216439.5,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.2266736406021394e-16,2.2385558442480822e-12,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,3.1775742966660234e+18,,,,0.005845344801389452,,,2187.05542972282,7011005.583036362,119.55569505442251,,446716575139.04645,,190016833986982.75,157358670.28870887,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,5.39760035968689e-08,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,8.96193673186052e-16,,,,2.5327178925103803e-29,,,6.74108341841528e-19,,,5.262691620619812e-15,,,,4.8417246857032795e-14,18526751.39620765,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3227615.876443286,,,,2.142673765561357e-10,,,2066.6769553940726,,,6.354908809062008e-09,,,20653797250240.51,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.04833528059559e-13,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1105175669323.9785,,1.7006416606759353e-73,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,0.004375164093157259,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,5.880133499743509e+72,,228.56285586270843,,,,1.3320060439610827e-74,3.6512220113846806e-53,,,,,6.333750383402355e-47,,,7.192315394433612e-31,,,
"$S_{x,y,z}$",,,,,,,,,1.8192071687010035e-103,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,7.507473442284299e+73,,5.496900062866646e+102,9.432597190491978e+91,66602139.97083992,,1002984203890.4807,,,,,1562051060.621626,,,1.464975827388124e+19,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.2319935760633273e-83,1.0601534018732362e-92,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,4.480299633136702e+82,,1.5014532572644438e-08,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,0.00035728754495069706,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,2.738809080581661e+52,,,,,9.97024675085704e-13,,2798.866106955932,27819673059.083298,,,41872.05162300535,,,233793936.71334675,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,3.594578548339531e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1377404301.1493218,7.950110524579167e-06,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,7.260032505819741e-10,,1.1877117619552773e-19,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.578843401565853e+46,,,,,6.401839384187896e-10,2.38822785423435e-05,,,125784.41480886635,8.419551207893607e+18,,,,2859104278.64241,862522.3816450798,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,,,,,0.04066420014675645,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,1.1593902039883424e-06,24.591655470684678,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,1.3903728426230244e+30,,,,,6.826051196918928e-20,4.27727089101585e-09,,,,,3.497598907007444e-10,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.707428427407015e-40,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.1243020800442173e+39,,,1.2319189092382479e-115,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,,,5.06006898967862e-09,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,8.117417408734686e+114,197625764.00435856,,,,,1.9237149215919174e-38,,,1.160092643620246e-12,,,2684.6127344273877,1.4052044026112593e-11,,,,,
"$S_{x,y,z}$",,,,,,,,,7.710410628132263e-86,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,4.935405986476124e-65,2.025807500905747e-72,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,5.198275424159404e+37,1.296947786868046e+85,4.936303175661537e+71,328983363.24818027,,,,1308.5399793314577,,,26284388243739.875,8.631285137315482e+16,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.02617576495262e+64,,3.039667386601597e-09,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,5.472641280427916e+18,1.3058579362013794e-12,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.8272712366080902e-19,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,862000121713.8551,,,,0.0007642105062092998,765780083941.5259,,,,,23397190966.776184,209892955.811052,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.2110452784699756e-20,2.2471765851590785e-20,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,0.00037249320439258597,,,,3.8045397546513907e-14,,,4.274017344304244e-11,4.4500285674221265e+19,59358634971228.92,,2.625900951403396e-09,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.257329579480228e+19,,1.6846748589901016e-14,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,71164024119.31836,,,,1.1585760220997888e-17,,,4.764333305688502e-09,,,380821675.49600697,,,1763995662121246.2,61668565557.27835,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.6215716888553057e-11,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,5.668948180957976e-16,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,4.8862335808885215e+26,,2.269110944165507e-78,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.0465660993188913e-27,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,2.6726705446964156e-143,,,,,,,,,,,,,,,,
"$S_{y,z}$",,4.407012370070614e+77,,,,,,3.086122796066272e-67,,,1.8991814455087244e-38,,,,2.94859537044712e-53,1.5037882290675911e-64,,,,3.741576012742672e+142,
"$S_{x,y,z}$",,,,,,,,1.247583590323376e-71,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,3.2403117635975164e+66,8.015494975697766e+70,3.3733414789481114e+101,,3920270368386107.5,,6.279550429524212e+19,,,,6650331363660.255,8864.44236057067,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.9644197192625276e-102,6.320228464062671e-70,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,1.5822212846989325e+69,2.5508444725246815e-16,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,5.265426335987265e+37,,,1.5924706891409864e-20,,,,1.6073480593768255e+22,,,1462.0362548938574,1.5787280472540536e-09,,,,,602577745.8890394
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,1.659536892662052e-09,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,,6.221427861664906e-23,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.0807711808669742e-07,1.3999223835452174e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,9252652.344021784,,3.112272812813266e-11,,,,,,
