ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y}$","$S_{x,y,z}HF_{x,z}$"
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,5.4042711980389234e-12,,633384137.6245565,,,210451.4787125045,,,,1081601550601.542,,5.8471089846412884e+97,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,1.2304274737827147e-08,,,4.751689111988087e-06,2.930889287624306e+34,,39493.26485308012,,4.268010089645224e+19,3198338306960320.0,,1.0545897005871163e+99,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,30387913953.56206,2.5320773142461763e-05,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,3.411933723400964e-35,3.290781991577873e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,2.3430122680031542e-20,,,,,2.7251634910516076,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,0.36695046124154257,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,1.760414540200519e-29,,,9.245548875589551e-13,,3.1266235902054823e-16,,,,,,3.570689696162481e+82,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.3875399774618509e-19,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,7.206999554919087e+18,,4.154623935559738e-142,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,3.136332429817507e-20,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2.4069567198150593e+141,,3.188437521778222e+19,,,4.9624612294039426e-45,,,,4.353464783954258e-51,,,,7.784184872005587e-40,,4.6280479214459575e-48,,,
"$S_{x,y,z}$",,,,,,,,1.1800378782408937e-74,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,4.2517066286924495e+68,3.9036659995478236e-17,,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,2.0151290937543774e+44,,8.474304244290193e+73,7.993712203859774e+79,,2.5616945715023616e+16,,,4.3468139569493606e+17,,,,154250330.71848375,,52714896.16154706,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.250983240949241e-80,2.351996709395576e-69,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,,,6.543812352457421e-16,,,,,,,,,3.074302688979824e+22
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,3.2527701438918485e-23,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.2970209927636042e+50,,,,2.300535541442428e-18,,,1528161179047969.8,,,,,1.7017310400277625e-06,,2.912628184759177e-12,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1.1356571027605527e+25,1012.4943261452929,1.0015177169780557e-08,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0009876598556429837,11813034878.54589,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,8.80547480017694e-26,,8.465225154089223e-11,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1.284656025573492e+39,,,,6.4829682720425475e-09,,,,587636.9276214682,99848458.299606,,,,136529.87687251339,1.6125025843459672e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,7.324404173701581e-06,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.160738213980218e+47,,,,1.89699700239465e-08,,,,343332528756.2176,,,,6201540.448417954,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,3.9665722161506305e-41,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,2.5210684326590993e+40,,2.204607069891185e-146,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.5307530782138035e-10,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,4.535955697762314e+145,,3951393000.797203,,,,8.236902340053047e-67,,,3.4961007998371093e-44,,,8.010911921896183e-45,,,3.894048611141825e-38,,,
"$S_{x,y,z}$",,,,,,,,,5.196613365169057e-37,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,2.748721853740398e+81,,5.408137824916459e-15,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,1.2140486298318306e+66,,1.924330193011132e+36,1.2453859083464201e+85,184906530190999.22,,,,201678.32399613725,,,0.02331146894569343,,,2.0845762060049016e-06,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,3.6380545330158553e-82,8.029639594427121e-86,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,620288.962803297,1.0517337888490007e-12,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.612151851744483e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,2.8603294277058377e+43,,,,,4.9583910664546824e-06,950810947221.1431,,,,,2.512758685639545e-13,,,877.9119971058354,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,1856.975090397327,3.7597330832055286e-05,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,1.248297334622673e+44,,,,,42.897339602648266,,,3979689755785.2075,26597.63280715144,2.7838013247798106e+28,,127542644587.39214,,1.6578107706280716,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0005385101852852723,,3.592210374708032e-29,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,7.840514858658123e-12,,,,5.783708052881788e+17,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,1.7289946014853575e-18,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,2.568021357357367e+37,,,,,479713.81286966905,,,0.0011390663338656328,,,0.6032051532764164,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,1.060791542240241e+31,,7.563064044872741e-49,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,9.426922823009525e-32,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.3756206735529275e-37,,,,,,,,,,,,,,,,
"$S_{y,z}$",,1.3222154328812462e+48,,,,,,1.3417972272605532e-79,,,1.1399594933930137e-73,3.646809403292804e-68,,,3.271956659930045e-67,,,5.047076726197262e-73,,7.269445852519929e+36,
"$S_{x,y,z}$",,,,,,,,8.771752296302675e-69,,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.5601638699416421e-118,2.8711063044943224e-113,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,7.452690910992752e+78,1.1400230720394416e+68,6.409583116659437e+117,,212742850.7893718,,1.0927025605564076e+16,3548661284101293.5,,,102.1197643160738,,,1.0421795219144998e+23,,,
"$S_{x,y,z}HF_{y}$",,,,,,,3.482977967185114e+112,4.7005104815017266e-09,,,,,,,,,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,8.772241520824274e+72,,,9.151621274601909e-17,,,,1.1519372159856908e-17,,,2.524840666281949e-12,,,7.589232315544492e-13,,,4.950251494006488e+36
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,,2.0200993852751702e-37,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,2.742123016072824e+67,,,2.817964071353325e-16,,,8.681028671725994e+16,,,,0.009127640587150659,,,1.0229865332241077e-09,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,4387501485916.784,,1.572226784112183e-18,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,3.056275201461196e+66,,,0.009792423696796553,,,396064596611.78876,109.55733745780257,1.2689471999676078e+22,6.360405573199084e+17,,596770181676.9618,,0.002773402413723711,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,2.279201507303983e-13,7.880548536814824e-23,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,1.67568694064093e-12,,,,2.010319517964995,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.4974333637332833,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,1.981344953226922e+72,,,9.595275851927935e-24,,,1317656329944.9539,977529974.7576716,,,360.56794176411967,,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,8.072199235221723e-50,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.2388197700035244e+49,,1.0712317659074076e-105,,,,,,,,,,,,,,,,,
"$S_{y,z}$",,,,2.7708252794133373e-19,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,9.335048043062191e+104,,3.6090330466875505e+18,,,,3.016846479461024e-49,3.1186006974895943e-47,,,,,1.478469544282906e-44,8.04747556598612e-31,,,,,
"$S_{x,y,z}$",,,,,,,,,1.340514157911792e-91,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,1.1257477954002485e+78,,6.6703721178322625e-31,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,8.882984306839881e-79,7.16515108389924e-94,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,3.314719548402925e+48,,7.459824233096997e+90,1.3956439833447376e+93,1.4991667366302497e+30,,0.08579890739784322,,,,,0.00017643701108917132,6.681728255795084e+16,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,3.206566332153322e+46,,,,,11.655160075210206,,117582.11528459324,5069668.145794258,,,87008.75674825543,17782463309.742046,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,8.5046947622912e-06,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.9725156977574342e-07,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,5.528398399043391e-12,0.00011101124549015816,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,180884214164.6368,,0.0011651059404554842,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,6.763751095630614e+43,,,,,5667.745071325197,1.1493096067253604e-05,,,9008.096392258352,858.2910491461936,,165442.1061882963,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.336481471276491,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,1.2426257051672854e+30,,,,,1.496618781424846e-17,5.623517859036742e-11,,,,,6.044410477111914e-06,,,22376447.34398381,2.9719318457755066,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,4.46898466332665e-08,,,,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,9.368161831952052e+91,,1.4822397153969704e-46,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,1.067445266145268e-92,,,,,,,,,,,,,,,,,,,
"$S_{x,y}$",,,,,1.8123522235402256e-36,,,,,,,,,,,,,,,,
"$S_{y,z}$",,6.746547063962472e+45,,,,,,,1.4713891347559518e-78,6.096553255702415e-48,,,,6.516138887288832e-45,,,,2.3944725398304933e-58,,5.517691246829564e+35,
"$S_{x,y,z}$",,,,,,,,,3.9148036706292e-36,,,,,,,,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,6.151063183821954e+41,,3.895943536993435e-20,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,1.625735210508196e-42,2.4126684043302107e-98,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,6.796298656683111e+77,2.5544065146931795e+35,4.144788393652519e+97,2.566772312033343e+19,,5.117801658644955e+17,,,,7.831247028115039e+18,,,,2.971667950809745,,,
"$S_{x,y,z}HF_{x,y}$",,,,,1.6402710811467929e+47,,,,1.953963960894825e-18,,56690754810.20014,4.478174906249737e+29,,41715485537999.81,,,,1492364986693.7893,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,1.7639560512961702e-11,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,,,,,,,2.2330525737268566e-30,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,1.5346511443313784e+44,,,,1.276935839732663e-19,2.397191323804854e-14,,,1066.9705592157684,,1121.0524199405793,,,4.9746294319677505e-19,0.0020932507677050294,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,0.0009372329830122096,6.743237692251209e-07,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1482967.1526322144,0.0008920189477428758,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,477.7258489179329,,,15707.592224160098,1.5587330376662146e-07,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,,,6.366348105611527e-05,,
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,4.176285103986997e+57,,,,0.33651135205987986,6.700773664057992e-13,,,,2.0101999830858614e+18,,,,,6415466.765862821,,
$S_{x}$,,1e-160,1e-160,,,,,,,,,,,,,,,,,,
$S_{y}$,1e+160,,0.07647195100908574,,,,,,,,,,,,,,,,,,
$S_{z}$,1e+160,13.076690038693908,,3.916047978325528e-117,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,2.5535948628177744e+116,,1.4612200901227155e+46,,,,4.857162122833397e-34,1.3488536220440042e-42,,1.6405865846256936e-56,,,,3.477878486933539e-32,,,,,
"$S_{y,z}$",,,,6.843596024716704e-47,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,1.9294109918068e-68,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,2.0588153631912452e+33,,5.1829289054871006e+67,1.9484836918066703e+102,2.6014252149432305e+24,,231813324.88973615,,1.8492689506600503e-09,,,,1047.3446573525157,,,,,
"$S_{x,y,z}HF_{z}$",,,,,,,3.676475725276393e+63,,3.8440466950798834e-25,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,,,,,2.7199961994168237e-64,5.132195892657338e-103,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,7.413702893013965e+41,,,,,4.313815870919663e-09,,4.864674335807916e+27,5.531802572854032e-13,,,,5200975074289.683,,,,,
"$S_{x,y,z}HF_{y,z}$",,,,,,,,,,2.0556360631156655e-28,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,6.095380819099859e+55,,,,,540754225.9567355,1807729012071.5,,,,,5.9262481059172265e+25,33491.831554882396,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,1.687408259201167e-26,6.846063198609594e+45,20800354611605.086,,,,,,,
